Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\dui70.dll

File Type: DLL

  Section contains the following exports for DUI70.dll

    00000000 characteristics
     E9BCC11 time date stamp
        0.00 version
           1 ordinal base
        4321 number of functions
        4321 number of names

    ordinal hint RVA      name

         97   60 0008A690 ??0Clipper@DirectUI@@QEAA@AEBV01@@Z
         98   61 0008A6C0 ??0Clipper@DirectUI@@QEAA@XZ
         99   62 00085500 ??0Combobox@DirectUI@@QEAA@AEBV01@@Z
        100   63 00085530 ??0Combobox@DirectUI@@QEAA@XZ
        101   64 00039950 ??0CritSecLock@DirectUI@@QEAA@PEAU_RTL_CRITICAL_SECTION@@@Z
        102   65 00064C10 ??0DCSurface@DirectUI@@QEAA@AEBV01@@Z
        103   66 00036150 ??0DCSurface@DirectUI@@QEAA@PEAUHDC__@@@Z
        104   67 0008A6F0 ??0DUIFactory@DirectUI@@QEAA@PEAUHWND__@@@Z
        105   68 00064DF0 ??0DUIXmlParser@DirectUI@@QEAA@AEBV01@@Z
        106   69 000383B0 ??0DUIXmlParser@DirectUI@@QEAA@XZ
        107   6A 000831F0 ??0DialogElement@DirectUI@@QEAA@$$QEAV01@@Z
        108   6B 000831F0 ??0DialogElement@DirectUI@@QEAA@AEBV01@@Z
        109   6C 000CD8C0 ??0DialogElement@DirectUI@@QEAA@XZ
        110   6D 0000A240 ??0DuiAccessible@DirectUI@@QEAA@XZ
        111   6E 00069AC0 ??0Edit@DirectUI@@QEAA@AEBV01@@Z
        112   6F 00084AD0 ??0Edit@DirectUI@@QEAA@XZ
        113   70 00064F70 ??0Element@DirectUI@@QEAA@AEBV01@@Z
        114   71 0000C3A0 ??0Element@DirectUI@@QEAA@XZ
        115   72 00040F30 ??0ElementProvider@DirectUI@@QEAA@XZ
        116   73 00046990 ??0ElementProxy@DirectUI@@IEAA@XZ
        117   74 00064C50 ??0ElementProxy@DirectUI@@QEAA@$$QEAV01@@Z
        118   75 00064C50 ??0ElementProxy@DirectUI@@QEAA@AEBV01@@Z
        119   76 00069070 ??0ElementWithHWND@DirectUI@@QEAA@$$QEAV01@@Z
        120   77 00069070 ??0ElementWithHWND@DirectUI@@QEAA@AEBV01@@Z
        121   78 00049180 ??0ElementWithHWND@DirectUI@@QEAA@XZ
        122   79 000E5870 ??0ExpandCollapseProvider@DirectUI@@QEAA@XZ
        123   7A 000E58B0 ??0ExpandCollapseProxy@DirectUI@@QEAA@$$QEAV01@@Z
        124   7B 000E58B0 ??0ExpandCollapseProxy@DirectUI@@QEAA@AEBV01@@Z
        125   7C 000E58D0 ??0ExpandCollapseProxy@DirectUI@@QEAA@XZ
        126   7D 0008A710 ??0Expandable@DirectUI@@QEAA@$$QEAV01@@Z
        127   7E 0008A710 ??0Expandable@DirectUI@@QEAA@AEBV01@@Z
        128   7F 0008A740 ??0Expandable@DirectUI@@QEAA@XZ
        129   80 0008A770 ??0Expando@DirectUI@@QEAA@$$QEAV01@@Z
        130   81 0008A770 ??0Expando@DirectUI@@QEAA@AEBV01@@Z
        131   82 0008A7B0 ??0Expando@DirectUI@@QEAA@XZ
        132   83 0006F820 ??0ExpandoButtonGlyph@DirectUI@@QEAA@AEBV01@@Z
        133   84 00083260 ??0ExpandoButtonGlyph@DirectUI@@QEAA@XZ
        134   85 0008A7E0 ??0FillLayout@DirectUI@@QEAA@AEBV01@@Z
        135   86 00046970 ??0FillLayout@DirectUI@@QEAA@XZ
        136   87 0008A820 ??0FlowLayout@DirectUI@@QEAA@AEBV01@@Z
        137   88 0000FF10 ??0FlowLayout@DirectUI@@QEAA@XZ
        138   89 00064A00 ??0FontCache@DirectUI@@QEAA@$$QEAV01@@Z
        139   8A 00064A00 ??0FontCache@DirectUI@@QEAA@AEBV01@@Z
        140   8B 00064A00 ??0FontCache@DirectUI@@QEAA@XZ
        141   8C 000C6AD0 ??0FontCheckOut@DirectUI@@QEAA@PEAVElement@1@PEAUHDC__@@@Z
        142   8D 000E8550 ??0GridItemProvider@DirectUI@@QEAA@XZ
        143   8E 000E8590 ??0GridItemProxy@DirectUI@@QEAA@$$QEAV01@@Z
        144   8F 000E8590 ??0GridItemProxy@DirectUI@@QEAA@AEBV01@@Z
        145   90 000E85B0 ??0GridItemProxy@DirectUI@@QEAA@XZ
        146   91 0008A910 ??0GridLayout@DirectUI@@QEAA@AEBV01@@Z
        147   92 00003E20 ??0GridLayout@DirectUI@@QEAA@XZ
        148   93 000E8C10 ??0GridProvider@DirectUI@@QEAA@XZ
        149   94 000E8C50 ??0GridProxy@DirectUI@@QEAA@$$QEAV01@@Z
        150   95 000E8C50 ??0GridProxy@DirectUI@@QEAA@AEBV01@@Z
        151   96 000E8C70 ??0GridProxy@DirectUI@@QEAA@XZ
        152   97 000690A0 ??0HWNDElement@DirectUI@@QEAA@AEBV01@@Z
        153   98 0000ABA0 ??0HWNDElement@DirectUI@@QEAA@XZ
        154   99 00004130 ??0HWNDElementAccessible@DirectUI@@QEAA@XZ
        155   9A 00047E70 ??0HWNDElementProvider@DirectUI@@QEAA@XZ
        156   9B 00046990 ??0HWNDElementProxy@DirectUI@@IEAA@XZ
        157   9C 00064C50 ??0HWNDElementProxy@DirectUI@@QEAA@$$QEAV01@@Z
        158   9D 00064C50 ??0HWNDElementProxy@DirectUI@@QEAA@AEBV01@@Z
        159   9E 00069AF0 ??0HWNDHost@DirectUI@@QEAA@AEBV01@@Z
        160   9F 0000C200 ??0HWNDHost@DirectUI@@QEAA@XZ
        161   A0 00046590 ??0HWNDHostAccessible@DirectUI@@QEAA@XZ
        162   A1 00046550 ??0HWNDHostClientAccessible@DirectUI@@QEAA@XZ
        163   A2 0008A970 ??0IDataEngine@DirectUI@@QEAA@AEBU01@@Z
        164   A3 0008A970 ??0IDataEngine@DirectUI@@QEAA@XZ
        165   A4 0008A970 ??0IDataEntry@DirectUI@@QEAA@AEBU01@@Z
        166   A5 0008A970 ??0IDataEntry@DirectUI@@QEAA@XZ
        167   A6 00046990 ??0IProvider@DirectUI@@QEAA@$$QEAV01@@Z
        168   A7 00046990 ??0IProvider@DirectUI@@QEAA@AEBV01@@Z
        169   A8 00046990 ??0IProvider@DirectUI@@QEAA@XZ
        170   A9 00064BF0 ??0ISBLeak@DirectUI@@QEAA@$$QEAU01@@Z
        171   AA 00064BF0 ??0ISBLeak@DirectUI@@QEAA@AEBU01@@Z
        172   AB 00064BF0 ??0ISBLeak@DirectUI@@QEAA@XZ
        173   AC 0008A990 ??0IXElementCP@DirectUI@@QEAA@$$QEAV01@@Z
        174   AD 0008A990 ??0IXElementCP@DirectUI@@QEAA@AEBV01@@Z
        175   AE 0008A990 ??0IXElementCP@DirectUI@@QEAA@XZ
        176   AF 0003F870 ??0IXProviderCP@DirectUI@@QEAA@$$QEAV01@@Z
        177   B0 0003F870 ??0IXProviderCP@DirectUI@@QEAA@AEBV01@@Z
        178   B1 0003F870 ??0IXProviderCP@DirectUI@@QEAA@XZ
        179   B2 00049270 ??0InvokeHelper@DirectUI@@QEAA@XZ
        180   B3 000E58F0 ??0InvokeProvider@DirectUI@@QEAA@XZ
        181   B4 000E5930 ??0InvokeProxy@DirectUI@@QEAA@$$QEAV01@@Z
        182   B5 000E5930 ??0InvokeProxy@DirectUI@@QEAA@AEBV01@@Z
        183   B6 000E5950 ??0InvokeProxy@DirectUI@@QEAA@XZ
        184   B7 00086B70 ??0ItemList@DirectUI@@QEAA@XZ
        185   B8 00065090 ??0Layout@DirectUI@@QEAA@AEBV01@@Z
        186   B9 0003F1E0 ??0Layout@DirectUI@@QEAA@XZ
        187   BA 00064AF0 ??0LinkedList@DirectUI@@QEAA@XZ
        188   BB 0008A9B0 ??0Macro@DirectUI@@QEAA@$$QEAV01@@Z
        189   BC 0008A9B0 ??0Macro@DirectUI@@QEAA@AEBV01@@Z
        190   BD 0008AA40 ??0Macro@DirectUI@@QEAA@XZ
        191   BE 00045E60 ??0ModernProgressBar@DirectUI@@QEAA@XZ
        192   BF 000E5970 ??0ModernProgressBarRangeValueProxy@DirectUI@@QEAA@$$QEAV01@@Z
        193   C0 000E5970 ??0ModernProgressBarRangeValueProxy@DirectUI@@QEAA@AEBV01@@Z
        194   C1 000E5990 ??0ModernProgressBarRangeValueProxy@DirectUI@@QEAA@XZ
        195   C2 000BE0C0 ??0ModernProgressRing@DirectUI@@QEAA@XZ
        196   C3 000CFD30 ??0Movie@DirectUI@@QEAA@AEBV01@@Z
        197   C4 000FAFF0 ??0Movie@DirectUI@@QEAA@XZ
        198   C5 00086F30 ??0NativeHWNDHost@DirectUI@@QEAA@AEBV01@@Z
        199   C6 0003FE70 ??0NativeHWNDHost@DirectUI@@QEAA@XZ
        200   C7 0008AA70 ??0Navigator@DirectUI@@QEAA@$$QEAV01@@Z
        201   C8 0008AA70 ??0Navigator@DirectUI@@QEAA@AEBV01@@Z
        202   C9 0008AAA0 ??0Navigator@DirectUI@@QEAA@XZ
        203   CA 000E59B0 ??0NavigatorSelectionItemProxy@DirectUI@@QEAA@$$QEAV01@@Z
