Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\dui70.dll

File Type: DLL

  Section contains the following exports for DUI70.dll

    00000000 characteristics
     E9BCC11 time date stamp
        0.00 version
           1 ordinal base
        4321 number of functions
        4321 number of names

    ordinal hint RVA      name

       2199  894 000B8C20 ?GetThumbValue@TouchSlider@DirectUI@@QEAAHXZ
       2200  895 0008DE60 ?GetTickCount@TouchSlider@DirectUI@@QEAAHXZ
       2201  896 000BB6F0 ?GetTitleText@TouchSwitch@DirectUI@@QEAAPEBGPEAPEAVValue@2@@Z
       2202  897 00095F60 ?GetToggleOnClick@TouchCheckBox@DirectUI@@QEAA_NXZ
       2203  898 000E72F0 ?GetToggleState@EventManager@DirectUI@@CAXPEAUtagVARIANT@@@Z
       2204  899 000ECC20 ?GetToggleState@ToggleProxy@DirectUI@@AEAAJPEAW4ToggleState@@@Z
       2205  89A 000BB720 ?GetToggleValue@TouchSwitch@DirectUI@@QEAAHXZ
       2206  89B 000391D0 ?GetTooltip@Element@DirectUI@@QEAA_NXZ
       2207  89C 00065DB0 ?GetTooltipMaxWidth@Element@DirectUI@@QEAAHXZ
       2208  89D 000C3180 ?GetTooltipMaximumLineCount@TouchHWNDElement@DirectUI@@QEAAHXZ
       2209  89E 0002E780 ?GetTopLevel@Element@DirectUI@@QEAAPEAV12@XZ
       2210  89F 000B8C30 ?GetTrackElement@TouchSlider@DirectUI@@QEAAPEAVElement@2@XZ
       2211  8A0 00072920 ?GetTracking@CCBaseScrollBar@DirectUI@@QEAA_NXZ
       2212  8A1 000A7E60 ?GetTranslatedTileRects@TouchScrollViewer@DirectUI@@QEAAXPEAUtagRECT@@PEAII@Z
       2213  8A2 0002C2F0 ?GetTransparent@HWNDHost@DirectUI@@QEAA_NXZ
       2214  8A3 00095FA0 ?GetTreatRightMouseButtonAsLeft@TouchButton@DirectUI@@QEAA_NXZ
       2215  8A4 0007CFA0 ?GetTreeAlphaLevel@Element@DirectUI@@QEAAMXZ
       2216  8A5 0008DEA0 ?GetTrimmedLineCount@RichText@DirectUI@@QEAAKXZ
       2217  8A6 0003E490 ?GetType@DCSurface@DirectUI@@UEBA?AW4EType@Surface@2@XZ
       2218  8A7 0003C590 ?GetType@Value@DirectUI@@QEBAHXZ
       2219  8A8 00047140 ?GetTypeInfo@DuiAccessible@DirectUI@@UEAAJIKPEAPEAUITypeInfo@@@Z
       2220  8A9 00047140 ?GetTypeInfoCount@DuiAccessible@DirectUI@@UEAAJPEAI@Z
       2221  8AA 00047140 ?GetUIAElementProvider@Element@DirectUI@@UEAAJAEBU_GUID@@PEAPEAX@Z
       2222  8AB 00069630 ?GetUIState@HWNDElement@DirectUI@@QEAAGXZ
       2223  8AC 0003E490 ?GetUiaFocusDelegate@Element@DirectUI@@UEAAPEAV12@XZ
       2224  8AD 0006A450 ?GetUiaFocusDelegate@TouchEdit2@DirectUI@@UEAAPEAVElement@2@XZ
       2225  8AE 00080CA0 ?GetUnavailable@Value@DirectUI@@SAPEAV12@XZ
       2226  8AF 0003E5D0 ?GetUnset@Value@DirectUI@@SAPEAV12@XZ
       2227  8B0 000398B0 ?GetVScroll@ScrollViewer@DirectUI@@MEAAPEAVBaseScrollBar@2@XZ
       2228  8B1 00072960 ?GetVScroll@StyledScrollViewer@DirectUI@@MEAAPEAVBaseScrollBar@2@XZ
       2229  8B2 00072980 ?GetVScrollbar@TouchScrollViewer@DirectUI@@QEAAJPEAPEAVElement@2@@Z
       2230  8B3 00021B30 ?GetValue@Element@DirectUI@@QEAAPEAVValue@2@P6APEBUPropertyInfo@2@XZHPEAUUpdateCache@2@@Z
       2231  8B4 00019F80 ?GetValue@Element@DirectUI@@QEAAPEAVValue@2@PEBUPropertyInfo@2@HPEAUUpdateCache@2@@Z
       2232  8B5 000EE190 ?GetValue@ValueProxy@DirectUI@@AEAAJPEAPEAG@Z
       2233  8B6 0003A290 ?GetValueList@Value@DirectUI@@QEAAPEAV?$DynamicArray@PEAVValue@DirectUI@@$0A@@2@XZ
       2234  8B7 0000D2C0 ?GetValueParser@DUIXmlParser@DirectUI@@IEAAJPEAPEAVValueParser@ParserTools@2@@Z
       2235  8B8 00072B30 ?GetVertical@ScrollBar@DirectUI@@QEAA_NXZ
       2236  8B9 000EA890 ?GetViewSize@ScrollProxy@DirectUI@@AEAAJ_NPEAN@Z
       2237  8BA 000EA900 ?GetViewer@ScrollProxy@DirectUI@@AEAAJPEAPEAVViewer@2@@Z
       2238  8BB 0003EEA0 ?GetVisible@Element@DirectUI@@QEAA_NXZ
       2239  8BC 000A8030 ?GetVisibleRect@TouchScrollViewer@DirectUI@@QEAAXPEAUtagRECT@@@Z
       2240  8BD 00095FE0 ?GetVisited@TouchHyperLink@DirectUI@@QEAA_NXZ
       2241  8BE 0008E0E0 ?GetVisualState@TouchSlider@DirectUI@@QEAAHXZ
       2242  8BF 0006A670 ?GetWantTabs@Edit@DirectUI@@QEAA_NXZ
       2243  8C0 00036190 ?GetWidth@Element@DirectUI@@QEAAHXZ
       2244  8C1 0002CA80 ?GetWinStyle@CCBase@DirectUI@@QEAAHXZ
       2245  8C2 00047140 ?GetWindow@DuiAccessible@DirectUI@@UEAAJPEAPEAUHWND__@@@Z
       2246  8C3 0006A6B0 ?GetWindow@HWNDHostAccessible@DirectUI@@UEAAJPEAPEAUHWND__@@@Z
       2247  8C4 000C31C0 ?GetWindowAccessGradientColor@TouchHWNDElement@DirectUI@@QEAAPEAVValue@2@XZ
       2248  8C5 00065DD0 ?GetWindowActive@Element@DirectUI@@QEAA_NXZ
       2249  8C6 0003F360 ?GetWindowClassNameAndStyle@HWNDElement@DirectUI@@UEAAXPEAPEBGPEAI@Z
       2250  8C7 00069640 ?GetWrapKeyboardNavigate@HWNDElement@DirectUI@@QEAA_NXZ
       2251  8C8 00035FE0 ?GetX@Element@DirectUI@@QEAAHXZ
       2252  8C9 000C8D40 ?GetXBabyElement@XBaby@DirectUI@@UEAAPEAVHWNDElement@2@XZ
       2253  8CA 0000CB60 ?GetXBarVisibility@BaseScrollViewer@DirectUI@@QEAAHXZ
       2254  8CB 00072B70 ?GetXOffset@BaseScrollViewer@DirectUI@@QEAAHXZ
       2255  8CC 0002B830 ?GetXOffset@Viewer@DirectUI@@QEAAHXZ
       2256  8CD 000946B0 ?GetXScrollHeight@BaseScrollViewer@DirectUI@@QEAAHXZ
       2257  8CE 0000CBA0 ?GetXScrollable@BaseScrollViewer@DirectUI@@QEAA_NXZ
       2258  8CF 0002B930 ?GetXScrollable@Viewer@DirectUI@@QEAA_NXZ
       2259  8D0 0002ED50 ?GetXmlLiteDll@DUIXmlParser@DirectUI@@KAJPEAPEAUHINSTANCE__@@@Z
       2260  8D1 00036000 ?GetY@Element@DirectUI@@QEAAHXZ
       2261  8D2 0000CBE0 ?GetYBarVisibility@BaseScrollViewer@DirectUI@@QEAAHXZ
       2262  8D3 00072BB0 ?GetYOffset@BaseScrollViewer@DirectUI@@QEAAHXZ
       2263  8D4 0002B7F0 ?GetYOffset@Viewer@DirectUI@@QEAAHXZ
       2264  8D5 00094700 ?GetYScrollWidth@BaseScrollViewer@DirectUI@@QEAAHXZ
       2265  8D6 0000CC20 ?GetYScrollable@BaseScrollViewer@DirectUI@@QEAA_NXZ
       2266  8D7 0002B970 ?GetYScrollable@Viewer@DirectUI@@QEAA_NXZ
       2267  8D8 00072BF0 ?GetZoomMaximum@TouchScrollViewer@DirectUI@@QEAAMXZ
       2268  8D9 00072C30 ?GetZoomMinimum@TouchScrollViewer@DirectUI@@QEAAMXZ
       2269  8DA 0018DE80 ?GridItemPattern@Schema@DirectUI@@2HA
       2270  8DB 0018DF60 ?GridItem_ColumnSpan_Property@Schema@DirectUI@@2HA
       2271  8DC 0018DF6C ?GridItem_Column_Property@Schema@DirectUI@@2HA
       2272  8DD 0018DF64 ?GridItem_Parent_Property@Schema@DirectUI@@2HA
       2273  8DE 0018DF5C ?GridItem_RowSpan_Property@Schema@DirectUI@@2HA
       2274  8DF 0018DF58 ?GridItem_Row_Property@Schema@DirectUI@@2HA
       2275  8E0 0018DE84 ?GridPattern@Schema@DirectUI@@2HA
       2276  8E1 0018DF74 ?Grid_ColumnCount_Property@Schema@DirectUI@@2HA
       2277  8E2 0018DF68 ?Grid_RowCount_Property@Schema@DirectUI@@2HA
       2278  8E3 0018DEFC ?GroupControlType@Schema@DirectUI@@2HA
       2279  8E4 000E7320 ?HandleAccChange@EventManager@DirectUI@@CAJPEAVElement@2@PEAUIRawElementProviderSimple@@PEAVValue@2@2@Z
       2280  8E5 000E74A0 ?HandleAccDesc@EventManager@DirectUI@@CAJPEAVElement@2@PEAUIRawElementProviderSimple@@PEAVValue@2@2@Z
       2281  8E6 000E7660 ?HandleAccPatternChange@EventManager@DirectUI@@CAJPEAVElement@2@PEAUIRawElementProviderSimple@@IIHPEAUtagVARIANT@@2P6AX2@Z@Z
       2282  8E7 00042F30 ?HandleAccRoleEvent@EventManager@DirectUI@@CAJPEAUIRawElementProviderSimple@@PEAVValue@2@1@Z
       2283  8E8 000E7780 ?HandleAccStateChange@EventManager@DirectUI@@CAJPEAUIRawElementProviderSimple@@IIHPEAUtagVARIANT@@1_N@Z
       2284  8E9 000E7890 ?HandleBoolProp@EventManager@DirectUI@@CAJPEAVElement@2@P6A_N0@ZPEAUIRawElementProviderSimple@@HPEAVValue@2@3@Z
       2285  8EA 00042540 ?HandleChildrenEvent@EventManager@DirectUI@@CAJPEAVElement@2@PEAVValue@2@1@Z
       2286  8EB 000CDB40 ?HandleEnterKeyProp@DialogElement@DirectUI@@SAPEBUPropertyInfo@2@XZ
       2287  8EC 00096020 ?HandleEnterProp@TouchButton@DirectUI@@SAPEBUPropertyInfo@2@XZ
       2288  8ED 00096030 ?HandleGlobalEnterProp@TouchButton@DirectUI@@SAPEBUPropertyInfo@2@XZ
       2289  8EE 000E7970 ?HandleRangeValue@EventManager@DirectUI@@CAJPEAVElement@2@PEAUIRawElementProviderSimple@@PEAVValue@2@2@Z
       2290  8EF 000E7A80 ?HandleScrollPos@EventManager@DirectUI@@CAJPEAVElement@2@PEAUIRawElementProviderSimple@@PEAVValue@2@2@Z
       2291  8F0 000E7BD0 ?HandleSelectedChange@EventManager@DirectUI@@CAJPEAUIRawElementProviderSimple@@PEAVValue@2@@Z
       2292  8F1 00042E80 ?HandleStringProp@EventManager@DirectUI@@CAJPEAUIRawElementProviderSimple@@HPEAVValue@2@1@Z
       2293  8F2 000E7C70 ?HandleToggleValue@EventManager@DirectUI@@CAJPEAVElement@2@PEAUIRawElementProviderSimple@@PEAVValue@2@2@Z
       2294  8F3 0003A320 ?HandleUiaDestroyListener@Element@DirectUI@@UEAAXXZ
       2295  8F4 0003EB70 ?HandleUiaEventListener@Element@DirectUI@@UEAAXPEAUEvent@2@@Z
       2296  8F5 000364F0 ?HandleUiaPropertyChangingListener@Element@DirectUI@@UEAAXPEBUPropertyInfo@2@@Z
       2297  8F6 000331A0 ?HandleUiaPropertyListener@Element@DirectUI@@UEAAXPEBUPropertyInfo@2@HPEAVValue@2@1@Z
       2298  8F7 000E7D40 ?HandleVisibilityChange@EventManager@DirectUI@@CAJPEAVElement@2@I@Z
       2299  8F8 00065E40 ?HasAnimation@Element@DirectUI@@QEAA_NXZ
       2300  8F9 00047C50 ?HasBorder@Element@DirectUI@@QEAA_NXZ
       2301  8FA 00004EF0 ?HasChildren@Element@DirectUI@@QEAA_NXZ
       2302  8FB 000478F0 ?HasContent@Element@DirectUI@@QEAA_NXZ
       2303  8FC 00065E60 ?HasEdgeHighlight@Element@DirectUI@@QEAA_NXZ
       2304  8FD 0018DDBC ?HasKeyboardFocusProperty@Schema@DirectUI@@2HA
       2305  8FE 00065E80 ?HasLayout@Element@DirectUI@@QEAA_NXZ
       2306  8FF 00065EA0 ?HasMargin@Element@DirectUI@@QEAA_NXZ
       2307  900 00065EC0 ?HasPVLAnimationState@Element@DirectUI@@QEAA_NI@Z
       2308  901 00047C30 ?HasPadding@Element@DirectUI@@QEAA_NXZ
       2309  902 0009C7C0 ?HasSelection@TouchEdit2@DirectUI@@QEAA_NXZ
       2310  903 000CC8B0 ?HasShieldProp@CCPushButton@DirectUI@@SAPEBUPropertyInfo@2@XZ
       2311  904 00086360 ?HaveWin32Focus@HWNDHost@DirectUI@@AEAA_NXZ
       2312  905 0018DEF0 ?HeaderControlType@Schema@DirectUI@@2HA
       2313  906 0018DEF4 ?HeaderItemControlType@Schema@DirectUI@@2HA
       2314  907 0003ECE0 ?HeightProp@Element@DirectUI@@SAPEBUPropertyInfo@2@XZ
       2315  908 0018DDA4 ?HelpTextProperty@Schema@DirectUI@@2HA
       2316  909 000C31E0 ?HideTouchTooltip@TouchHWNDElement@DirectUI@@QEAAJXZ
       2317  90A 00086FF0 ?HideWindow@NativeHWNDHost@DirectUI@@QEAAXXZ
       2318  90B 000C8D50 ?HideWindow@XHost@DirectUI@@QEAAXXZ
       2319  90C 0006D670 ?HighDPIProp@Element@DirectUI@@SAPEBUPropertyInfo@2@XZ
       2320  90D 00072C70 ?Home@BaseScrollBar@DirectUI@@UEAAXXZ
       2321  90E 0003EA50 ?Host@NativeHWNDHost@DirectUI@@QEAAXPEAVElement@2@@Z
       2322  90F 000C8D70 ?Host@XHost@DirectUI@@QEAAXPEAVElement@2@@Z
       2323  910 000C6E60 ?Hosted@PushButton@DirectUI@@SA?AVUID@@XZ
       2324  911 0018DEE8 ?HyperlinkControlType@Schema@DirectUI@@2HA
       2325  912 0000DA20 ?IDProp@Element@DirectUI@@SAPEBUPropertyInfo@2@XZ
       2326  913 000C3210 ?IHMNotify@TouchHWNDElement@DirectUI@@SA?AVUID@@XZ
       2327  914 0009C7E0 ?IMEComposingProp@TouchEditBase@DirectUI@@SAPEBUPropertyInfo@2@XZ
       2328  915 0012CA34 ?INITIALSTACKSKIP@CallstackTracker@DirectUI@@0HB
       2329  916 0009C7F0 ?IgnoredKeyCombosProp@TouchEditBase@DirectUI@@SAPEBUPropertyInfo@2@XZ
       2330  917 0018DEEC ?ImageControlType@Schema@DirectUI@@2HA
       2331  918 000493F0 ?ImmersiveColorSchemeChange@HWNDElement@DirectUI@@SA?AVUID@@XZ
       2332  919 000E6810 ?Init@?$PatternProvider@VExpandCollapseProvider@DirectUI@@UIExpandCollapseProvider@@$00@DirectUI@@UEAAXPEAVElementProvider@2@@Z
       2333  91A 000E6810 ?Init@?$PatternProvider@VGridItemProvider@DirectUI@@UIGridItemProvider@@$01@DirectUI@@UEAAXPEAVElementProvider@2@@Z
       2334  91B 000E6810 ?Init@?$PatternProvider@VGridProvider@DirectUI@@UIGridProvider@@$02@DirectUI@@UEAAXPEAVElementProvider@2@@Z
       2335  91C 000E6810 ?Init@?$PatternProvider@VInvokeProvider@DirectUI@@UIInvokeProvider@@$0A@@DirectUI@@UEAAXPEAVElementProvider@2@@Z
       2336  91D 000E6810 ?Init@?$PatternProvider@VRangeValueProvider@DirectUI@@UIRangeValueProvider@@$03@DirectUI@@UEAAXPEAVElementProvider@2@@Z
       2337  91E 000E6810 ?Init@?$PatternProvider@VScrollItemProvider@DirectUI@@UIScrollItemProvider@@$05@DirectUI@@UEAAXPEAVElementProvider@2@@Z
       2338  91F 000E6810 ?Init@?$PatternProvider@VScrollProvider@DirectUI@@UIScrollProvider@@$04@DirectUI@@UEAAXPEAVElementProvider@2@@Z
       2339  920 000E6810 ?Init@?$PatternProvider@VSelectionItemProvider@DirectUI@@UISelectionItemProvider@@$06@DirectUI@@UEAAXPEAVElementProvider@2@@Z
       2340  921 000E6810 ?Init@?$PatternProvider@VSelectionProvider@DirectUI@@UISelectionProvider@@$07@DirectUI@@UEAAXPEAVElementProvider@2@@Z
       2341  922 000E6810 ?Init@?$PatternProvider@VTableItemProvider@DirectUI@@UITableItemProvider@@$09@DirectUI@@UEAAXPEAVElementProvider@2@@Z
       2342  923 000E6810 ?Init@?$PatternProvider@VTableProvider@DirectUI@@UITableProvider@@$08@DirectUI@@UEAAXPEAVElementProvider@2@@Z
       2343  924 000E6810 ?Init@?$PatternProvider@VToggleProvider@DirectUI@@UIToggleProvider@@$0L@@DirectUI@@UEAAXPEAVElementProvider@2@@Z
       2344  925 000E6810 ?Init@?$PatternProvider@VValueProvider@DirectUI@@UIValueProvider@@$0M@@DirectUI@@UEAAXPEAVElementProvider@2@@Z
       2345  926 00069680 ?Init@AutoThread@DirectUI@@QEAAJXZ
       2346  927 00046F50 ?Init@BrowserSelectionProxy@DirectUI@@MEAAXPEAVElement@2@@Z
       2347  928 0006C520 ?Init@CallstackTracker@DirectUI@@SAHXZ
       2348  929 00044E60 ?Init@ElementProvider@DirectUI@@MEAAJPEAVElement@2@PEAVInvokeHelper@2@@Z
       2349  92A 0000A010 ?Init@ElementProviderManager@DirectUI@@SAJXZ
       2350  92B 00046F50 ?Init@ElementProxy@DirectUI@@MEAAXPEAVElement@2@@Z
       2351  92C 00009FA0 ?Init@EventManager@DirectUI@@SAJXZ
       2352  92D 00046F50 ?Init@ExpandCollapseProxy@DirectUI@@MEAAXPEAVElement@2@@Z
       2353  92E 00046F50 ?Init@GridItemProxy@DirectUI@@MEAAXPEAVElement@2@@Z
       2354  92F 00046F50 ?Init@GridProxy@DirectUI@@MEAAXPEAVElement@2@@Z
       2355  930 000B17A0 ?Init@HWNDElementProvider@DirectUI@@MEAAJPEAVHWNDElement@2@PEAVInvokeHelper@2@@Z
       2356  931 00046F50 ?Init@HWNDElementProxy@DirectUI@@UEAAXPEAVHWNDElement@2@@Z
       2357  932 000488F0 ?Init@InvokeHelper@DirectUI@@QEAAHK@Z
       2358  933 0000A080 ?Init@InvokeManager@DirectUI@@SAJXZ
       2359  934 00046F50 ?Init@InvokeProxy@DirectUI@@MEAAXPEAVElement@2@@Z
       2360  935 00046F50 ?Init@ModernProgressBarRangeValueProxy@DirectUI@@MEAAXPEAVElement@2@@Z
       2361  936 00004FA0 ?Init@NavReference@DirectUI@@QEAAXPEAVElement@2@PEAUtagRECT@@@Z
       2362  937 00076720 ?Init@NavScoring@DirectUI@@QEAAXPEAVElement@2@HPEBUNavReference@2@@Z
       2363  938 00046F50 ?Init@NavigatorSelectionItemProxy@DirectUI@@MEAAXPEAVElement@2@@Z
       2364  939 00046F50 ?Init@ProgressRangeValueProxy@DirectUI@@MEAAXPEAVElement@2@@Z
       2365  93A 00046F50 ?Init@ProviderProxy@DirectUI@@MEAAXPEAVElement@2@@Z
       2366  93B 00046F50 ?Init@RangeValueProxy@DirectUI@@MEAAXPEAVElement@2@@Z
       2367  93C 000439F0 ?Init@Schema@DirectUI@@SAJXZ
       2368  93D 00046F50 ?Init@ScrollBarRangeValueProxy@DirectUI@@MEAAXPEAVElement@2@@Z
       2369  93E 00046F50 ?Init@ScrollItemProxy@DirectUI@@MEAAXPEAVElement@2@@Z
       2370  93F 00046F50 ?Init@ScrollProxy@DirectUI@@MEAAXPEAVElement@2@@Z
       2371  940 00046F50 ?Init@SelectionItemProxy@DirectUI@@MEAAXPEAVElement@2@@Z
       2372  941 00046F50 ?Init@SelectionProxy@DirectUI@@MEAAXPEAVElement@2@@Z
       2373  942 00046F50 ?Init@SelectorSelectionItemProxy@DirectUI@@MEAAXPEAVElement@2@@Z
       2374  943 00046F50 ?Init@SelectorSelectionProxy@DirectUI@@MEAAXPEAVElement@2@@Z
       2375  944 00046F50 ?Init@TableItemProxy@DirectUI@@MEAAXPEAVElement@2@@Z
       2376  945 00046F50 ?Init@TableProxy@DirectUI@@MEAAXPEAVElement@2@@Z
       2377  946 00046F50 ?Init@ToggleProxy@DirectUI@@MEAAXPEAVElement@2@@Z
       2378  947 00046F50 ?Init@ValueProxy@DirectUI@@MEAAXPEAVElement@2@@Z
       2379  948 0006C560 ?InitOnceCallback@CallstackTracker@DirectUI@@CAHPEAT_RTL_RUN_ONCE@@PEAXPEAPEAX@Z
       2380  949 000344B0 ?InitProcess@FontCache@DirectUI@@SAJXZ
       2381  94A 00040310 ?InitPropSheetPage@TaskPage@DirectUI@@MEAAXPEAU_PROPSHEETPAGEW@@@Z
       2382  94B 0002F630 ?InitThread@FontCache@DirectUI@@SAJXZ
       2383  94C 00003C80 ?Initialize@AccessibleButton@DirectUI@@QEAAJPEAVElement@2@PEAK@Z
       2384  94D 000BD890 ?Initialize@AnimationStrip@DirectUI@@QEAAJIPEAVElement@2@PEAK@Z
       2385  94E 00003C80 ?Initialize@AutoButton@DirectUI@@QEAAJPEAVElement@2@PEAK@Z
       2386  94F 0000D670 ?Initialize@BaseScrollViewer@DirectUI@@QEAAJPEAVElement@2@PEAK@Z
       2387  950 00086D70 ?Initialize@Bind@DirectUI@@QEAAJPEAVElement@2@PEAK@Z
       2388  951 000339D0 ?Initialize@BorderLayout@DirectUI@@QEAAXXZ
       2389  952 00086D70 ?Initialize@Browser@DirectUI@@QEAAJPEAVElement@2@PEAK@Z
       2390  953 0000C260 ?Initialize@Button@DirectUI@@QEAAJIPEAVElement@2@PEAK@Z
       2391  954 0006A720 ?Initialize@CCBase@DirectUI@@QEAAJIPEAVElement@2@PEAK@Z
       2392  955 0000C050 ?Initialize@CCBaseScrollBar@DirectUI@@QEAAJIPEAVElement@2@PEAK@Z
       2393  956 00004F10 ?Initialize@CCListView@DirectUI@@QEAAJIPEAVElement@2@PEAK@Z
       2394  957 000CC8C0 ?Initialize@CCProgressBar@DirectUI@@QEAAJIPEAVElement@2@PEAK@Z
       2395  958 00045FE0 ?Initialize@CSafeElementProxy@@IEAAJPEAVElement@DirectUI@@@Z
       2396  959 00049580 ?Initialize@CheckBoxGlyph@DirectUI@@QEAAJIPEAVElement@2@PEAK@Z
       2397  95A 00008B70 ?Initialize@ClassInfoBase@DirectUI@@QEAAJPEAUHINSTANCE__@@PEBG_NPEBQEBUPropertyInfo@2@I@Z
       2398  95B 00048770 ?Initialize@Clipper@DirectUI@@QEAAJPEAVElement@2@PEAK@Z
       2399  95C 0006A720 ?Initialize@Combobox@DirectUI@@QEAAJIPEAVElement@2@PEAK@Z
       2400  95D 000382B0 ?Initialize@DUIXmlParser@DirectUI@@IEAAJXZ
       2401  95E 000CDB50 ?Initialize@DialogElementCore@DirectUI@@QEAAXPEAUIDialogElement@2@PEAUIElementListener@2@@Z
       2402  95F 0006A700 ?Initialize@DuiAccessible@DirectUI@@QEAAXPEAVElement@2@@Z
       2403  960 0006A720 ?Initialize@Edit@DirectUI@@QEAAJIPEAVElement@2@PEAK@Z
       2404  961 0000C6B0 ?Initialize@Element@DirectUI@@QEAAJIPEAV12@PEAK@Z
       2405  962 000BD3E0 ?Initialize@Expando@DirectUI@@QEAAJPEAVElement@2@PEAK@Z
       2406  963 00049580 ?Initialize@ExpandoButtonGlyph@DirectUI@@QEAAJIPEAVElement@2@PEAK@Z
       2407  964 000339D0 ?Initialize@FillLayout@DirectUI@@QEAAXXZ
       2408  965 0000FE10 ?Initialize@FlowLayout@DirectUI@@QEAAX_NIII@Z
       2409  966 00003E50 ?Initialize@GridLayout@DirectUI@@QEAAXHH@Z
       2410  967 0000A640 ?Initialize@HWNDElement@DirectUI@@QEAAJPEAUHWND__@@_NIPEAVElement@2@PEAK@Z
       2411  968 00004170 ?Initialize@HWNDElementAccessible@DirectUI@@QEAAJPEAVHWNDElement@2@@Z
       2412  969 0000C130 ?Initialize@HWNDHost@DirectUI@@QEAAJIIPEAVElement@2@PEAK@Z
       2413  96A 000465D0 ?Initialize@HWNDHostAccessible@DirectUI@@QEAAJPEAVElement@2@PEAUIAccessible@@@Z
       2414  96B 0003F2B0 ?Initialize@Layout@DirectUI@@QEAAXXZ
       2415  96C 0008E170 ?Initialize@Macro@DirectUI@@QEAAJPEAVElement@2@PEAK@Z
       2416  96D 0003FEA0 ?Initialize@NativeHWNDHost@DirectUI@@QEAAJPEBG0PEAUHWND__@@PEAUHICON__@@HHHHHHPEAUHINSTANCE__@@I@Z
       2417  96E 00087020 ?Initialize@NativeHWNDHost@DirectUI@@QEAAJPEBGPEAUHWND__@@PEAUHICON__@@HHHHHHI@Z
       2418  96F 00003C80 ?Initialize@Navigator@DirectUI@@QEAAJPEAVElement@2@PEAK@Z
       2419  970 0000B020 ?Initialize@NineGridLayout@DirectUI@@QEAAXXZ
       2420  971 000CEE40 ?Initialize@PText@DirectUI@@QEAAJPEAVElement@2@PEAK@Z
       2421  972 0008E120 ?Initialize@Page@DirectUI@@QEAAJPEAVElement@2@PEAK@Z
       2422  973 00086D70 ?Initialize@Pages@DirectUI@@QEAAJPEAVElement@2@PEAK@Z
       2423  974 00086D70 ?Initialize@Progress@DirectUI@@QEAAJPEAVElement@2@PEAK@Z
       2424  975 00049580 ?Initialize@RadioButtonGlyph@DirectUI@@QEAAJIPEAVElement@2@PEAK@Z
       2425  976 0000C260 ?Initialize@RefPointElement@DirectUI@@QEAAJIPEAVElement@2@PEAK@Z
       2426  977 0008A090 ?Initialize@RepeatButton@DirectUI@@QEAAJIPEAVElement@2@PEAK@Z
       2427  978 0008E170 ?Initialize@Repeater@DirectUI@@QEAAJPEAVElement@2@PEAK@Z
       2428  979 0008E190 ?Initialize@RichText@DirectUI@@QEAAJPEAVElement@2@PEAK@Z
       2429  97A 000C5900 ?Initialize@RowLayout@DirectUI@@QEAAJHII@Z
       2430  97B 00093680 ?Initialize@ScrollBar@DirectUI@@QEAAJ_NPEAVElement@2@PEAK@Z
       2431  97C 00086D70 ?Initialize@Selector@DirectUI@@QEAAJPEAVElement@2@PEAK@Z
       2432  97D 00086D70 ?Initialize@SelectorNoDefault@DirectUI@@QEAAJPEAVElement@2@PEAK@Z
       2433  97E 000C48E0 ?Initialize@SemanticZoomToggle@DirectUI@@QEAAJPEAVElement@2@PEAK@Z
       2434  97F 000C6420 ?Initialize@TableLayout@DirectUI@@QEAAXHHHPEAH@Z
       2435  980 000CEE50 ?Initialize@TextGraphic@DirectUI@@QEAAJPEAVElement@2@PEAK@Z
       2436  981 00049580 ?Initialize@Thumb@DirectUI@@QEAAJIPEAVElement@2@PEAK@Z
       2437  982 00096040 ?Initialize@TouchButton@DirectUI@@QEAAJIPEAVElement@2@PEAK@Z
       2438  983 00096080 ?Initialize@TouchCheckBox@DirectUI@@QEAAJIPEAVElement@2@PEAK@Z
       2439  984 00096120 ?Initialize@TouchCheckBoxGlyph@DirectUI@@QEAAJPEAVElement@2@PEAK@Z
       2440  985 00096140 ?Initialize@TouchCommandButton@DirectUI@@QEAAJIPEAVElement@2@PEAK@Z
       2441  986 0009C800 ?Initialize@TouchEdit2@DirectUI@@QEAAJPEAVElement@2@PEAK@Z
       2442  987 0002F770 ?Initialize@TouchHWNDElement@DirectUI@@QEAAJPEAUHWND__@@_NIPEAVElement@2@PEAK@Z
       2443  988 00096300 ?Initialize@TouchRepeatButton@DirectUI@@QEAAJIPEAVElement@2@PEAK@Z
       2444  989 000B66E0 ?Initialize@TouchScrollBar@DirectUI@@QEAAJ_NPEAVElement@2@PEAK@Z
       2445  98A 000B17B0 ?Initialize@TouchSelect@DirectUI@@QEAAJPEAVElement@2@PEAK@Z
       2446  98B 000B8F10 ?Initialize@TouchSlider@DirectUI@@QEAAJPEAVElement@2@PEAK@Z
       2447  98C 000BB740 ?Initialize@TouchSwitch@DirectUI@@QEAAJPEAVElement@2@PEAK@Z
       2448  98D 0000C260 ?Initialize@UnknownElement@DirectUI@@QEAAJIPEAVElement@2@PEAK@Z
       2449  98E 0000FE10 ?Initialize@VerticalFlowLayout@DirectUI@@QEAAX_NIII@Z
       2450  98F 0000B750 ?Initialize@Viewer@DirectUI@@QEAAJPEAVElement@2@PEAK@Z
