Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\user32.dll

File Type: DLL

  Section contains the following exports for USER32.dll

    00000000 characteristics
    5960D576 time date stamp
        0.00 version
        1502 ordinal base
        1215 number of functions
        1007 number of names

    ordinal hint RVA      name

       1696   BD 000299A0 DisplayConfigGetDeviceInfo
       1697   BE 00083B10 DisplayConfigSetDeviceInfo
       1698   BF 000540A0 DisplayExitWindowsWarnings
       1699   C0 0006CF70 DlgDirListA
       1700   C1 00051CA0 DlgDirListComboBoxA
       1701   C2 00051D90 DlgDirListComboBoxW
       1702   C3 0006D060 DlgDirListW
       1703   C4 00051DF0 DlgDirSelectComboBoxExA
       1704   C5 00051E90 DlgDirSelectComboBoxExW
       1705   C6 0006D0C0 DlgDirSelectExA
       1706   C7 0006D170 DlgDirSelectExW
       1707   C8 00033A20 DoSoundConnect
       1708   C9 00033A30 DoSoundDisconnect
       1709   CA 00033A40 DragDetect
       1710   CB 00033A50 DragObject
       1711   CC 00033A60 DrawAnimatedRects
       1712   CD 00081080 DrawCaption
       1713   CE 0007AA70 DrawCaptionTempA
       1714   CF 00080690 DrawCaptionTempW
       1715   D0 000250E0 DrawEdge
       1716   D1 00030D80 DrawFocusRect
       1717   D2 00085150 DrawFrame
       1718   D3 00085280 DrawFrameControl
       1719   D4 00032330 DrawIcon
       1720   D5 000273B0 DrawIconEx
       1721   D6 000322D0 DrawMenuBar
       1722   D7 0006F8C0 DrawMenuBarTemp
       1723   D8 00070110 DrawStateA
       1724   D9 00017B20 DrawStateW
       1725   DA 00054510 DrawTextA
       1726   DB 00054590 DrawTextExA
       1727   DC 0001FC00 DrawTextExW
       1728   DD 0001FF20 DrawTextW
       1553   DE 0002D650 DwmGetDxRgn
       1729   DF 0002D7F0 DwmGetDxSharedSurface
       1730   E0 00033A70 DwmGetRemoteSessionOcclusionEvent
       1731   E1 00033A80 DwmGetRemoteSessionOcclusionState
       1732   E2 00033A90 DwmKernelShutdown
       1733   E3 00033AA0 DwmKernelStartup
       1734   E4 0002D4E0 DwmLockScreenUpdates
       1735   E5 00033AB0 DwmValidateWindow
       1736   E6 0005D4A0 EditWndProc
       1737   E7 00032370 EmptyClipboard
       1738   E8 00031600 EnableMenuItem
       1739   E9 00033AE0 EnableMouseInPointer
       1740   EA 00033B00 EnableNonClientDpiScaling
       1741   EB 00033B10 EnableOneCoreTransformMode
       1742   EC 00026130 EnableScrollBar
       1743   ED 000797A0 EnableSessionForMMCSS
       1744   EE 0002B220 EnableWindow
       1745   EF 0002AE40 EndDeferWindowPos
       1746   F0 00033B80 EndDeferWindowPosEx
       1747   F1 00031A20 EndDialog
       1748   F2 00033B90 EndMenu
       1749   F3 00033BA0 EndPaint
       1750   F4 00054320 EndTask
       1751   F5 00074120 EnterReaderModeHelper
       1752   F6 00005950 EnumChildWindows
       1753   F7 00031E10 EnumClipboardFormats
       1754   F8 000056D0 EnumDesktopWindows
       1755   F9 00002EB0 EnumDesktopsA
       1756   FA 00004C90 EnumDesktopsW
       1757   FB 000236D0 EnumDisplayDevicesA
       1758   FC 00027D20 EnumDisplayDevicesW
       1759   FD 00033BB0 EnumDisplayMonitors
       1760   FE 00005D30 EnumDisplaySettingsA
       1761   FF 00005D50 EnumDisplaySettingsExA
       1762  100 000060B0 EnumDisplaySettingsExW
       1763  101 00006090 EnumDisplaySettingsW
       1764  102 0004C2F0 EnumPropsA
       1765  103 0004C310 EnumPropsExA
       1766  104 000281C0 EnumPropsExW
       1767  105 0004C330 EnumPropsW
       1768  106 000058F0 EnumThreadWindows
       1769  107 00002E90 EnumWindowStationsA
       1770  108 00004C70 EnumWindowStationsW
       1771  109 00005920 EnumWindows
       1772  10A 00022120 EqualRect
       1773  10B 00076E10 EvaluateProximityToPolygon
       1774  10C 00077350 EvaluateProximityToRect
       1775  10D 00033BC0 ExcludeUpdateRgn
       1776  10E 0002C8A0 ExitWindowsEx
       1777  10F 00025370 FillRect
       1778  110 0007AB80 FindWindowA
       1779  111 00026AC0 FindWindowExA
       1780  112 000271D0 FindWindowExW
       1781  113 00027ED0 FindWindowW
       1782  114 0007DFB0 FlashWindow
       1783  115 00033BD0 FlashWindowEx
       1784  116 00030D50 FrameRect
       1785  117 00056630 FreeDDElParam
       1786  118 00033BF0 FrostCrashedWindow
       1787  119 0002BCA0 GetActiveWindow
       1788  11A 0007ABA0 GetAltTabInfo
       1789  11B 0007ABA0 GetAltTabInfoA
       1790  11C 00080770 GetAltTabInfoW
       1791  11D 00033C10 GetAncestor
       1792  11E 0002AC40 GetAppCompatFlags
       1793  11F 00014C70 GetAppCompatFlags2
       1794  120 00023B80 GetAsyncKeyState
       1795  121 00033C20 GetAutoRotationState
       1796  122 0001C850 GetAwarenessFromDpiAwarenessContext
       1797  123 00033C30 GetCIMSSM
       1798  124 00027910 GetCapture
       1799  125 00033C40 GetCaretBlinkTime
       1800  126 00033C50 GetCaretPos
       1801  127 00026380 GetClassInfoA
       1802  128 00026530 GetClassInfoExA
       1803  129 000105D0 GetClassInfoExW
       1804  12A 00010580 GetClassInfoW
