Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\IPHLPAPI.DLL

File Type: DLL

  Section contains the following exports for IPHLPAPI.DLL

    00000000 characteristics
    55458551 time date stamp
        0.00 version
           1 ordinal base
         293 number of functions
         293 number of names

    ordinal hint RVA      name

        168   A7 00026230 InternalDeleteAnycastIpAddressEntry
        169   A8 0001C800 InternalDeleteIpForwardEntry
        170   A9 00027380 InternalDeleteIpForwardEntry2
        171   AA 0001C810 InternalDeleteIpNetEntry
        172   AB 00027BA0 InternalDeleteIpNetEntry2
        173   AC 00026250 InternalDeleteUnicastIpAddressEntry
        174   AD 00026270 InternalFindInterfaceByAddress
        175   AE 00026360 InternalGetAnycastIpAddressEntry
        176   AF 00026380 InternalGetAnycastIpAddressTable
        177   B0 0001C820 InternalGetBoundTcp6EndpointTable
        178   B1 0001C860 InternalGetBoundTcpEndpointTable
        179   B2 000071E0 InternalGetForwardIpTable2
        180   B3 00009010 InternalGetIPPhysicalInterfaceForDestination
        181   B4 00029220 InternalGetIfEntry2
        182   B5 0001C9F0 InternalGetIfTable
        183   B6 00029230 InternalGetIfTable2
        184   B7 0001CA30 InternalGetIpAddrTable
        185   B8 000273A0 InternalGetIpForwardEntry2
        186   B9 0001CA70 InternalGetIpForwardTable
        187   BA 00002F30 InternalGetIpInterfaceEntry
        188   BB 00003FA0 InternalGetIpInterfaceTable
        189   BC 00002630 InternalGetIpNetEntry2
        190   BD 0001CAB0 InternalGetIpNetTable
        191   BE 00027BC0 InternalGetIpNetTable2
        192   BF 000263A0 InternalGetMulticastIpAddressEntry
        193   C0 000263C0 InternalGetMulticastIpAddressTable
        194   C1 0000A670 InternalGetRtcSlotInformation
        195   C2 0001CBE0 InternalGetTcp6Table2
        196   C3 0001CC20 InternalGetTcp6TableWithOwnerModule
        197   C4 0001CC60 InternalGetTcp6TableWithOwnerPid
        198   C5 0001CCA0 InternalGetTcpTable
        199   C6 0001CCE0 InternalGetTcpTable2
