Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\FWPUCLNT.DLL

File Type: DLL

  Section contains the following exports for fwpuclnt.dll

    00000000 characteristics
    6BE2599D time date stamp
        0.00 version
           1 ordinal base
         276 number of functions
         276 number of names

    ordinal hint RVA      name

        170   A9 00010930 FwpsAleEndpointDestroyEnumHandle0
        171   AA 000109B0 FwpsAleEndpointEnum0
        172   AB 00010A50 FwpsAleEndpointGetById0
        173   AC 00010AE0 FwpsAleEndpointGetSecurityInfo0
        174   AD 00010BF0 FwpsAleEndpointSetSecurityInfo0
        175   AE 00010CF0 FwpsAleExplicitCredentialsQuery0
        176   AF 00010D80 FwpsAleGetPortStatus0
        177   B0 00010E20 FwpsClassifyUser0
        178   B1 000033E0 FwpsFreeMemory0
        179   B2 00015A60 FwpsGetInProcReplicaOffset0
        180   B3 00015AE0 FwpsLayerCreateInProcReplica0
        181   B4 00015B60 FwpsLayerReleaseInProcReplica0
        182   B5 00010F70 FwpsOpenToken0
        183   B6 000110E0 FwpsQueryIPsecDosFWUsed0
        184   B7 00011150 FwpsQueryIPsecOffloadDone0
        185   B8 000111C0 GetUnifiedTraceHandle
        186   B9 000111E0 IPsecDospGetSecurityInfo0
        187   BA 000112F0 IPsecDospGetStatistics0
        188   BB 00011370 IPsecDospSetSecurityInfo0
        189   BC 00011470 IPsecDospStateCreateEnumHandle0
        190   BD 000114E0 IPsecDospStateDestroyEnumHandle0
        191   BE 00011560 IPsecDospStateEnum0
        192   BF 00011A30 IPsecGetKeyFromDictator0
        193   C0 00011B40 IPsecGetStatistics0
        194   C1 00011C20 IPsecGetStatistics1
        195   C2 00011CA0 IPsecKeyDictationCheck0
        196   C3 00011D20 IPsecKeyManagerAddAndRegister0
        197   C4 00011F10 IPsecKeyManagerGetSecurityInfoByKey0
        198   C5 00012020 IPsecKeyManagerSetSecurityInfoByKey0
        199   C6 00012140 IPsecKeyManagerUnregisterAndDelete0
        200   C7 00012200 IPsecKeyManagersGet0
        201   C8 00012290 IPsecKeyModuleAdd0
        202   C9 00012410 IPsecKeyModuleDelete0
        203   CA 000124C0 IPsecKeyModuleUpdateAcquire0
        204   CB 00012540 IPsecKeyNotification0
        205   CC 000125C0 IPsecSaContextAddInbound0
        206   CD 00012680 IPsecSaContextAddInbound1
        207   CE 00012700 IPsecSaContextAddInboundAndTrackConnection
        208   CF 000127A0 IPsecSaContextAddOutbound0
        209   D0 00012860 IPsecSaContextAddOutbound1
        210   D1 000128E0 IPsecSaContextAddOutboundAndTrackConnection
        211   D2 00012980 IPsecSaContextCreate0
        212   D3 00012A40 IPsecSaContextCreate1
        213   D4 00012AF0 IPsecSaContextCreateEnumHandle0
        214   D5 00012B60 IPsecSaContextDeleteById0
        215   D6 00012BD0 IPsecSaContextDestroyEnumHandle0
        216   D7 00012C50 IPsecSaContextEnum0
        217   D8 00012D70 IPsecSaContextEnum1
        218   D9 00012E10 IPsecSaContextExpire0
        219   DA 00012E80 IPsecSaContextGetById0
        220   DB 00012F50 IPsecSaContextGetById1
        221   DC 00012FE0 IPsecSaContextGetSpi0
        222   DD 000130A0 IPsecSaContextGetSpi1
        223   DE 00013130 IPsecSaContextSetSpi0
        224   DF 000131D0 IPsecSaContextSubscribe0
        225   E0 00013330 IPsecSaContextSubscriptionsGet0
        226   E1 000133C0 IPsecSaContextUnsubscribe0
        227   E2 00013470 IPsecSaContextUpdate0
        228   E3 000134E0 IPsecSaCreateEnumHandle0
        229   E4 00013550 IPsecSaDbGetSecurityInfo0
        230   E5 00013660 IPsecSaDbSetSecurityInfo0
        231   E6 00013760 IPsecSaDestroyEnumHandle0
        232   E7 000137E0 IPsecSaEnum0
        233   E8 00013900 IPsecSaEnum1
        234   E9 000139A0 IPsecSaInitiateAsync0
        235   EA 00015C30 IkeextGetConfigParameters0
        236   EB 00015E00 IkeextGetStatistics0
        237   EC 00015E90 IkeextGetStatistics1
        238   ED 00015FA0 IkeextSaCreateEnumHandle0
        239   EE 00016030 IkeextSaDbGetSecurityInfo0
        240   EF 00016150 IkeextSaDbSetSecurityInfo0
        241   F0 00016260 IkeextSaDeleteById0
        242   F1 000162E0 IkeextSaDestroyEnumHandle0
        243   F2 00016370 IkeextSaEnum0
        244   F3 00016490 IkeextSaEnum1
        245   F4 000165B0 IkeextSaEnum2
        246   F5 00016670 IkeextSaGetById0
        247   F6 00016740 IkeextSaGetById1
        248   F7 00016810 IkeextSaGetById2
        249   F8 000168D0 IkeextSaUpdateAdditionalAddressesByTunnelId0
        250   F9 00016A00 IkeextSaUpdatePreferredAddressesByTunnelId0
        251   FA 00016B30 IkeextSetConfigParameters0
        252   FB 00001EC0 NamespaceCallout
        253   FC 0002EBD0 WFPRIODequeueCompletion
        254   FD 00016C90 WSADeleteSocketPeerTargetName
        255   FE 00016CE0 WSAImpersonateSocketPeer
        256   FF 00016E90 WSAQuerySocketSecurity
        257  100 00016F00 WSARevertImpersonation
        258  101 00016F30 WSASetSocketPeerTargetName
        259  102 00016F80 WSASetSocketSecurity
        260  103 0002ED40 WfpCloseDPConfigureHandle
        261  104 0002ED50 WfpConfigureDPSecurityDescriptor
        262  105 0002EDB0 WfpCreateDPConfigureHandle
        263  106 0002ED40 WfpRIOChannelClose
        264  107 0002F0E0 WfpRIOCleanupRequestQueue
        265  108 0002F190 WfpRIOCloseCompletionQueue
        266  109 0002F240 WfpRIOCreateChannel
        267  10A 0002F260 WfpRIOCreateCompletionQueue
        268  10B 0002F420 WfpRIOCreateRequestQueue
        269  10C 0002F5F0 WfpRIODeregisterBuffer
        270  10D 0002F670 WfpRIOIndicateActivityThreshold
        271  10E 0002F6E0 WfpRIONotify
        272  10F 0002F750 WfpRIOReceive
        273  110 0002F830 WfpRIORegisterBuffer
        274  111 0002F8F0 WfpRIOResume
        275  112 0002F960 WfpRIOSend
