Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\ucrtbase_enclave.dll

File Type: DLL

  Section contains the following exports for ucrtbase_enclave.dll

    00000000 characteristics
    8B7FEE4D time date stamp
        0.00 version
           1 ordinal base
         785 number of functions
         785 number of names

    ordinal hint RVA      name

        313  138 00034480 _strnset_s
        314  139 00032950 _strrev
        315  13A 00032990 _strset
        316  13B 00034990 _strset_s
        317  13C 0000C2A0 _strtod_l
        318  13D 0000C280 _strtof_l
        319  13E 0000C770 _strtoi64
        320  13F 0000C7A0 _strtoi64_l
        321  140 0000C7A0 _strtoimax_l
        322  141 0000C6C0 _strtol_l
        323  142 0000C2A0 _strtold_l
        324  143 0000C7A0 _strtoll_l
        325  144 0000C7E0 _strtoui64
        326  145 0000C810 _strtoui64_l
        327  146 0000C730 _strtoul_l
        328  147 0000C810 _strtoull_l
        329  148 0000C810 _strtoumax_l
        330  149 00035230 _strupr
        331  14A 000352A0 _strupr_l
        332  14B 000352D0 _strupr_s
        333  14C 000352E0 _strupr_s_l
        334  14D 00035340 _strxfrm_l
        335  14E 0000CA10 _swab
        336  14F 0000CB90 _tolower
        337  150 0000CA80 _tolower_l
        338  151 0000CCB0 _toupper
        339  152 0000CBA0 _toupper_l
        340  153 0000CCC0 _towlower_l
        341  154 0000CD50 _towupper_l
        342  155 0000DCD0 _ui64toa
        343  156 0000DC70 _ui64toa_s
        344  157 0000DE50 _ui64tow
        345  158 0000DDF0 _ui64tow_s
        346  159 0000DC10 _ultoa
        347  15A 0000DBB0 _ultoa_s
        348  15B 0000DD90 _ultow
        349  15C 0000DD30 _ultow_s
        350  15D 00010A80 _unlock_locales
        351  15E 00013550 _wassert
        352  15F 000356D0 _wcsdup
        353  160 00012BE0 _wcserror
        354  161 00012D40 _wcserror_s
        355  162 000357A0 _wcsicmp
        356  163 000357F0 _wcsicmp_l
        357  164 00035B20 _wcslwr
        358  165 00035B90 _wcslwr_l
        359  166 00035BC0 _wcslwr_s
        360  167 00035BD0 _wcslwr_s_l
        361  168 00035F90 _wcsnicmp
        362  169 00035FE0 _wcsnicmp_l
        363  16A 00036140 _wcsnset
        364  16B 00036170 _wcsnset_s
        365  16C 00036230 _wcsrev
        366  16D 00036280 _wcsset
        367  16E 000362A0 _wcsset_s
        368  16F 0000C2E0 _wcstod_l
        369  170 0000C2C0 _wcstof_l
        370  171 0000C930 _wcstoi64
        371  172 0000C960 _wcstoi64_l
        372  173 0000C960 _wcstoimax_l
        373  174 0000C880 _wcstol_l
        374  175 0000C2E0 _wcstold_l
        375  176 0000C960 _wcstoll_l
        376  177 0000D620 _wcstombs_l
        377  178 0000D640 _wcstombs_s_l
        378  179 0000C9A0 _wcstoui64
        379  17A 0000C9D0 _wcstoui64_l
        380  17B 0000C8F0 _wcstoul_l
        381  17C 0000C9D0 _wcstoull_l
        382  17D 0000C9D0 _wcstoumax_l
