Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\dnsapi.dll

File Type: DLL

  Section contains the following exports for DNSAPI.dll

    00000000 characteristics
    33466D5F time date stamp
        0.00 version
           1 ordinal base
         277 number of functions
         277 number of names

    ordinal hint RVA      name

        228   E3 0004E1F0 IpHelp_IsAddrOnLink
        229   E4 0004E680 Local_GetRecordsForLocalName
        230   E5 0004E6A0 Local_GetRecordsForLocalNameEx
        231   E6 00009C20 NetInfo_Build
        232   E7 000133D0 NetInfo_Clean
        233   E8 0000A680 NetInfo_Copy
        234   E9 0004F0C0 NetInfo_CopyNetworkIndex
        235   EA 00007270 NetInfo_CreatePerNetworkNetinfo
        236   EB 00009030 NetInfo_Free
        237   EC 0004F300 NetInfo_GetAdapterByAddress
        238   ED 000033C0 NetInfo_GetAdapterByInterfaceIndex
        239   EE 00024120 NetInfo_GetAdapterByName
        240   EF 0001EA40 NetInfo_IsAddrConfig
        241   F0 000506D0 NetInfo_IsForUpdate
        242   F1 00023FD0 NetInfo_IsTcpipConfigChange
        243   F2 00006830 NetInfo_ResetServerPriorities
        244   F3 0004F540 NetInfo_UpdateDnsInterfaceConfigChange
        245   F4 00023AA0 NetInfo_UpdateNetworkProperties
        246   F5 00023300 NetInfo_UpdateServerReachability
        247   F6 00050F90 QueryDirectEx
        248   F7 00051190 Query_Cancel
        249   F8 000138B0 Query_Main
        250   F9 00024290 Reg_FreeUpdateInfo
        251   FA 00011270 Reg_GetValueEx
        252   FB 0000E880 Reg_ReadGlobalsEx
        253   FC 00023D40 Reg_ReadUpdateInfo
        254   FD 0004C780 Security_ContextListTimeout
        255   FE 000182A0 Send_AndRecvUdpWithParam
        256   FF 00054D20 Send_MessagePrivate
        257  100 000199B0 Send_MessagePrivateEx
        258  101 00054D30 Send_OpenTcpConnectionAndSend
        259  102 0002AD20 Socket_CacheCleanup
        260  103 0002A5F0 Socket_CacheInit
        261  104 00055240 Socket_CleanupWinsock
        262  105 00055290 Socket_ClearMessageSockets
        263  106 00023290 Socket_CloseEx
        264  107 000290E0 Socket_CloseMessageSockets
        265  108 00023FA0 Socket_Create
        266  109 000552B0 Socket_CreateMulticast
        267  10A 000554D0 Socket_InitWinsock
        268  10B 00022A80 Socket_JoinMulticast
        269  10C 00002DD0 Socket_RecvFrom
        270  10D 000555D0 Socket_SetMulticastInterface
        271  10E 00023620 Socket_SetMulticastLoopBack
        272  10F 00022B80 Socket_SetTtl
        273  110 00055770 Socket_TcpListen
        274  111 00024300 Trace_Reset
        275  112 00059660 Update_ReplaceAddressRecordsW
        276  113 0005A7D0 Util_IsIp6Running
        277  114 00029C30 Util_IsRunningOnXboxOne

  Summary

        2000 .data
        1000 .didat
        8000 .pdata
       22000 .rdata
        1000 .reloc
        9000 .rsrc
       82000 .text
        C000 .wpp_sf
