Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\gdi32full.dll

File Type: DLL

  Section contains the following exports for gdi32full.dll

    00000000 characteristics
    6E3B72C0 time date stamp
        0.00 version
        1000 ordinal base
        1221 number of functions
        1211 number of names

    ordinal hint RVA      name

       2002  3E0 00040CF0 NtGdiSetPUMPDOBJ
       2003  3E1 00040D00 NtGdiSetPixel
       2004  3E2 00040D10 NtGdiSetPixelFormat
       2005  3E3 00040D20 NtGdiSetPrivateDeviceGammaRamp
       2006  3E4 00040D30 NtGdiSetRectRgn
       2007  3E5 00040D40 NtGdiSetSizeDevice
       2008  3E6 00040D50 NtGdiSetSystemPaletteUse
       2009  3E7 00040D60 NtGdiSetTextJustification
       2010  3E8 00040D70 NtGdiSetUMPDSandboxState
       2011  3E9 00040D80 NtGdiSetVirtualResolution
       2012  3EA 00040D90 NtGdiStartDoc
       2013  3EB 00040DA0 NtGdiStartPage
       2014  3EC 00040DB0 NtGdiStretchBlt
       2015  3ED 00040DC0 NtGdiStretchDIBitsInternal
       2016  3EE 00040DD0 NtGdiStrokeAndFillPath
       2017  3EF 00040DE0 NtGdiStrokePath
       2018  3F0 00040DF0 NtGdiSwapBuffers
       2019  3F1 00040E00 NtGdiTransformPoints
       2020  3F2 00040E10 NtGdiTransparentBlt
       2021  3F3 00040E20 NtGdiUMPDEngFreeUserMem
       2022  3F4 00040E30 NtGdiUnloadPrinterDriver
       2023  3F5 00040E40 NtGdiUnmapMemFont
       2024  3F6 00040E50 NtGdiUnrealizeObject
       2025  3F7 00040E60 NtGdiUpdateColors
       2026  3F8 00040E70 NtGdiUpdateTransform
       2027  3F9 00040E80 NtGdiWidenPath
       2028  3FA 00040E90 NtGdiXFORMOBJ_bApplyXform
       2029  3FB 00040EA0 NtGdiXFORMOBJ_iGetXform
       2030  3FC 00040EB0 NtGdiXLATEOBJ_cGetPalette
       2031  3FD 00040EC0 NtGdiXLATEOBJ_hGetColorTransform
       2032  3FE 00040ED0 NtGdiXLATEOBJ_iXlate
       2033  3FF 00038700 OffsetClipRgn
       2034  400 0001F4A0 OffsetViewportOrgEx
       2035  401 00028CF0 OffsetWindowOrgEx
       2036  402 00073690 PaintRgn
       2037  403 0002AE10 PatBlt
       2038  404 00074A00 PathToRegion
       2039  405 000737A0 Pie
       2040  406 000374C0 PlayEnhMetaFile
       2041  407 00038120 PlayEnhMetaFileRecord
       2042  408 0006C2E0 PlayMetaFile
       2043  409 0006C300 PlayMetaFileRecord
       2044  40A 0000A710 PlgBlt
       2045  40B 00060120 PolyBezier
       2046  40C 0003EA40 PolyBezierTo
       2047  40D 0003B740 PolyBezierToImpl
       2048  40E 00060210 PolyDrawImpl
       2049  40F 0002B370 PolyPatBlt
       2050  410 00031D80 PolyPolygon
       2051  411 00060300 PolyPolyline
       2052  412 00073960 PolyTextOutA
       2053  413 0002E070 PolyTextOutW
       2054  414 00033F40 Polygon
       2055  415 00060400 Polyline
       2056  416 0003B830 PolylineToImpl
       2057  417 000607D0 PtInRegion
       2058  418 000608A0 PtVisible
       2059  419 00031360 QueryFontAssocStatus
       2060  41A 0003B7F0 RealizePalette
       2061  41B 0002FB80 RectVisible
       2062  41C 0003EA50 Rectangle
       2063  41D 000312D0 RectangleImpl
       2064  41E 00062CC0 RemoveFontMemResourceEx
       2065  41F 00062D00 RemoveFontResourceA
       2066  420 00062E10 RemoveFontResourceExA
       2067  421 00062F90 RemoveFontResourceExW
       2068  422 00063050 RemoveFontResourceTracking
       2069  423 00063140 RemoveFontResourceWImpl
       2070  424 0005FE60 ResetDCA
       2071  425 0005FEE0 ResetDCWImpl
       2072  426 0005FEF0 ResizePalette
       2073  427 0003EA60 RestoreDC
       2074  428 0002A6D0 RestoreDCImpl
       2075  429 00073CB0 RoundRect
       2076  42A 0003EA70 SaveDC
       2077  42B 0002B760 SaveDCImpl
       2078  42C 00061050 ScaleViewportExtEx
       2079  42D 000611F0 ScaleWindowExtEx
       2080  42E 00020550 ScriptApplyDigitSubstitution
       2081  42F 00092010 ScriptApplyLogicalWidth
       2082  430 0001D430 ScriptBreak
       2083  431 00004A10 ScriptCPtoX
       2084  432 00092380 ScriptCacheGetHeight
       2085  433 000074D0 ScriptFreeCache
       2086  434 0003BA90 ScriptGetCMap
       2087  435 00093980 ScriptGetFontAlternateGlyphs
       2088  436 00093AF0 ScriptGetFontFeatureTags
       2089  437 00093D40 ScriptGetFontLanguageTags
       2090  438 00009B40 ScriptGetFontProperties
       2091  439 00093F20 ScriptGetFontScriptTags
       2092  43A 00092430 ScriptGetGlyphABCWidth
       2093  43B 000924F0 ScriptGetLogicalWidths
       2094  43C 0003BF50 ScriptGetProperties
       2095  43D 0001E4F0 ScriptIsComplex
       2096  43E 0003B980 ScriptItemize
       2097  43F 00094050 ScriptItemizeOpenType
       2098  440 00092800 ScriptJustify
       2099  441 00092F70 ScriptLayout
       2100  442 00093030 ScriptPlace
       2101  443 00094120 ScriptPlaceOpenType
       2102  444 000945E0 ScriptPositionSingleGlyph
       2103  445 00030820 ScriptRecordDigitSubstitution
       2104  446 0002F940 ScriptShape
       2105  447 00094800 ScriptShapeOpenType
       2106  448 00025C90 ScriptStringAnalyse
       2107  449 00004890 ScriptStringCPtoX
       2108  44A 00020620 ScriptStringFree
       2109  44B 000932C0 ScriptStringGetLogicalWidths
       2110  44C 00008AC0 ScriptStringGetOrder
       2111  44D 00021E40 ScriptStringOut
       2112  44E 00093420 ScriptStringValidate
       2113  44F 00093540 ScriptStringXtoCP
       2114  450 00093720 ScriptString_pLogAttr
       2115  451 00093740 ScriptString_pSize
       2116  452 0000A8D0 ScriptString_pcOutChars
       2117  453 00094C80 ScriptSubstituteSingleGlyph
       2118  454 000179B0 ScriptTextOut
       2119  455 00093760 ScriptXtoCP
       2120  456 0005F740 SelectBrushLocal
       2121  457 0003EA80 SelectClipPath
       2122  458 0003B610 SelectClipPathImpl
       2123  459 0003EA90 SelectClipRgn
       2124  45A 0002F640 SelectClipRgnImpl
       2125  45B 0005F740 SelectFontLocal
       2126  45C 0003EAA0 SelectObject
       2127  45D 00027F20 SelectObjectImpl
       2128  45E 0002FEF0 SelectPalette
       2129  45F 00073E10 SetAbortProc
       2130  460 00061880 SetArcDirection
       2131  461 0003D1C0 SetBitmapAttributes
       2132  462 00030B30 SetBitmapBits
       2133  463 0005FF60 SetBitmapDimensionEx
       2134  464 0002B600 SetBkColor
       2135  465 0003EAB0 SetBkMode
       2136  466 00029B50 SetBkModeImpl
       2137  467 00031120 SetBoundsRect
       2138  468 00060FF0 SetBrushAttributes
       2139  469 0001F5C0 SetBrushOrgEx
       2140  46A 000618B0 SetColorAdjustment
       2141  46B 0003A9F0 SetColorSpace
       2142  46C 0002C4F0 SetDCBrushColor
       2143  46D 0006B2A0 SetDCPenColor
       2144  46E 0003BF10 SetDIBColorTable
       2145  46F 00029090 SetDIBits
       2146  470 000292A0 SetDIBitsToDevice
       2147  471 0003D320 SetDeviceGammaRamp
       2148  472 000812A0 SetEnhMetaFileBits
       2149  473 00063190 SetFontEnumeration
       2150  474 0002C9A0 SetGraphicsMode
       2151  475 0001F7E0 SetICMModeImpl
       2152  476 0006A830 SetICMProfileA
       2153  477 0006AA20 SetICMProfileW
       2154  478 0001F3A0 SetLayout
       2155  479 00061390 SetLayoutWidth
       2156  47A 000200A0 SetMapMode
       2157  47B 00061940 SetMapperFlags
       2158  47C 00070FB0 SetMetaFileBitsEx
       2159  47D 0002F240 SetMetaRgn
       2160  47E 0003B230 SetMiterLimitImpl
       2161  47F 00074830 SetPaletteEntries
       2162  480 00027BF0 SetPixel
       2163  481 00074EF0 SetPixelFormat
       2164  482 00030C20 SetPixelV
       2165  483 0003EAC0 SetPolyFillMode
       2166  484 0003A820 SetPolyFillModeImpl
       2167  485 0001FF80 SetROP2
       2168  486 0006B4A0 SetRelAbs
       2169  487 0003EAD0 SetStretchBltMode
       2170  488 0002C630 SetStretchBltModeImpl
       2171  489 00061A30 SetSystemPaletteUse
       2172  48A 0003EAE0 SetTextAlign
       2173  48B 0002A590 SetTextAlignImpl
       2174  48C 000385B0 SetTextCharacterExtra
       2175  48D 0003EAF0 SetTextColor
       2176  48E 0002AB90 SetTextColorImpl
       2177  48F 000384E0 SetTextJustification
       2178  490 00061460 SetViewportExtEx
       2179  491 0002C390 SetViewportOrgEx
       2180  492 00061640 SetVirtualResolution
       2181  493 00081330 SetWinMetaFileBits
       2182  494 00061660 SetWindowExtEx
       2183  495 0002E120 SetWindowOrgEx
       2184  496 0003EB00 SetWorldTransform
       2185  497 0002BE20 SetWorldTransformImpl
       2186  498 00073EB0 StartDocA
       2187  499 0003EB10 StartDocW
       2188  49A 00074070 StartDocWImpl
       2189  49B 00074680 StartFormPage
       2190  49C 0003EB20 StartPage
       2191  49D 00036D10 StartPageImpl
       2192  49E 0002F860 StretchBlt
       2193  49F 0003EB30 StretchDIBits
       2194  4A0 00029F10 StretchDIBitsImpl
       2195  4A1 00074AB0 StrokeAndFillPath
       2196  4A2 00074B80 StrokePathImpl
       2197  4A3 00074FD0 SwapBuffers
       2198  4A4 000746A0 TextOutA
       2199  4A5 0000A580 TextOutW
       2200  4A6 0000A940 TranslateCharsetInfo
       2201  4A7 000631B0 UnloadNetworkFonts
       2202  4A8 00039320 UnloadUserModePrinterDriver
       2203  4A9 0005FF80 UnrealizeObject
       2204  4AA 00074710 UpdateColors
       2205  4AB 0005CB60 UpdateICMRegKeyA
       2206  4AC 0005CB60 UpdateICMRegKeyW
       2207  4AD 0001EF00 UspAllocCache
       2208  4AE 00020910 UspAllocTemp
       2209  4AF 00020A00 UspFreeMem
       2210  4B0 00074C50 WidenPath
       2211  4B1 00079600 XLATEOBJ_piVector
       2212  4B2 0003CE30 bInitSystemAndFontsDirectoriesW
       2213  4B3 0003CD10 bMakePathNameW
       2214  4B4 0003CB10 cGetTTFFromFOT
       2215  4B5 000ADFD0 ftsWordBreak
       2216  4B6 0005FFC0 gdiPlaySpoolStream
       2217  4B7 00031550 hdcCreateDCW
       2218  4B8 0002DFD0 plinkGet
       2219  4B9 0002EC70 vDeleteLOCALFONT
       2220  4BA 0003C280 vFreeUFIHashTable
       1000      00030310 [NONAME]
       1001      0005CBC0 [NONAME]
       1002      0005CBF0 [NONAME]
       1003      000305B0 [NONAME]
       1005      0002F6F0 [NONAME]
       1006      0005CB90 [NONAME]
       1007      0002E7B0 [NONAME]
       1009      00030660 [NONAME]
       1010      00030740 [NONAME]
       1013      0005CB30 [NONAME]

  Summary

        5000 .data
        1000 .didat
        8000 .pdata
       A6000 .rdata
        2000 .reloc
       12000 .rsrc
       D1000 .text
