Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\gdi32full.dll

File Type: DLL

  Section contains the following exports for gdi32full.dll

    00000000 characteristics
    6E3B72C0 time date stamp
        0.00 version
        1000 ordinal base
        1221 number of functions
        1211 number of names

    ordinal hint RVA      name

       1227   D9 00030600 GdiPlayJournal
       1228   DA 00036460 GdiPlayPageEMF
       1229   DB 00075CF0 GdiPlayPrivatePageEMF
       1230   DC 00030600 GdiPlayScript
       1231   DD 00035200 GdiPrinterThunk
       1232   DE 0001B8D0 GdiProcessSetup
       1233   DF 0005F6F0 GdiQueryTable
       1234   E0 0001FB50 GdiRealizationInfo
       1235   E1 0003D350 GdiReleaseLocalDC
       1236   E2 00075D30 GdiResetDCEMF
       1237   E3 0003D350 GdiSetAttrs
       1238   E4 00073450 GdiSetBatchLimit
       1239   E5 00074DF0 GdiSetPixelFormat
       1240   E6 0002E7A0 GdiSetServerAttr
       1241   E7 00034DD0 GdiStartDocEMF
       1242   E8 0003BF80 GdiStartPageEMF
       1243   E9 0003D350 GdiSupportsFontChangeEvent
       1244   EA 00074E10 GdiSwapBuffers
       1245   EB 0002EB20 GdiTrackHCreate
       1246   EC 0002E7A0 GdiTrackHDelete
       1247   ED 0006AC20 GdiTransparentBlt
       1248   EE 0001E680 GdiValidateHandle
       1249   EF 0005CC10 GetArcDirection
       1250   F0 0005CC40 GetAspectRatioFilterEx
       1251   F1 00060FE0 GetBitmapAttributes
       1252   F2 00030F10 GetBitmapBits
       1253   F3 0005FE00 GetBitmapDimensionEx
       1254   F4 0001FAD0 GetBkColor
       1255   F5 0001E470 GetBkMode
       1256   F6 000312B0 GetBoundsRect
       1257   F7 00060FE0 GetBrushAttributes
       1258   F8 0000A1B0 GetBrushOrgEx
       1259   F9 0005CC60 GetCharABCWidthsA
       1260   FA 0005CC80 GetCharABCWidthsFloatA
       1261   FB 0005CCA0 GetCharABCWidthsFloatI
       1262   FC 0005CCD0 GetCharABCWidthsFloatW
       1263   FD 0005CCF0 GetCharABCWidthsI
       1264   FE 00030B50 GetCharABCWidthsW
       1265   FF 0005CD20 GetCharWidth32A
       1266  100 0005CD40 GetCharWidth32W
       1267  101 0005CD60 GetCharWidthA
       1268  102 0005CD80 GetCharWidthFloatA
       1269  103 0005CDA0 GetCharWidthFloatW
       1270  104 0005CDC0 GetCharWidthI
       1271  105 0005CE20 GetCharWidthW
       1272  106 0005CE40 GetCharacterPlacementA
       1273  107 0005D190 GetCharacterPlacementW
       1274  108 0003E9B0 GetClipBox
       1275  109 000305E0 GetClipBoxImpl
       1276  10A 0002BD00 GetClipRgn
       1277  10B 0001FE50 GetCodePage
       1278  10C 0005D250 GetColorAdjustment
       1279  10D 000654D0 GetColorSpace
       1280  10E 0001EDB0 GetCurrentObject
       1281  10F 0001EC80 GetCurrentPositionEx
       1282  110 0006AEB0 GetDCBrushColor
       1283  111 00020C90 GetDCDpiScaleValue
       1284  112 0000A260 GetDCOrgEx
       1285  113 0006AF50 GetDCPenColor
       1286  114 00030A10 GetDIBColorTable
       1287  115 0002B9A0 GetDIBits
       1288  116 0003E9C0 GetDeviceCaps
       1289  117 00065560 GetDeviceGammaRamp
       1290  118 0005D3C0 GetETM
       1291  119 00075260 GetEUDCTimeStamp
       1292  11A 00075280 GetEUDCTimeStampExW
       1293  11B 00080BE0 GetEnhMetaFileA
       1294  11C 00080C90 GetEnhMetaFileBits
       1295  11D 00080D40 GetEnhMetaFileDescriptionA
       1296  11E 00080D50 GetEnhMetaFileDescriptionW
       1297  11F 000387E0 GetEnhMetaFileHeader
       1298  120 00080D70 GetEnhMetaFilePaletteEntries
       1299  121 00080E90 GetEnhMetaFilePixelFormat
       1300  122 00080F90 GetEnhMetaFileW
       1301  123 000752B0 GetFontAssocStatus
       1302  124 0003E9D0 GetFontData
       1303  125 0002F710 GetFontDataImpl
       1304  126 000629B0 GetFontFileData
       1305  127 00009410 GetFontFileInfo
       1306  128 0006AFF0 GetFontLanguageInfo
       1307  129 0001FBC0 GetFontRealizationInfo
       1308  12A 00062A00 GetFontResourceInfoW
       1309  12B 0003ECA0 GetFontUnicodeRanges
       1310  12C 0005D420 GetGlyphIndicesA
       1311  12D 0005D650 GetGlyphIndicesW
       1312  12E 0005D670 GetGlyphOutlineA
       1313  12F 0003C380 GetGlyphOutlineW
       1314  130 0005D7E0 GetGlyphOutlineWow
       1315  131 0006B070 GetGraphicsMode
       1316  132 0002C7A0 GetHFONT
       1317  133 000655F0 GetICMProfileA
       1318  134 00065700 GetICMProfileW
       1319  135 0005D820 GetKerningPairsA
       1320  136 0005DB00 GetKerningPairsW
       1321  137 00020350 GetLayout
       1322  138 000658A0 GetLogColorSpaceA
       1323  139 00065A00 GetLogColorSpaceW
       1324  13A 000214A0 GetMapMode
       1325  13B 0006C070 GetMetaFileA
       1326  13C 0006EF00 GetMetaFileBitsEx
       1327  13D 0006C120 GetMetaFileW
       1328  13E 0005FE20 GetMetaRgn
       1329  13F 0005DB40 GetMiterLimit
       1330  140 00009B20 GetNearestColor
       1331  141 0005FE40 GetNearestPaletteIndex
       1332  142 0000CC70 GetObjectA
       1333  143 0002C250 GetObjectType
       1334  144 0002E4D0 GetObjectW
       1335  145 0005DB60 GetOutlineTextMetricsA
       1336  146 0003C350 GetOutlineTextMetricsW
       1337  147 00031280 GetPaletteEntries
       1338  148 000749B0 GetPath
       1339  149 00027D50 GetPixel
       1340  14A 00074E80 GetPixelFormat
       1341  14B 0006B0F0 GetPolyFillMode
       1342  14C 00031380 GetProcessSessionFonts
       1343  14D 0006B170 GetROP2
       1344  14E 0002FD00 GetRandomRgn
       1345  14F 00062BC0 GetRasterizerCaps
       1346  150 0003E9E0 GetRegionData
       1347  151 0006B1F0 GetRelAbs
       1348  152 0003E9F0 GetRgnBox
       1349  153 0002C850 GetStockObject
       1350  154 0006B220 GetStretchBltMode
       1351  155 000752D0 GetStringBitmapA
       1352  156 00030D20 GetSystemPaletteEntries
       1353  157 0005DED0 GetSystemPaletteUse
       1354  158 0001FF00 GetTextAlign
       1355  159 0000A810 GetTextCharacterExtra
       1356  15A 00031050 GetTextCharset
       1357  15B 0003ECB0 GetTextCharsetInfo
       1358  15C 0001EF70 GetTextColor
       1359  15D 0005DEF0 GetTextExtentExPointA
       1360  15E 0005E210 GetTextExtentExPointI
       1361  15F 0005E260 GetTextExtentExPointW
       1362  160 0005E2F0 GetTextExtentExPointWPri
       1363  161 0005E340 GetTextExtentPoint32A
       1364  162 0001ED90 GetTextExtentPoint32W
       1365  163 0005E360 GetTextExtentPointA
       1366  164 0005E730 GetTextExtentPointI
       1367  165 0001E6F0 GetTextExtentPointW
       1368  166 0005E760 GetTextFaceA
       1369  167 00006E40 GetTextFaceAliasW
       1370  168 0002DB10 GetTextFaceW
       1371  169 0003EA00 GetTextMetricsA
       1372  16A 0000A280 GetTextMetricsAImpl
       1373  16B 00022C20 GetTextMetricsW
       1374  16C 00061030 GetTransform
       1375  16D 0000CE60 GetViewportExtEx
       1376  16E 0002E6A0 GetViewportOrgEx
       1377  16F 00081000 GetWinMetaFileBits
       1378  170 0000CF40 GetWindowExtEx
       1379  171 00021400 GetWindowOrgEx
       1380  172 00030F30 GetWorldTransform
       1381  173 00039E60 IcmDeleteLocalDC
       1382  174 0002EAB0 IcmReleaseCachedColorSpace
       1383  175 0003EA10 IntersectClipRect
       1384  176 0002E600 IntersectClipRectImpl
       1385  177 00073590 InvertRgn
       1386  178 00081230 IsValidEnhMetaRecord
       1387  179 00081270 IsValidEnhMetaRecordOffExt
       1388  17A 0002DD00 LPtoDP
       1389  17B 0006B4D0 LineDDA
       1390  17C 0003EA20 LineTo
       1391  17D 00030680 LineToImpl
       1392  17E 00022EC0 LpkDrawTextEx
       1393  17F 000AD360 LpkExtTextOut
       1394  180 000AD3C0 LpkGetCharacterPlacement
       1395  181 0002C050 LpkGetTextExtentExPoint
       1396  182 0001BEA0 LpkInitialize
       1397  183 000ACE20 LpkPSMTextOut
       1398  184 0002E7A0 LpkPresent
       1399  185 000ADB80 LpkTabbedTextOut
       1400  186 0001F320 LpkUseGDIWidthCache
       1401  187 0006F2C0 MF16_DeleteObject
       1402  188 00084C60 MF_DeleteObject
       1403  189 0001E710 MaskBlt
       1404  18A 00060500 MirrorRgn
       1405  18B 00030600 ModerncoreGdiInit
       1406  18C 00029690 ModifyWorldTransform
       1407  18D 0003EA30 MoveToEx
       1408  18E 0002B210 MoveToExImpl
       1409  18F 0002BFA0 NamedEscape
       1410  190 0003ECC0 NtDxgkCreateTrackedWorkload
       1411  191 0003ECD0 NtDxgkDestroyTrackedWorkload
       1412  192 0003ECE0 NtDxgkEndTrackedWorkload
       1413  193 0003ECF0 NtDxgkGetAvailableTrackedWorkloadIndex
       1414  194 0003ED00 NtDxgkGetProcessList
       1415  195 0003ED10 NtDxgkGetTrackedWorkloadStatistics
       1416  196 0003ED20 NtDxgkRegisterVailProcess
       1417  197 0003ED30 NtDxgkResetTrackedWorkload
       1418  198 0003ED40 NtDxgkSubmitPresentBltToHwQueue
       1419  199 0003ED50 NtDxgkSubmitPresentToHwQueue
       1420  19A 0003ED60 NtDxgkUpdateTrackedWorkload
       1421  19B 0003ED70 NtDxgkVailConnect
       1422  19C 0003ED80 NtDxgkVailDisconnect
       1423  19D 0003ED90 NtDxgkVailPromoteCompositionSurface
       1424  19E 0003EDA0 NtGdiAbortDoc
       1425  19F 0003EDB0 NtGdiAbortPath
       1426  1A0 0003EDC0 NtGdiAddEmbFontToDC
       1427  1A1 0003EDD0 NtGdiAddFontMemResourceEx
       1428  1A2 0003EDE0 NtGdiAddFontResourceW
       1429  1A3 0003EDF0 NtGdiAddRemoteFontToDC
       1430  1A4 0003EE00 NtGdiAddRemoteMMInstanceToDC
       1431  1A5 0003EE10 NtGdiAlphaBlend
       1432  1A6 0003EE20 NtGdiAngleArc
       1433  1A7 0003EE30 NtGdiAnyLinkedFonts
       1434  1A8 0003EE40 NtGdiArcInternal
