Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\framedynos.dll

File Type: DLL

  Section contains the following exports for framedynos.dll

    00000000 characteristics
    29F94FA1 time date stamp
        0.00 version
           1 ordinal base
         611 number of functions
         611 number of names

    ordinal hint RVA      name

        112   6F 0001CC60 ??8WBEMTimeSpan@@QEBAHAEBV0@@Z
        113   70 0001CC80 ??9WBEMTime@@QEBAHAEBV0@@Z
        114   71 0001CC80 ??9WBEMTimeSpan@@QEBAHAEBV0@@Z
        115   72 00002940 ??ACHPtrArray@@QEAAAEAPEAXH@Z
        116   73 00002C80 ??ACHPtrArray@@QEBAPEAXH@Z
        117   74 00011DE0 ??ACHString@@QEBAGH@Z
        118   75 00002940 ??ACHStringArray@@QEAAAEAVCHString@@H@Z
        119   76 00002470 ??ACHStringArray@@QEBA?AVCHString@@H@Z
        120   77 00002870 ??BCHString@@QEBAPEBGXZ
        121   78 00028470 ??GWBEMTime@@QEAA?AVWBEMTimeSpan@@AEBV0@@Z
        122   79 00028470 ??GWBEMTime@@QEBA?AV0@AEBVWBEMTimeSpan@@@Z
        123   7A 00028470 ??GWBEMTimeSpan@@QEBA?AV0@AEBV0@@Z
        124   7B 00011A60 ??H@YA?AVCHString@@AEBV0@0@Z
        125   7C 00011AF0 ??H@YA?AVCHString@@AEBV0@G@Z
        126   7D 00027A70 ??H@YA?AVCHString@@AEBV0@PEBG@Z
        127   7E 00027B20 ??H@YA?AVCHString@@GAEBV0@@Z
        128   7F 0000B240 ??H@YA?AVCHString@@PEBGAEBV0@@Z
        129   80 000284A0 ??HWBEMTime@@QEBA?AV0@AEBVWBEMTimeSpan@@@Z
        130   81 000284A0 ??HWBEMTimeSpan@@QEBA?AV0@AEBV0@@Z
        131   82 0001CCA0 ??MWBEMTime@@QEBAHAEBV0@@Z
        132   83 0001CCA0 ??MWBEMTimeSpan@@QEBAHAEBV0@@Z
        133   84 0001CCC0 ??NWBEMTime@@QEBAHAEBV0@@Z
        134   85 0001CCC0 ??NWBEMTimeSpan@@QEBAHAEBV0@@Z
        135   86 0001CCE0 ??OWBEMTime@@QEBAHAEBV0@@Z
        136   87 0001CCE0 ??OWBEMTimeSpan@@QEBAHAEBV0@@Z
        137   88 0001CD00 ??PWBEMTime@@QEBAHAEBV0@@Z
        138   89 0001CD00 ??PWBEMTimeSpan@@QEBAHAEBV0@@Z
        139   8A 0000AF60 ??YCHString@@QEAAAEBV0@AEBV0@@Z
        140   8B 0000AC10 ??YCHString@@QEAAAEBV0@D@Z
        141   8C 0000AE90 ??YCHString@@QEAAAEBV0@G@Z
        142   8D 0000ACF0 ??YCHString@@QEAAAEBV0@PEBG@Z
        143   8E 000284D0 ??YWBEMTime@@QEAAAEBV0@AEBVWBEMTimeSpan@@@Z
        144   8F 000284D0 ??YWBEMTimeSpan@@QEAAAEBV0@AEBV0@@Z
        145   90 00028500 ??ZWBEMTime@@QEAAAEBV0@AEBVWBEMTimeSpan@@@Z
        146   91 00028500 ??ZWBEMTimeSpan@@QEAAAEBV0@AEBV0@@Z
        147   92 0002C020 ??_7CFrameworkQueryEx@@6B@
        148   93 0002C008 ??_7CInstance@@6B@
        149   94 0002C038 ??_7CThreadBase@@6B@
        150   95 0002C288 ??_7CWbemGlueFactory@@6B@
        151   96 0002C138 ??_7CWbemProviderGlue@@6BIWbemProviderInit@@@
        152   97 0002C160 ??_7CWbemProviderGlue@@6BIWbemServices@@@
        153   98 0002C520 ??_7CWinMsgEvent@@6B@
        154   99 0002C0D8 ??_7MethodContext@@6B@
        155   9A 0002C050 ??_7Provider@@6B@
        156   9B 0002C270 ??_7ProviderLog@@6B@
        157   9C 0001CEE0 ??_FCObjectPathParser@@QEAAXXZ
        158   9D 0001CF10 ??_FCThreadBase@@QEAAXXZ
        159   9E 00004290 ?Add@CHPtrArray@@QEAAHPEAX@Z
        160   9F 00003800 ?Add@CHStringArray@@QEAAHPEBG@Z
        161   A0 000057C0 ?AddFlushPtr@CWbemProviderGlue@@AEAAXPEAX@Z
        162   A1 00010960 ?AddKeyRef@ParsedObjectPath@@QEAAHPEAUKeyRef@@@Z
        163   A2 00025490 ?AddKeyRef@ParsedObjectPath@@QEAAHPEBGPEBUtagVARIANT@@@Z
        164   A3 00025580 ?AddKeyRefEx@ParsedObjectPath@@QEAAHPEBGPEBUtagVARIANT@@@Z
        165   A4 00010330 ?AddNamespace@ParsedObjectPath@@QEAAHPEBG@Z
        166   A5 00021400 ?AddProviderToMap@CWbemProviderGlue@@CAPEAVProvider@@PEBG0PEAV2@@Z
        167   A6 00002D00 ?AddRef@CInstance@@QEAAJXZ
        168   A7 00020680 ?AddRef@CThreadBase@@QEAAJXZ
        169   A8 0000BF90 ?AddRef@CWbemGlueFactory@@UEAAKXZ
        170   A9 00007CE0 ?AddRef@CWbemProviderGlue@@UEAAKXZ
        171   AA 00020680 ?AddRef@MethodContext@@QEAAJXZ
        172   AB 0000CE00 ?AddToFactoryMap@CWbemProviderGlue@@KAXPEBVCWbemGlueFactory@@PEAJ@Z
        173   AC 00006BD0 ?AllPropertiesAreRequired@CFrameworkQuery@@QEAA_NXZ
        174   AD 00027C10 ?AllocBeforeWrite@CHString@@IEAAXH@Z
        175   AE 0000B690 ?AllocBuffer@CHString@@IEAAXH@Z
        176   AF 0000BDA0 ?AllocCopy@CHString@@IEBAXAEAV1@HHH@Z
        177   B0 00027C60 ?AllocSysString@CHString@@QEBAPEAGXZ
        178   B1 00028FC0 ?Append@CHPtrArray@@QEAAHAEBV1@@Z
        179   B2 00028C10 ?Append@CHStringArray@@QEAAHAEBV1@@Z
        180   B3 000073B0 ?AssignCopy@CHString@@IEAAXHPEBG@Z
        181   B4 00002CE0 ?BeginRead@CThreadBase@@QEAAHK@Z
        182   B5 00002CE0 ?BeginWrite@CThreadBase@@QEAAHK@Z
        183   B6 0001CF20 ?CancelAsyncCall@CWbemProviderGlue@@UEAAJPEAUIWbemObjectSink@@@Z
        184   B7 0001CF20 ?CancelAsyncRequest@CWbemProviderGlue@@UEAAJJ@Z
        185   B8 000293F0 ?CheckAndAddToList@CRegistrySearch@@AEAAXPEAVCRegistry@@VCHString@@1AEAVCHPtrArray@@11H@Z
        186   B9 0001D610 ?CheckFileSize@ProviderLog@@AEAAXAEAT_LARGE_INTEGER@@AEBVCHString@@@Z
        187   BA 000077C0 ?CheckImpersonationLevel@CWbemProviderGlue@@CAJXZ
        188   BB 0001CF30 ?Clear@WBEMTime@@QEAAXXZ
        189   BC 0001CF30 ?Clear@WBEMTimeSpan@@QEAAXXZ
        190   BD 00025850 ?ClearKeys@ParsedObjectPath@@QEAAXXZ
        191   BE 0000C310 ?Close@CRegistry@@QEAAXXZ
        192   BF 000295D0 ?CloseSubKey@CRegistry@@AEAAXXZ
        193   C0 0001CF40 ?Collate@CHString@@QEBAHPEBG@Z
        194   C1 00002960 ?Commit@CInstance@@QEAAJXZ
        195   C2 000207D0 ?Commit@Provider@@IEAAJPEAVCInstance@@_N@Z
        196   C3 00008150 ?Compare@CHString@@QEBAHPEBG@Z
        197   C4 00011C10 ?CompareNoCase@CHString@@QEBAHPEBG@Z
        198   C5 0000B3B0 ?ConcatCopy@CHString@@IEAAXHPEBGH0@Z
        199   C6 00027CB0 ?ConcatInPlace@CHString@@IEAAXHPEBG@Z
        200   C7 00029020 ?Copy@CHPtrArray@@QEAAXAEBV1@@Z
        201   C8 00028C70 ?Copy@CHStringArray@@QEAAXAEBV1@@Z
        202   C9 00009460 ?CopyBeforeWrite@CHString@@IEAAXXZ
        203   CA 0000D800 ?Create@CWbemGlueFactory@@SAPEAV1@PEAJ@Z
        204   CB 0001D790 ?Create@CWbemGlueFactory@@SAPEAV1@XZ
        205   CC 0001CF20 ?CreateClassEnum@CWbemProviderGlue@@UEAAJQEAGJPEAUIWbemContext@@PEAPEAUIEnumWbemClassObject@@@Z
        206   CD 0001CF20 ?CreateClassEnumAsync@CWbemProviderGlue@@UEAAJQEAGJPEAUIWbemContext@@PEAUIWbemObjectSink@@@Z
        207   CE 0000D5C0 ?CreateInstance@CWbemGlueFactory@@UEAAJPEAUIUnknown@@AEBU_GUID@@PEAPEAX@Z
        208   CF 0001CF20 ?CreateInstanceEnum@CWbemProviderGlue@@UEAAJQEAGJPEAUIWbemContext@@PEAPEAUIEnumWbemClassObject@@@Z
        209   D0 00003650 ?CreateInstanceEnum@Provider@@AEAAJPEAVMethodContext@@J@Z
        210   D1 00008180 ?CreateInstanceEnumAsync@CWbemProviderGlue@@UEAAJQEAGJPEAUIWbemContext@@PEAUIWbemObjectSink@@@Z
        211   D2 000261D0 ?CreateMsgProvider@CWinMsgEvent@@CAXXZ
        212   D3 00026280 ?CreateMsgWindow@CWinMsgEvent@@CAPEAUHWND__@@XZ
        213   D4 00004680 ?CreateNewInstance@Provider@@IEAAPEAVCInstance@@PEAVMethodContext@@@Z
        214   D5 00029600 ?CreateOpen@CRegistry@@QEAAJPEAUHKEY__@@PEBGPEAGKKPEAU_SECURITY_ATTRIBUTES@@PEAK@Z
        215   D6 00026370 ?CtrlHandlerRoutine@CWinMsgEvent@@CAHK@Z
        216   D7 0000D560 ?DecrementMapCount@CWbemProviderGlue@@KAJPEAJ@Z
        217   D8 0000CCF0 ?DecrementMapCount@CWbemProviderGlue@@KAJPEBVCWbemGlueFactory@@@Z
        218   D9 00021510 ?DecrementObjectCount@CWbemProviderGlue@@SAJXZ
        219   DA 0001CF20 ?DeleteClass@CWbemProviderGlue@@UEAAJQEAGJPEAUIWbemContext@@PEAPEAUIWbemCallResult@@@Z
        220   DB 0001CF20 ?DeleteClassAsync@CWbemProviderGlue@@UEAAJQEAGJPEAUIWbemContext@@PEAUIWbemObjectSink@@@Z
        221   DC 00029750 ?DeleteCurrentKeyValue@CRegistry@@QEAAKPEAUHKEY__@@PEBG@Z
        222   DD 00029770 ?DeleteCurrentKeyValue@CRegistry@@QEAAKPEBG@Z
        223   DE 0001CF20 ?DeleteInstance@CWbemProviderGlue@@UEAAJQEAGJPEAUIWbemContext@@PEAPEAUIWbemCallResult@@@Z
        224   DF 00020810 ?DeleteInstance@Provider@@AEAAJPEAUParsedObjectPath@@JPEAVMethodContext@@@Z
        225   E0 000039C0 ?DeleteInstance@Provider@@MEAAJAEBVCInstance@@J@Z
        226   E1 00021580 ?DeleteInstanceAsync@CWbemProviderGlue@@UEAAJQEAGJPEAUIWbemContext@@PEAUIWbemObjectSink@@@Z
        227   E2 00029790 ?DeleteKey@CRegistry@@QEAAJPEAVCHString@@@Z
        228   E3 00029770 ?DeleteValue@CRegistry@@QEAAJPEBG@Z
        229   E4 0001D7E0 ?Destroy@CWbemGlueFactory@@QEAAXXZ
        230   E5 000263B0 ?DestroyMsgWindow@CWinMsgEvent@@CAXXZ
        231   E6 00002940 ?ElementAt@CHPtrArray@@QEAAAEAPEAXH@Z
        232   E7 00002940 ?ElementAt@CHStringArray@@QEAAAEAVCHString@@H@Z
        233   E8 0000A650 ?Empty@CHString@@QEAAXXZ
        234   E9 00010C90 ?Empty@CObjectPathParser@@AEAAXXZ
        235   EA 00003120 ?EndRead@CThreadBase@@QEAAXXZ
        236   EB 00003120 ?EndWrite@CThreadBase@@QEAAXXZ
        237   EC 000297D0 ?EnumerateAndGetValues@CRegistry@@QEAAJAEAKAEAPEAGAEAPEAE@Z
        238   ED 000039C0 ?EnumerateInstances@Provider@@MEAAJPEAVMethodContext@@J@Z
        239   EE 0001CF20 ?ExecMethod@CWbemProviderGlue@@UEAAJQEAG0JPEAUIWbemContext@@PEAUIWbemClassObject@@PEAPEAU3@PEAPEAUIWbemCallResult@@@Z
        240   EF 000208D0 ?ExecMethod@Provider@@AEAAJPEAUParsedObjectPath@@PEAGJPEAVCInstance@@2PEAVMethodContext@@@Z
        241   F0 000039C0 ?ExecMethod@Provider@@MEAAJAEBVCInstance@@QEAGPEAV2@2J@Z
        242   F1 00021B50 ?ExecMethodAsync@CWbemProviderGlue@@UEAAJQEAG0JPEAUIWbemContext@@PEAUIWbemClassObject@@PEAUIWbemObjectSink@@@Z
        243   F2 0001CF20 ?ExecNotificationQuery@CWbemProviderGlue@@UEAAJQEAG0JPEAUIWbemContext@@PEAPEAUIEnumWbemClassObject@@@Z
        244   F3 0001CF20 ?ExecNotificationQueryAsync@CWbemProviderGlue@@UEAAJQEAG0JPEAUIWbemContext@@PEAUIWbemObjectSink@@@Z
        245   F4 0001CF20 ?ExecQuery@CWbemProviderGlue@@UEAAJQEAG0JPEAUIWbemContext@@PEAPEAUIEnumWbemClassObject@@@Z
        246   F5 000039C0 ?ExecQuery@Provider@@MEAAJPEAVMethodContext@@AEAVCFrameworkQuery@@J@Z
        247   F6 00006D80 ?ExecQueryAsync@CWbemProviderGlue@@UEAAJQEAG0JPEAUIWbemContext@@PEAUIWbemObjectSink@@@Z
        248   F7 00005910 ?ExecuteQuery@Provider@@AEAAJPEAVMethodContext@@AEAVCFrameworkQuery@@J@Z
        249   F8 00022590 ?FillInstance@CWbemProviderGlue@@SAJPEAVCInstance@@PEBG@Z
        250   F9 00022660 ?FillInstance@CWbemProviderGlue@@SAJPEAVMethodContext@@PEAVCInstance@@@Z
        251   FA 00002A10 ?Find@CHString@@QEBAHG@Z
