Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\shell32.dll

File Type: DLL

  Section contains the following exports for SHELL32.dll

    00000000 characteristics
    6A056922 time date stamp
        0.00 version
           2 ordinal base
        2000 number of functions
         482 number of names

    ordinal hint RVA      name

        355   B5 0004E500 SHELL32_AreAllItemsAvailable
        356   B6 0026CBE0 SHELL32_BindToFilePlaceholderHandler
        357   B7 0026CBF0 SHELL32_CCommonPlacesFolder_CreateInstance
        358   B8 0026CC00 SHELL32_CDBurn_CloseSession
        359   B9 0026CC10 SHELL32_CDBurn_DriveSupportedForDataBurn
        360   BA 0026CC20 SHELL32_CDBurn_Erase
        361   BB 0026CC90 SHELL32_CDBurn_GetCDInfo
        362   BC 0026CCA0 SHELL32_CDBurn_GetLiveFSDiscInfo
        363   BD 000AD6A0 SHELL32_CDBurn_GetStagingPathOrNormalPath
        364   BE 0026CCB0 SHELL32_CDBurn_GetTaskInfo
        365   BF 0026CCC0 SHELL32_CDBurn_IsBlankDisc
        366   C0 0026CCD0 SHELL32_CDBurn_IsBlankDisc2
        367   C1 0026CD30 SHELL32_CDBurn_IsLiveFS
        368   C2 0026CD40 SHELL32_CDBurn_OnDeviceChange
        369   C3 0026CD50 SHELL32_CDBurn_OnEject
        370   C4 0026CDC0 SHELL32_CDBurn_OnMediaChange
        371   C5 0026CDD0 SHELL32_CDefFolderMenu_Create2
        372   C6 0026CE30 SHELL32_CDefFolderMenu_Create2Ex
        373   C7 0026CE90 SHELL32_CDefFolderMenu_MergeMenu
        374   C8 0026CEA0 SHELL32_CDrivesContextMenu_Create
        375   C9 00106F10 SHELL32_CDrivesDropTarget_Create
        376   CA 001013D0 SHELL32_CDrives_CreateSFVCB
        377   CB 000B6BC0 SHELL32_CFSDropTarget_CreateInstance
        378   CC 000D1100 SHELL32_CFSFolderCallback_Create
        379   CD 000D24F0 SHELL32_CFillPropertiesTask_CreateInstance
        380   CE 0026CEB0 SHELL32_CLibraryDropTarget_CreateInstance
        381   CF 000D1D40 SHELL32_CLocationContextMenu_Create
        382   D0 0026CEC0 SHELL32_CLocationFolderUI_CreateInstance
        383   D1 0026CED0 SHELL32_CMountPoint_DoAutorun
        384   D2 0026CEE0 SHELL32_CMountPoint_DoAutorunPrompt
        385   D3 0026CF10 SHELL32_CMountPoint_IsAutoRunDriveAndEnabledByPolicy
        386   D4 0026CF20 SHELL32_CMountPoint_ProcessAutoRunFile
        387   D5 0026CF30 SHELL32_CMountPoint_WantAutorunUI
        388   D6 0026CF40 SHELL32_CMountPoint_WantAutorunUIGetReady
        389   D7 000DC9E0 SHELL32_CPL_CategoryIdArrayFromVariant
        390   D8 0026CF50 SHELL32_CPL_IsLegacyCanonicalNameListedUnderKey
        391   D9 0026CF70 SHELL32_CPL_ModifyWowDisplayName
        392   DA 0026CF80 SHELL32_CRecentDocsContextMenu_CreateInstance
        393   DB 0001B5A0 SHELL32_CSyncRootManager_CreateInstance
        394   DC 0026CF90 SHELL32_CTransferConfirmation_CreateInstance
        395   DD 0026CFA0 SHELL32_CallFileCopyHooks
        396   DE 0026CFF0 SHELL32_CanDisplayWin8CopyDialog
        397   DF 0026D020 SHELL32_CloseAutoplayPrompt
        398   E0 0026D030 SHELL32_CommandLineFromMsiDescriptor
        399   E1 0026D050 SHELL32_CopyFilePlaceholderToNewFile
        400   E2 0010A060 SHELL32_CopySecondaryTiles
        401   E3 0026D060 SHELL32_CreateConfirmationInterrupt
        402   E4 0026D070 SHELL32_CreateConflictInterrupt
        403   E5 0026D080 SHELL32_CreateDefaultOperationDataProvider
