Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\uxlib.dll

File Type: DLL

  Section contains the following exports for UXLIB.DLL

    00000000 characteristics
    2B8FF314 time date stamp
        0.00 version
           1 ordinal base
         414 number of functions
         414 number of names

    ordinal hint RVA      name

        121   78 00002A40 ??A?$CSimpleArray@VCDriverItem@@V?$CSimpleArrayEqualHelper@VCDriverItem@@@ATL@@@ATL@@QEAAAEAVCDriverItem@@H@Z
        122   79 00002A40 ??A?$CSimpleArray@VCDriverItem@@V?$CSimpleArrayEqualHelper@VCDriverItem@@@ATL@@@ATL@@QEBAAEBVCDriverItem@@H@Z
        123   7A 00002080 ??A?$CSimpleArray@VCLanguageItem@@V?$CSimpleArrayEqualHelper@VCLanguageItem@@@ATL@@@ATL@@QEAAAEAVCLanguageItem@@H@Z
        124   7B 00002080 ??A?$CSimpleArray@VCLanguageItem@@V?$CSimpleArrayEqualHelper@VCLanguageItem@@@ATL@@@ATL@@QEBAAEBVCLanguageItem@@H@Z
        125   7C 00006100 ??A?$CSimpleStringT@G$0A@@ATL@@QEBAGH@Z
        126   7D 0000D770 ??ACImageData@@UEAAAEAVCLanguageItem@@I@Z
        127   7E 00009720 ??ACKeyboardLayouts@@UEAA?AVCKeyboardLayout@@H@Z
        128   7F 00008030 ??ACLanguages@@UEAA?AVCLanguage@@H@Z
        129   80 0000AEE0 ??ACLayeredDrivers@@UEAA?AVCLayeredDriver@@H@Z
        130   81 0000B9B0 ??ACLoadDriver@@UEAAAEAVCDriverItem@@I@Z
        131   82 00009720 ??ACLocales@@UEAA?AVCLocale@@H@Z
        132   83 00001A80 ??B?$CSimpleStringT@G$0A@@ATL@@QEAAAEAV?$CSimpleStringT@G$00@1@XZ
        133   84 00002070 ??B?$CSimpleStringT@G$0A@@ATL@@QEBAPEBGXZ
        134   85 00001A80 ??B?$CStringT@GV?$StrTraitATL@GV?$ChTraitsCRT@G@ATL@@@ATL@@@ATL@@QEAAAEAV?$CSimpleStringT@G$00@1@XZ
        135   86 00004D20 ??Y?$CSimpleStringT@G$0A@@ATL@@QEAAAEAV01@AEBV01@@Z
        136   87 00004BE0 ??Y?$CSimpleStringT@G$0A@@ATL@@QEAAAEAV01@D@Z
        137   88 00004BC0 ??Y?$CSimpleStringT@G$0A@@ATL@@QEAAAEAV01@E@Z
        138   89 00004BA0 ??Y?$CSimpleStringT@G$0A@@ATL@@QEAAAEAV01@G@Z
        139   8A 00004CE0 ??Y?$CSimpleStringT@G$0A@@ATL@@QEAAAEAV01@PEBG@Z
        140   8B 000068D0 ??Y?$CStringT@GV?$StrTraitATL@GV?$ChTraitsCRT@G@ATL@@@ATL@@@ATL@@QEAAAEAV01@AEBUtagVARIANT@@@Z
        141   8C 00004D20 ??Y?$CStringT@GV?$StrTraitATL@GV?$ChTraitsCRT@G@ATL@@@ATL@@@ATL@@QEAAAEAV01@AEBV?$CSimpleStringT@G$0A@@1@@Z
        142   8D 00004BE0 ??Y?$CStringT@GV?$StrTraitATL@GV?$ChTraitsCRT@G@ATL@@@ATL@@@ATL@@QEAAAEAV01@D@Z
        143   8E 00004BC0 ??Y?$CStringT@GV?$StrTraitATL@GV?$ChTraitsCRT@G@ATL@@@ATL@@@ATL@@QEAAAEAV01@E@Z
        144   8F 00004BA0 ??Y?$CStringT@GV?$StrTraitATL@GV?$ChTraitsCRT@G@ATL@@@ATL@@@ATL@@QEAAAEAV01@G@Z
        145   90 00004C00 ??Y?$CStringT@GV?$StrTraitATL@GV?$ChTraitsCRT@G@ATL@@@ATL@@@ATL@@QEAAAEAV01@PEBD@Z
        146   91 00004CE0 ??Y?$CStringT@GV?$StrTraitATL@GV?$ChTraitsCRT@G@ATL@@@ATL@@@ATL@@QEAAAEAV01@PEBG@Z
        147   92 000161A8 ??_7CImageData@@6B@
        148   93 00016078 ??_7CKeyboardLayouts@@6B@
        149   94 00016138 ??_7CLanguages@@6B@
        150   95 00016100 ??_7CLayeredDrivers@@6B@
        151   96 00016018 ??_7CLoadDriver@@6B@
        152   97 000160A8 ??_7CLocales@@6B@
