Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\wintrust.dll

File Type: DLL

  Section contains the following exports for WINTRUST.dll

    00000000 characteristics
    D51E499A time date stamp
        0.00 version
           1 ordinal base
         156 number of functions
         156 number of names

    ordinal hint RVA      name

        149   94 000061A0 WintrustLoadFunctionPointers
        150   95 0001CE10 WintrustRemoveActionID
        151   96 00028DC0 WintrustSetDefaultIncludePEPageHashes
        152   97 0001D9F0 WintrustSetRegPolicyFlags
        153   98 00005AA0 mscat32DllRegisterServer
        154   99 00005AA0 mscat32DllUnregisterServer
        155   9A 00027B80 mssip32DllRegisterServer
        156   9B 00027DA0 mssip32DllUnregisterServer

  Summary

        1000 .data
        1000 .didat
        4000 .pdata
       14000 .rdata
        1000 .reloc
        2000 .rsrc
       3B000 .text
