Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\combase.dll

File Type: DLL

  Section contains the following exports for combase.dll

    00000000 characteristics
    1C3DC270 time date stamp
        0.00 version
           1 ordinal base
         532 number of functions
         451 number of names

    ordinal hint RVA      name

         61  155 000E51D0 NdrProxyForwardingFunction32
         33  156 000E4910 NdrProxyForwardingFunction4
         34  157 000E4960 NdrProxyForwardingFunction5
         35  158 000E49B0 NdrProxyForwardingFunction6
         36  159 000E4A00 NdrProxyForwardingFunction7
         37  15A 000E4A50 NdrProxyForwardingFunction8
         38  15B 000E4AA0 NdrProxyForwardingFunction9
        463  15C 000A5970 NdrpFindInterface
          9  15D 0010C8C0 ObjectStublessClient10
         10  15E 0010C8E0 ObjectStublessClient11
         11  15F 0010C900 ObjectStublessClient12
         12  160 0010C920 ObjectStublessClient13
         13  161 0010C940 ObjectStublessClient14
         14  162 0010C960 ObjectStublessClient15
         15  163 0010C980 ObjectStublessClient16
         16  164 0010C9A0 ObjectStublessClient17
         17  165 0010C9C0 ObjectStublessClient18
         18  166 0010C9E0 ObjectStublessClient19
         19  167 0010CA00 ObjectStublessClient20
         20  168 0010CA20 ObjectStublessClient21
         21  169 0010CA40 ObjectStublessClient22
         22  16A 0010CA60 ObjectStublessClient23
         23  16B 0010CA80 ObjectStublessClient24
         24  16C 0010CAA0 ObjectStublessClient25
         25  16D 0010CAC0 ObjectStublessClient26
         26  16E 0010CAE0 ObjectStublessClient27
         27  16F 0010CB00 ObjectStublessClient28
         28  170 0010CB20 ObjectStublessClient29
          2  171 0010C7E0 ObjectStublessClient3
         29  172 0010CB40 ObjectStublessClient30
         30  173 0010CB60 ObjectStublessClient31
         31  174 0010CB80 ObjectStublessClient32
          3  175 0010C800 ObjectStublessClient4
          4  176 0010C820 ObjectStublessClient5
          5  177 0010C840 ObjectStublessClient6
          6  178 0010C860 ObjectStublessClient7
          7  179 0010C880 ObjectStublessClient8
          8  17A 0010C8A0 ObjectStublessClient9
        464  17B 00092CF0 ProgIDFromCLSID
        465  17C 00092F90 PropVariantClear
        466  17D 000AA070 PropVariantCopy
        467  17E 000C5690 ReleaseFuncDescs
        468  17F 000312D0 RoActivateInstance
        469  180 001E58B0 RoCaptureErrorContext
        470  181 000B0CA0 RoClearError
        471  182 001E5A20 RoFailFastWithErrorContext
         84  183 001E5530 RoFailFastWithErrorContextInternal
         83  184 001E4FD0 RoFailFastWithErrorContextInternal2
        472  185 001E9170 RoFreeParameterizedTypeExtra
        473  186 00074850 RoGetActivatableClassRegistration
        474  187 00033BD0 RoGetActivationFactory
        475  188 00041830 RoGetAgileReference
        476  189 00047050 RoGetApartmentIdentifier
        477  18A 000D8800 RoGetErrorReportingFlags
        478  18B 000D6E90 RoGetMatchingRestrictedErrorInfo
        479  18C 0008FF40 RoGetParameterizedTypeInstanceIID
        480  18D 00088CC0 RoGetServerActivatableClasses
        481  18E 000CC460 RoInitialize
        482  18F 001E5A30 RoInspectCapturedStackBackTrace
        483  190 001E5A40 RoInspectThreadErrorInfo
        484  191 000803A0 RoOriginateError
        485  192 00082D80 RoOriginateErrorW
        486  193 000D7790 RoOriginateLanguageException
        487  194 000D9C90 RoParameterizedTypeExtraGetTypeSignature
        488  195 00094E70 RoRegisterActivationFactories
        489  196 000BDE80 RoRegisterForApartmentShutdown
        490  197 001E5AF0 RoReportCapabilityCheckFailure
        491  198 001E5B30 RoReportFailedDelegate
        492  199 001E5DA0 RoReportUnhandledError
        493  19A 001E7790 RoResolveRestrictedErrorInfoReference
        494  19B 00091FA0 RoRevokeActivationFactories
