Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\msi.dll

File Type: DLL

  Section contains the following exports for msi.dll

    00000000 characteristics
    EC1E5BAB time date stamp
        0.00 version
           5 ordinal base
         295 number of functions
         295 number of names

    ordinal hint RVA      name

        214   A0 000E38C0 MsiIsProductElevatedA
        215   A1 000E3AF0 MsiIsProductElevatedW
        287   A2 0010D4C0 MsiJoinTransaction
        196   A3 000E4910 MsiLoadStringA
        197   A4 000E4AA0 MsiLoadStringW
         89   A5 000E4C20 MsiLocateComponentA
         90   A6 000E4D00 MsiLocateComponentW
        198   A7 000E4DE0 MsiMessageBoxA
        279   A8 000E4E10 MsiMessageBoxExA
        280   A9 000E50D0 MsiMessageBoxExW
        199   AA 000E52C0 MsiMessageBoxW
        229   AB 000E52F0 MsiNotifySidChangeA
        230   AC 000E53F0 MsiNotifySidChangeW
         91   AD 0012B410 MsiOpenDatabaseA
         92   AE 0012B550 MsiOpenDatabaseW
         93   AF 000E6890 MsiOpenPackageA
        231   B0 000E6960 MsiOpenPackageExA
        232   B1 000E6A40 MsiOpenPackageExW
         94   B2 000E7730 MsiOpenPackageW
         95   B3 000E8410 MsiOpenProductA
         96   B4 000E8560 MsiOpenProductW
         97   B5 0012BD30 MsiPreviewBillboardA
         98   B6 0012BE30 MsiPreviewBillboardW
         99   B7 0012BF20 MsiPreviewDialogA
        100   B8 0012BFB0 MsiPreviewDialogW
        101   B9 000E86B0 MsiProcessAdvertiseScriptA
        102   BA 000E8820 MsiProcessAdvertiseScriptW
        103   BB 0012C020 MsiProcessMessage
        225   BC 000E95D0 MsiProvideAssemblyA
        226   BD 000E9C40 MsiProvideAssemblyW
        104   BE 000EB550 MsiProvideComponentA
        105   BF 000EB730 MsiProvideComponentFromDescriptorA
        106   C0 00007430 MsiProvideComponentFromDescriptorW
        107   C1 000EB840 MsiProvideComponentW
        108   C2 000ECC60 MsiProvideQualifiedComponentA
        202   C3 000ECC90 MsiProvideQualifiedComponentExA
        203   C4 000ED8E0 MsiProvideQualifiedComponentExW
        109   C5 000EF1B0 MsiProvideQualifiedComponentW
        249   C6 0010ED90 MsiQueryComponentStateA
        250   C7 0010EF90 MsiQueryComponentStateW
        110   C8 000EF1E0 MsiQueryFeatureStateA
        251   C9 0010FCF0 MsiQueryFeatureStateExA
        252   CA 0010FEF0 MsiQueryFeatureStateExW
        187   CB 000EF300 MsiQueryFeatureStateFromDescriptorA
        188   CC 000EF490 MsiQueryFeatureStateFromDescriptorW
        111   CD 000F0280 MsiQueryFeatureStateW
        112   CE 000F03A0 MsiQueryProductStateA
        113   CF 00002F10 MsiQueryProductStateW
        167   D0 0012C810 MsiRecordClearData
        114   D1 0012C880 MsiRecordDataSize
        115   D2 0012C9D0 MsiRecordGetFieldCount
        116   D3 0012D100 MsiRecordGetInteger
        117   D4 0012D190 MsiRecordGetStringA
        118   D5 0012D370 MsiRecordGetStringW
        119   D6 0012DBA0 MsiRecordIsNull
        120   D7 0012E2E0 MsiRecordReadStream
        121   D8 0012EB20 MsiRecordSetInteger
        122   D9 0012F260 MsiRecordSetStreamA
        123   DA 0012F300 MsiRecordSetStreamW
        124   DB 0012F4C0 MsiRecordSetStringA
        125   DC 0012F650 MsiRecordSetStringW
        126   DD 000F06C0 MsiReinstallFeatureA
        127   DE 000F08F0 MsiReinstallFeatureFromDescriptorA
        128   DF 000F0AB0 MsiReinstallFeatureFromDescriptorW
        129   E0 000F18B0 MsiReinstallFeatureW
        130   E1 000F2630 MsiReinstallProductA
        131   E2 000F27D0 MsiReinstallProductW
        237   E3 00110C50 MsiRemovePatchesA
        238   E4 00110E20 MsiRemovePatchesW
        132   E5 0012FE00 MsiSequenceA
        133   E6 0012FEA0 MsiSequenceW
        134   E7 00130610 MsiSetComponentStateA
        135   E8 00130770 MsiSetComponentStateW
        136   E9 000F3530 MsiSetExternalUIA
        281   EA 00111BF0 MsiSetExternalUIRecord
        137   EB 000F3550 MsiSetExternalUIW
        206   EC 00130EE0 MsiSetFeatureAttributesA
        207   ED 00131040 MsiSetFeatureAttributesW
        138   EE 001317D0 MsiSetFeatureStateA
        139   EF 00131930 MsiSetFeatureStateW
        140   F0 001320C0 MsiSetInstallLevel
        141   F1 00009FF0 MsiSetInternalUI
        143   F2 00132800 MsiSetMode
        288   F3 0013A680 MsiSetOfflineContextW
        144   F4 00132FD0 MsiSetPropertyA
        145   F5 001332A0 MsiSetPropertyW
        146   F6 00133B30 MsiSetTargetPathA
        147   F7 00133DA0 MsiSetTargetPathW
        273   F8 00111C80 MsiSourceListAddMediaDiskA
        274   F9 00111F30 MsiSourceListAddMediaDiskW
        210   FA 000F3570 MsiSourceListAddSourceA
        255   FB 001133C0 MsiSourceListAddSourceExA
        256   FC 001135C0 MsiSourceListAddSourceExW
        211   FD 000F37B0 MsiSourceListAddSourceW
        208   FE 000F44F0 MsiSourceListClearAllA
        259   FF 00113CF0 MsiSourceListClearAllExA
        260  100 00113EB0 MsiSourceListClearAllExW
        209  101 000F46D0 MsiSourceListClearAllW
        275  102 00114C00 MsiSourceListClearMediaDiskA
        276  103 00114DD0 MsiSourceListClearMediaDiskW
        257  104 001154F0 MsiSourceListClearSourceA
        258  105 001156F0 MsiSourceListClearSourceW
        271  106 00115E20 MsiSourceListEnumMediaDisksA
        272  107 00116130 MsiSourceListEnumMediaDisksW
        263  108 001168B0 MsiSourceListEnumSourcesA
        264  109 00116B00 MsiSourceListEnumSourcesW
        212  10A 000F53D0 MsiSourceListForceResolutionA
        261  10B 00117250 MsiSourceListForceResolutionExA
        262  10C 00117400 MsiSourceListForceResolutionExW
        213  10D 000F55B0 MsiSourceListForceResolutionW
        265  10E 00118180 MsiSourceListGetInfoA
        266  10F 00118410 MsiSourceListGetInfoW
        267  110 00118B50 MsiSourceListSetInfoA
        268  111 00118D70 MsiSourceListSetInfoW
        148  112 001345C0 MsiSummaryInfoGetPropertyA
        149  113 00134790 MsiSummaryInfoGetPropertyCount
        150  114 00134EB0 MsiSummaryInfoGetPropertyW
        151  115 001356C0 MsiSummaryInfoPersist
        152  116 00135DD0 MsiSummaryInfoSetPropertyA
        153  117 00135EA0 MsiSummaryInfoSetPropertyW
        154  118 000F62B0 MsiUseFeatureA
        192  119 000F62D0 MsiUseFeatureExA
