Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\framedyn.dll

File Type: DLL

  Section contains the following exports for framedyn.dll

    00000000 characteristics
    4FD9ED7D time date stamp
        0.00 version
           1 ordinal base
         614 number of functions
         614 number of names

    ordinal hint RVA      name

        181   B4 0001C4F0 ?Append@CHStringArray@@QEAAHAEBV1@@Z
        182   B5 00019670 ?AssignCopy@CHString@@IEAAXHPEBG@Z
        183   B6 00001BE0 ?BeginRead@CThreadBase@@QEAAHK@Z
        184   B7 00001BE0 ?BeginWrite@CThreadBase@@QEAAHK@Z
        185   B8 000021C0 ?CancelAsyncCall@CWbemProviderGlue@@UEAAJPEAUIWbemObjectSink@@@Z
        186   B9 000021C0 ?CancelAsyncRequest@CWbemProviderGlue@@UEAAJJ@Z
        187   BA 0001E6C0 ?CheckAndAddToList@CRegistrySearch@@AEAAXPEAVCRegistry@@VCHString@@1AEAVCHPtrArray@@11H@Z
        188   BB 000031F0 ?CheckFileSize@ProviderLog@@AEAAXAEAT_LARGE_INTEGER@@AEBVCHString@@@Z
        189   BC 000102F0 ?CheckImpersonationLevel@CWbemProviderGlue@@CAJXZ
        190   BD 00001A20 ?Clear@WBEMTime@@QEAAXXZ
        191   BE 00001A20 ?Clear@WBEMTimeSpan@@QEAAXXZ
        192   BF 00013A40 ?ClearKeys@ParsedObjectPath@@QEAAXXZ
        193   C0 0001DFA0 ?Close@CRegistry@@QEAAXXZ
        194   C1 0001E090 ?CloseSubKey@CRegistry@@AEAAXXZ
        195   C2 00001810 ?Collate@CHString@@QEBAHPEBG@Z
        196   C3 000069B0 ?Commit@CInstance@@QEAAJXZ
        197   C4 00009B20 ?Commit@Provider@@IEAAJPEAVCInstance@@_N@Z
        198   C5 0001A7F0 ?Compare@CHString@@QEBAHPEBG@Z
        199   C6 00001800 ?CompareNoCase@CHString@@QEBAHPEBG@Z
        200   C7 00019720 ?ConcatCopy@CHString@@IEAAXHPEBGH0@Z
        201   C8 00019860 ?ConcatInPlace@CHString@@IEAAXHPEBG@Z
        202   C9 0001CB20 ?Copy@CHPtrArray@@QEAAXAEBV1@@Z
        203   CA 0001C570 ?Copy@CHStringArray@@QEAAXAEBV1@@Z
        204   CB 00019DD0 ?CopyBeforeWrite@CHString@@IEAAXXZ
        205   CC 000034C0 ?Create@CWbemGlueFactory@@SAPEAV1@PEAJ@Z
        206   CD 00003480 ?Create@CWbemGlueFactory@@SAPEAV1@XZ
        207   CE 000021C0 ?CreateClassEnum@CWbemProviderGlue@@UEAAJQEAGJPEAUIWbemContext@@PEAPEAUIEnumWbemClassObject@@@Z
        208   CF 000021C0 ?CreateClassEnumAsync@CWbemProviderGlue@@UEAAJQEAGJPEAUIWbemContext@@PEAUIWbemObjectSink@@@Z
        209   D0 00003750 ?CreateInstance@CWbemGlueFactory@@UEAAJPEAUIUnknown@@AEBU_GUID@@PEAPEAX@Z
        210   D1 000021C0 ?CreateInstanceEnum@CWbemProviderGlue@@UEAAJQEAGJPEAUIWbemContext@@PEAPEAUIEnumWbemClassObject@@@Z
        211   D2 00009C50 ?CreateInstanceEnum@Provider@@AEAAJPEAVMethodContext@@J@Z
        212   D3 0000BEE0 ?CreateInstanceEnumAsync@CWbemProviderGlue@@UEAAJQEAGJPEAUIWbemContext@@PEAUIWbemObjectSink@@@Z
        213   D4 00015F30 ?CreateMsgProvider@CWinMsgEvent@@CAXXZ
        214   D5 00016100 ?CreateMsgWindow@CWinMsgEvent@@CAPEAUHWND__@@XZ
        215   D6 00009A00 ?CreateNewInstance@Provider@@IEAAPEAVCInstance@@PEAVMethodContext@@@Z
        216   D7 0001D460 ?CreateOpen@CRegistry@@QEAAJPEAUHKEY__@@PEBGPEAGKKPEAU_SECURITY_ATTRIBUTES@@PEAK@Z
        217   D8 00016070 ?CtrlHandlerRoutine@CWinMsgEvent@@CAHK@Z
        218   D9 000110B0 ?DecrementMapCount@CWbemProviderGlue@@KAJPEAJ@Z
        219   DA 00010FC0 ?DecrementMapCount@CWbemProviderGlue@@KAJPEBVCWbemGlueFactory@@@Z
        220   DB 00010280 ?DecrementObjectCount@CWbemProviderGlue@@SAJXZ
        221   DC 000021C0 ?DeleteClass@CWbemProviderGlue@@UEAAJQEAGJPEAUIWbemContext@@PEAPEAUIWbemCallResult@@@Z
        222   DD 000021C0 ?DeleteClassAsync@CWbemProviderGlue@@UEAAJQEAGJPEAUIWbemContext@@PEAUIWbemObjectSink@@@Z
        223   DE 0001E640 ?DeleteCurrentKeyValue@CRegistry@@QEAAKPEAUHKEY__@@PEBG@Z
        224   DF 0001D5F0 ?DeleteCurrentKeyValue@CRegistry@@QEAAKPEBG@Z
        225   E0 000021C0 ?DeleteInstance@CWbemProviderGlue@@UEAAJQEAGJPEAUIWbemContext@@PEAPEAUIWbemCallResult@@@Z
        226   E1 00009D90 ?DeleteInstance@Provider@@AEAAJPEAUParsedObjectPath@@JPEAVMethodContext@@@Z
        227   E2 00009CB0 ?DeleteInstance@Provider@@MEAAJAEBVCInstance@@J@Z
        228   E3 0000D2C0 ?DeleteInstanceAsync@CWbemProviderGlue@@UEAAJQEAGJPEAUIWbemContext@@PEAUIWbemObjectSink@@@Z
        229   E4 0001D5B0 ?DeleteKey@CRegistry@@QEAAJPEAVCHString@@@Z
        230   E5 0001D5F0 ?DeleteValue@CRegistry@@QEAAJPEBG@Z
        231   E6 00003510 ?Destroy@CWbemGlueFactory@@QEAAXXZ
        232   E7 00015FD0 ?DestroyMsgWindow@CWinMsgEvent@@CAXXZ
        233   E8 000018B0 ?ElementAt@CHPtrArray@@QEAAAEAPEAXH@Z
        234   E9 000018B0 ?ElementAt@CHStringArray@@QEAAAEAVCHString@@H@Z
        235   EA 0001A1F0 ?Empty@CHString@@QEAAXXZ
        236   EB 000140B0 ?Empty@CObjectPathParser@@AEAAXXZ
        237   EC 00001C00 ?EndRead@CThreadBase@@QEAAXXZ
        238   ED 00001C00 ?EndWrite@CThreadBase@@QEAAXXZ
        239   EE 0001D080 ?EnumerateAndGetValues@CRegistry@@QEAAJAEAKAEAPEAGAEAPEAE@Z
        240   EF 00009CB0 ?EnumerateInstances@Provider@@MEAAJPEAVMethodContext@@J@Z
        241   F0 000021C0 ?ExecMethod@CWbemProviderGlue@@UEAAJQEAG0JPEAUIWbemContext@@PEAUIWbemClassObject@@PEAPEAU3@PEAPEAUIWbemCallResult@@@Z
        242   F1 00009E50 ?ExecMethod@Provider@@AEAAJPEAUParsedObjectPath@@PEAGJPEAVCInstance@@2PEAVMethodContext@@@Z
        243   F2 00009CB0 ?ExecMethod@Provider@@MEAAJAEBVCInstance@@QEAGPEAV2@2J@Z
        244   F3 0000D7B0 ?ExecMethodAsync@CWbemProviderGlue@@UEAAJQEAG0JPEAUIWbemContext@@PEAUIWbemClassObject@@PEAUIWbemObjectSink@@@Z
        245   F4 000021C0 ?ExecNotificationQuery@CWbemProviderGlue@@UEAAJQEAG0JPEAUIWbemContext@@PEAPEAUIEnumWbemClassObject@@@Z
        246   F5 000021C0 ?ExecNotificationQueryAsync@CWbemProviderGlue@@UEAAJQEAG0JPEAUIWbemContext@@PEAUIWbemObjectSink@@@Z
        247   F6 000021C0 ?ExecQuery@CWbemProviderGlue@@UEAAJQEAG0JPEAUIWbemContext@@PEAPEAUIEnumWbemClassObject@@@Z
        248   F7 00009CB0 ?ExecQuery@Provider@@MEAAJPEAVMethodContext@@AEAVCFrameworkQuery@@J@Z
        249   F8 0000B8F0 ?ExecQueryAsync@CWbemProviderGlue@@UEAAJQEAG0JPEAUIWbemContext@@PEAUIWbemObjectSink@@@Z
        250   F9 00009B60 ?ExecuteQuery@Provider@@AEAAJPEAVMethodContext@@AEAVCFrameworkQuery@@J@Z
        251   FA 0000F250 ?FillInstance@CWbemProviderGlue@@SAJPEAVCInstance@@PEBG@Z
        252   FB 0000F310 ?FillInstance@CWbemProviderGlue@@SAJPEAVMethodContext@@PEAVCInstance@@@Z
        253   FC 0001AAB0 ?Find@CHString@@QEBAHG@Z
        254   FD 0001AB40 ?Find@CHString@@QEBAHPEBG@Z
        255   FE 0001AAE0 ?FindOneOf@CHString@@QEBAHPEBG@Z
        256   FF 00009980 ?Flush@Provider@@MEAAXXZ
        257  100 0000B350 ?FlushAll@CWbemProviderGlue@@AEAAXXZ
        258  101 0001B030 ?Format@CHString@@QEAAXIZZ
        259  102 0001B000 ?Format@CHString@@QEAAXPEBGZZ
        260  103 0001B030 ?FormatMessageW@CHString@@QEAAXIZZ
        261  104 0001B060 ?FormatMessageW@CHString@@QEAAXPEBGZZ
        262  105 00019A00 ?FormatV@CHString@@QEAAXPEBGPEAD@Z
        263  106 0000E280 ?FrameworkLogin@CWbemProviderGlue@@SAXPEBGPEAVProvider@@0@Z
        264  107 00010200 ?FrameworkLoginDLL@CWbemProviderGlue@@SAHPEBG@Z
        265  108 00010CC0 ?FrameworkLoginDLL@CWbemProviderGlue@@SAHPEBGPEAJ@Z
        266  109 0000E370 ?FrameworkLogoff@CWbemProviderGlue@@SAXPEBG0@Z
        267  10A 00010210 ?FrameworkLogoffDLL@CWbemProviderGlue@@SAHPEBG@Z
        268  10B 00010D20 ?FrameworkLogoffDLL@CWbemProviderGlue@@SAHPEBGPEAJ@Z
        269  10C 00014550 ?Free@CObjectPathParser@@QEAAXPEAUParsedObjectPath@@@Z
        270  10D 0001C5E0 ?FreeExtra@CHPtrArray@@QEAAXXZ
        271  10E 0001A9B0 ?FreeExtra@CHString@@QEAAXXZ
        272  10F 0001C5E0 ?FreeExtra@CHStringArray@@QEAAXXZ
        273  110 0001EAE0 ?FreeSearchList@CRegistrySearch@@QEAAHHAEAVCHPtrArray@@@Z
        274  111 0000E740 ?GetAllDerivedInstances@CWbemProviderGlue@@SAJPEBGPEAV?$TRefPointerCollection@VCInstance@@@@PEAVMethodContext@@0@Z
        275  112 0000E7D0 ?GetAllDerivedInstancesAsynch@CWbemProviderGlue@@SAJPEBGPEAVProvider@@P6AJ1PEAVCInstance@@PEAVMethodContext@@PEAX@Z034@Z
        276  113 0000E610 ?GetAllInstances@CWbemProviderGlue@@SAJPEBGPEAV?$TRefPointerCollection@VCInstance@@@@0PEAVMethodContext@@@Z
        277  114 0000E6A0 ?GetAllInstancesAsynch@CWbemProviderGlue@@SAJPEBGPEAVProvider@@P6AJ1PEAVCInstance@@PEAVMethodContext@@PEAX@Z034@Z
        278  115 00001730 ?GetAllocLength@CHString@@QEBAHXZ
        279  116 0001CF30 ?GetAt@CHPtrArray@@QEBAPEAXH@Z
        280  117 00001700 ?GetAt@CHString@@QEBAGH@Z
        281  118 00001860 ?GetAt@CHStringArray@@QEBA?AVCHString@@H@Z
        282  119 0001B910 ?GetBSTR@WBEMTime@@QEBAPEAGXZ
        283  11A 0001C120 ?GetBSTR@WBEMTimeSpan@@QEBAPEAGXZ
        284  11B 0001A820 ?GetBuffer@CHString@@QEAAPEAGH@Z
        285  11C 0001A960 ?GetBufferSetLength@CHString@@QEAAPEAGH@Z
        286  11D 00007B90 ?GetByte@CInstance@@QEBA_NPEBGAEAE@Z
        287  11E 00006D80 ?GetCHString@CInstance@@QEBA_NPEBGAEAVCHString@@@Z
        288  11F 000021F0 ?GetCSDVersion@CWbemProviderGlue@@SAPEBGXZ
        289  120 000024D0 ?GetClassNameW@CRegistry@@QEAAPEAGXZ
        290  121 000069D0 ?GetClassObjectInterface@CInstance@@QEAAPEAUIWbemClassObject@@XZ
        291  122 0000A470 ?GetClassObjectInterface@Provider@@AEAAPEAUIWbemClassObject@@PEAVMethodContext@@@Z
        292  123 00010140 ?GetComputerNameW@CWbemProviderGlue@@CAXAEAVCHString@@@Z
        293  124 0001DDE0 ?GetCurrentBinaryKeyValue@CRegistry@@QEAAKPEAUHKEY__@@PEBGPEAEPEAK@Z
