Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\icuuc.dll

File Type: DLL

  Section contains the following exports for icuuc.dll

    00000000 characteristics
    A6331E83 time date stamp
        0.00 version
           1 ordinal base
        2815 number of functions
        2815 number of names

    ordinal hint RVA      name

       1234  4D1 0009FFB0 ?getStaticClassID@UStack@icu@@SAPEAXXZ
       1235  4D2 000A29B0 ?getStaticClassID@UStringEnumeration@icu@@SAPEAXXZ
       1236  4D3 000B25F0 ?getStaticClassID@UVector32@icu@@SAPEAXXZ
       1237  4D4 000B2DD0 ?getStaticClassID@UVector64@icu@@SAPEAXXZ
       1238  4D5 000B19E0 ?getStaticClassID@UVector@icu@@SAPEAXXZ
       1239  4D6 0008A990 ?getStaticClassID@UnicodeFilter@icu@@SAPEAXXZ
       1240  4D7 0008AAD0 ?getStaticClassID@UnicodeFunctor@icu@@SAPEAXXZ
       1241  4D8 0008C320 ?getStaticClassID@UnicodeSet@icu@@SAPEAXXZ
       1242  4D9 0009CB20 ?getStaticClassID@UnicodeSetIterator@icu@@SAPEAXXZ
       1243  4DA 00093A60 ?getStaticClassID@UnicodeString@icu@@SAPEAXXZ
       1244  4DB 00020920 ?getString@Iterator@BytesTrie@icu@@QEBA?AVStringPiece@3@XZ
       1245  4DC 0001B840 ?getString@Iterator@UCharsTrie@icu@@QEBAAEBVUnicodeString@3@XZ
       1246  4DD 00046EF0 ?getString@ResourceBundle@icu@@QEBA?AVUnicodeString@2@AEAW4UErrorCode@@@Z
       1247  4DE 0008C3E0 ?getString@UnicodeSet@icu@@AEBAPEBVUnicodeString@2@H@Z
       1248  4DF 0009CB30 ?getString@UnicodeSetIterator@icu@@QEAAAEBVUnicodeString@2@XZ
       1249  4E0 0001B070 ?getStringAt@UStringSet@icu@@QEBAPEBVUnicodeString@2@H@Z
       1250  4E1 0008C3F0 ?getStringCount@UnicodeSet@icu@@AEBAHXZ
       1251  4E2 00046F30 ?getStringEx@ResourceBundle@icu@@QEBA?AVUnicodeString@2@HAEAW4UErrorCode@@@Z
       1252  4E3 00046F80 ?getStringEx@ResourceBundle@icu@@QEBA?AVUnicodeString@2@PEBDAEAW4UErrorCode@@@Z
       1253  4E4 00032E90 ?getSubstring@MessagePattern@icu@@QEBA?AVUnicodeString@2@AEBVPart@12@@Z
       1254  4E5 0004AA50 ?getSupportedIDs@ICUResourceBundleFactory@icu@@MEBAPEBVHashtable@2@AEAW4UErrorCode@@@Z
       1255  4E6 0000E410 ?getSupportedIDs@LocaleKeyFactory@icu@@MEBAPEBVHashtable@2@AEAW4UErrorCode@@@Z
       1256  4E7 0002FC50 ?getTaiwan@Locale@icu@@SAAEBV12@XZ
       1257  4E8 00008CB0 ?getTerminatedBuffer@UnicodeString@icu@@QEAAPEB_SXZ
       1258  4E9 0003B2B0 ?getText@Normalizer@icu@@QEAAXAEAVUnicodeString@2@@Z
       1259  4EA 0003F420 ?getText@RuleBasedBreakIterator@icu@@UEBAAEAVCharacterIterator@2@XZ
       1260  4EB 00047A40 ?getText@StringCharacterIterator@icu@@UEAAXAEAVUnicodeString@2@@Z
       1261  4EC 0005CCC0 ?getText@UCharCharacterIterator@icu@@UEAAXAEAVUnicodeString@2@@Z
       1262  4ED 0004B6A0 ?getTextWithNoArguments@SimpleFormatter@icu@@CA?AVUnicodeString@2@PEB_SH@Z
       1263  4EE 0002A920 ?getTextWithNoArguments@SimpleFormatter@icu@@QEBA?AVUnicodeString@2@XZ
       1264  4EF 00048C80 ?getTimestamp@ICUService@icu@@IEBAHXZ
       1265  4F0 00026730 ?getToDate@DateInterval@icu@@QEBANXZ
       1266  4F1 0002FC50 ?getTraditionalChinese@Locale@icu@@SAAEBV12@XZ
       1267  4F2 00022100 ?getTrailCCFromCompYesAndZeroCC@Normalizer2Impl@icu@@AEBAEG@Z
       1268  4F3 0000E410 ?getType@BytesDictionaryMatcher@icu@@UEBAHXZ
       1269  4F4 00046FD0 ?getType@ResourceBundle@icu@@QEBA?AW4UResType@@XZ
       1270  4F5 0000E490 ?getType@UCharsDictionaryMatcher@icu@@UEBAHXZ
       1271  4F6 00046FE0 ?getUInt@ResourceBundle@icu@@QEBAIAEAW4UErrorCode@@@Z
       1272  4F7 0002FC60 ?getUK@Locale@icu@@SAAEBV12@XZ
       1273  4F8 00018180 ?getUMode@Normalizer@icu@@QEBA?AW4UNormalizationMode@@XZ
       1274  4F9 0002FC70 ?getUS@Locale@icu@@SAAEBV12@XZ
       1275  4FA 0003F430 ?getUText@RuleBasedBreakIterator@icu@@UEBAPEAUUText@@PEAU3@AEAW4UErrorCode@@@Z
       1276  4FB 00008C60 ?getUnicodeString@ResourceValue@icu@@QEBA?AVUnicodeString@2@AEAW4UErrorCode@@@Z
       1277  4FC 0001B850 ?getValue@BytesTrie@icu@@QEBAHXZ
       1278  4FD 0001B870 ?getValue@Iterator@BytesTrie@icu@@QEBAHXZ
       1279  4FE 0001B880 ?getValue@Iterator@UCharsTrie@icu@@QEBAHXZ
       1280  4FF 0009A4B0 ?getValue@ResourceArray@icu@@QEBACHAEAVResourceValue@2@@Z
       1281  500 0001B890 ?getValue@UCharsTrie@icu@@QEBAHXZ
       1282  501 0001DB70 ?getVariant@Locale@icu@@QEBAPEBDXZ
       1283  502 00046FF0 ?getVersion@ResourceBundle@icu@@QEBAXQEAE@Z
       1284  503 00047000 ?getVersionNumber@ResourceBundle@icu@@QEBAPEBDXZ
       1285  504 00048C90 ?getVisibleIDMap@ICUService@icu@@IEBAPEBVHashtable@2@AEAW4UErrorCode@@@Z
       1286  505 00048D60 ?getVisibleIDs@ICUService@icu@@QEBAAEAVUVector@2@AEAV32@AEAW4UErrorCode@@@Z
       1287  506 00048D80 ?getVisibleIDs@ICUService@icu@@QEBAAEAVUVector@2@AEAV32@PEBVUnicodeString@2@AEAW4UErrorCode@@@Z
       1288  507 00047010 ?getWithFallback@ResourceBundle@icu@@QEAA?AV12@PEBDAEAW4UErrorCode@@@Z
       1289  508 0001DB90 ?geti@Hashtable@icu@@QEBAHAEBVUnicodeString@2@@Z
       1290  509 00026E50 ?growArray@Edits@icu@@AEAACXZ
       1291  50A 0004AA70 ?handleCreate@ICUResourceBundleFactory@icu@@MEBAPEAVUObject@2@AEBVLocale@2@HPEBVICUService@2@AEAW4UErrorCode@@@Z
       1292  50B 0000E410 ?handleCreate@LocaleKeyFactory@icu@@MEBAPEAVUObject@2@AEBVLocale@2@HPEBVICUService@2@AEAW4UErrorCode@@@Z
       1293  50C 0000E410 ?handleDefault@ICUService@icu@@MEBAPEAVUObject@2@AEBVICUServiceKey@2@PEAVUnicodeString@2@AEAW4UErrorCode@@@Z
       1294  50D 0000E400 ?handleFailure@ErrorCode@icu@@MEBAXXZ
       1295  50E 0003F460 ?handleNext@RuleBasedBreakIterator@icu@@AEAAHXZ
       1296  50F 0003F890 ?handlePrevious@RuleBasedBreakIterator@icu@@AEAAHH@Z
       1297  510 00093AB0 ?handleReplaceBetween@UnicodeString@icu@@UEAAXHHAEBV12@@Z
       1298  511 0000ACB0 ?handleUnreferencedObject@UnifiedCache@icu@@UEBAXXZ
       1299  512 00049BC0 ?handlesKey@LocaleKeyFactory@icu@@MEBACAEBVICUServiceKey@2@AEAW4UErrorCode@@@Z
       1300  513 00022130 ?hangulLVT@Normalizer2Impl@icu@@AEBAGXZ
       1301  514 00029220 ?hasBoundaryAfter@FilteredNormalizer2@icu@@UEBACH@Z
       1302  515 00029280 ?hasBoundaryBefore@FilteredNormalizer2@icu@@UEBACH@Z
       1303  516 0001EA40 ?hasChange@Iterator@Edits@icu@@QEBACXZ
       1304  517 0001EA50 ?hasChanges@Edits@icu@@QEBACXZ
       1305  518 00039400 ?hasCompBoundaryAfter@Normalizer2Impl@icu@@AEBACPEBE0C@Z
       1306  519 00039480 ?hasCompBoundaryAfter@Normalizer2Impl@icu@@AEBACPEB_S0C@Z
       1307  51A 00022140 ?hasCompBoundaryAfter@Normalizer2Impl@icu@@QEBACHC@Z
       1308  51B 00022180 ?hasCompBoundaryBefore@Normalizer2Impl@icu@@AEBACHG@Z
       1309  51C 00039560 ?hasCompBoundaryBefore@Normalizer2Impl@icu@@AEBACPEBE0@Z
       1310  51D 000396C0 ?hasCompBoundaryBefore@Normalizer2Impl@icu@@AEBACPEB_S0@Z
       1311  51E 000221B0 ?hasCompBoundaryBefore@Normalizer2Impl@icu@@QEBACH@Z
       1312  51F 000397C0 ?hasDecompBoundaryAfter@Normalizer2Impl@icu@@QEBACH@Z
       1313  520 00039820 ?hasDecompBoundaryBefore@Normalizer2Impl@icu@@QEBACH@Z
       1314  521 000AEE80 ?hasErrors@IDNAInfo@icu@@QEBACXZ
       1315  522 000221F0 ?hasFCDBoundaryAfter@Normalizer2Impl@icu@@QEBACH@Z
       1316  523 00022200 ?hasFCDBoundaryBefore@Normalizer2Impl@icu@@QEBACH@Z
       1317  524 0004AE30 ?hasHardReferences@SharedObject@icu@@QEBACXZ
       1318  525 0000E4A0 ?hasMetaData@Replaceable@icu@@UEBACXZ
       1319  526 0000E480 ?hasMetaData@UnicodeString@icu@@UEBACXZ
       1320  527 00093AC0 ?hasMoreChar32Than@UnicodeString@icu@@QEBACHHH@Z
       1321  528 00032EC0 ?hasNamedArguments@MessagePattern@icu@@QEBACXZ
       1322  529 00020960 ?hasNext@Iterator@BytesTrie@icu@@QEBACXZ
       1323  52A 0005C490 ?hasNext@Iterator@UCharsTrie@icu@@QEBACXZ
       1324  52B 000470C0 ?hasNext@ResourceBundle@icu@@QEBACXZ
       1325  52C 0005CD20 ?hasNext@UCharCharacterIterator@icu@@UEAACXZ
       1326  52D 00032ED0 ?hasNumberedArguments@MessagePattern@icu@@QEBACXZ
       1327  52E 0005CD30 ?hasPrevious@UCharCharacterIterator@icu@@UEAACXZ
       1328  52F 00018EA0 ?hasShortLength@UnicodeString@icu@@AEBACXZ
       1329  530 0001B970 ?hasUniqueValue@BytesTrie@icu@@QEBACAEAH@Z
       1330  531 0001B9B0 ?hasUniqueValue@UCharsTrie@icu@@QEBACAEAH@Z
       1331  532 0000C320 ?hashCode@Locale@icu@@QEBAHXZ
       1332  533 00032EE0 ?hashCode@MessagePattern@icu@@QEBAHXZ
       1333  534 0003B2D0 ?hashCode@Normalizer@icu@@QEBAHXZ
       1334  535 0003FDB0 ?hashCode@RuleBasedBreakIterator@icu@@UEBAHXZ
       1335  536 0005CD40 ?hashCode@UCharCharacterIterator@icu@@UEBAHXZ
       1336  537 0008C400 ?hashCode@UnicodeSet@icu@@UEBAHXZ
       1337  538 00018EC0 ?hashCode@UnicodeString@icu@@QEBAHXZ
       1338  539 0004BD80 ?hashNode@StringTrieBuilder@icu@@SACPEBX@Z
       1339  53A 00032F50 ?inMessageFormatPattern@MessagePattern@icu@@AEAACH@Z
       1340  53B 00032F70 ?inTopLevelChoiceMessage@MessagePattern@icu@@AEAACHW4UMessagePatternArgType@@@Z
       1341  53C 000B2600 ?indexOf@UVector32@icu@@QEBAHHH@Z
       1342  53D 000B19F0 ?indexOf@UVector@icu@@AEBAHTUElement@@HC@Z
       1343  53E 000B1A90 ?indexOf@UVector@icu@@QEBAHHH@Z
       1344  53F 000B1AB0 ?indexOf@UVector@icu@@QEBAHPEAXH@Z
       1345  540 0008C430 ?indexOf@UnicodeSet@icu@@QEBAHH@Z
       1346  541 00018ED0 ?indexOf@UnicodeString@icu@@QEBAHAEBV12@@Z
       1347  542 00018F30 ?indexOf@UnicodeString@icu@@QEBAHAEBV12@H@Z
       1348  543 00018FB0 ?indexOf@UnicodeString@icu@@QEBAHAEBV12@HH@Z
       1349  544 00019010 ?indexOf@UnicodeString@icu@@QEBAHAEBV12@HHHH@Z
       1350  545 00019090 ?indexOf@UnicodeString@icu@@QEBAHH@Z
       1351  546 000190D0 ?indexOf@UnicodeString@icu@@QEBAHHH@Z
       1352  547 00019120 ?indexOf@UnicodeString@icu@@QEBAHHHH@Z
       1353  548 00019130 ?indexOf@UnicodeString@icu@@QEBAHPEB_SHH@Z
       1354  549 00093B20 ?indexOf@UnicodeString@icu@@QEBAHPEB_SHHHH@Z
       1355  54A 000191A0 ?indexOf@UnicodeString@icu@@QEBAHVConstChar16Ptr@2@HHH@Z
       1356  54B 000191D0 ?indexOf@UnicodeString@icu@@QEBAH_S@Z
       1357  54C 00019210 ?indexOf@UnicodeString@icu@@QEBAH_SH@Z
       1358  54D 00019260 ?indexOf@UnicodeString@icu@@QEBAH_SHH@Z
       1359  54E 00020070 ?indexOfElementWithNextUnit@BytesTrieBuilder@icu@@EEBAHHH_S@Z
       1360  54F 0005BC00 ?indexOfElementWithNextUnit@UCharsTrieBuilder@icu@@EEBAHHH_S@Z
       1361  550 0001DCB0 ?init@Hashtable@icu@@AEAAXP6AHTUElement@@@ZP6AC00@Z2AEAW4UErrorCode@@@Z
       1362  551 0000CA00 ?init@Locale@icu@@AEAAAEAV12@PEBDC@Z
       1363  552 00032FA0 ?init@MessagePattern@icu@@AEAACAEAW4UErrorCode@@@Z
       1364  553 0000B780 ?init@Normalizer2Impl@icu@@QEAAXPEBHPEBUUTrie2@@PEBGPEBE@Z
       1365  554 0003B330 ?init@Normalizer@icu@@AEAAXXZ
       1366  555 00007000 ?init@ReorderingBuffer@icu@@QEAACHAEAW4UErrorCode@@@Z
       1367  556 0003FDD0 ?init@RuleBasedBreakIterator@icu@@AEAAXAEAW4UErrorCode@@@Z
       1368  557 0000D170 ?initBaseName@Locale@icu@@AEAAXAEAW4UErrorCode@@@Z
       1369  558 00031E40 ?initLocaleFromName@LocaleUtility@icu@@SAAEAVLocale@2@AEBVUnicodeString@2@AEAV32@@Z
       1370  559 00031F40 ?initNameFromLocale@LocaleUtility@icu@@SAAEAVUnicodeString@2@AEBVLocale@2@AEAV32@@Z
       1371  55A 0001DD50 ?initSize@Hashtable@icu@@AEAAXP6AHTUElement@@@ZP6AC00@Z2HAEAW4UErrorCode@@@Z
       1372  55B 0002AA20 ?initializeHash@ListFormatter@icu@@CAXAEAW4UErrorCode@@@Z
       1373  55C 00039890 ?insert@ReorderingBuffer@icu@@AEAAXHE@Z
       1374  55D 00019270 ?insert@UnicodeString@icu@@QEAAAEAV12@HAEBV12@@Z
       1375  55E 000192C0 ?insert@UnicodeString@icu@@QEAAAEAV12@HAEBV12@HH@Z
       1376  55F 000192F0 ?insert@UnicodeString@icu@@QEAAAEAV12@HH@Z
       1377  560 00019310 ?insert@UnicodeString@icu@@QEAAAEAV12@HPEB_SHH@Z
       1378  561 00019340 ?insert@UnicodeString@icu@@QEAAAEAV12@HVConstChar16Ptr@2@H@Z
       1379  562 00019370 ?insert@UnicodeString@icu@@QEAAAEAV12@H_S@Z
       1380  563 000B2640 ?insertElementAt@UVector32@icu@@QEAAXHHAEAW4UErrorCode@@@Z
       1381  564 000B2DE0 ?insertElementAt@UVector64@icu@@QEAAX_JHAEAW4UErrorCode@@@Z
       1382  565 000B1AC0 ?insertElementAt@UVector@icu@@QEAAXHHAEAW4UErrorCode@@@Z
       1383  566 000B1B40 ?insertElementAt@UVector@icu@@QEAAXPEAXHAEAW4UErrorCode@@@Z
       1384  567 0009A4F0 ?internalGetResource@ResourceArray@icu@@QEBAIPEBUResourceData@@H@Z
       1385  568 00022210 ?isAlgorithmicNoNo@Normalizer2Impl@icu@@QEBACG@Z
       1386  569 00033040 ?isArgTypeChar@MessagePattern@icu@@CACH@Z
       1387  56A 0000C850 ?isBogus@Locale@icu@@QEBACXZ
       1388  56B 00048F00 ?isBogus@StringPair@icu@@QEBACXZ
       1389  56C 000193A0 ?isBogus@UnicodeSet@icu@@QEBACXZ
       1390  56D 000193B0 ?isBogus@UnicodeString@icu@@QEBACXZ
       1391  56E 00040010 ?isBoundary@RuleBasedBreakIterator@icu@@UEAACH@Z
       1392  56F 0000E480 ?isBufferClone@BreakIterator@icu@@QEAACXZ
       1393  570 000193C0 ?isBufferWritable@UnicodeString@icu@@AEBACXZ
       1394  571 00039930 ?isCanonSegmentStarter@Normalizer2Impl@icu@@QEBACH@Z
       1395  572 00033060 ?isChoice@MessagePattern@icu@@AEAACH@Z
       1396  573 00022230 ?isCompInert@Normalizer2Impl@icu@@QEBACHC@Z
       1397  574 00022290 ?isCompNo@Normalizer2Impl@icu@@QEBACG@Z
       1398  575 000222B0 ?isCompYesAndZeroCC@Normalizer2Impl@icu@@AEBACG@Z
       1399  576 000222C0 ?isDecompInert@Normalizer2Impl@icu@@QEBACH@Z
       1400  577 000222F0 ?isDecompNoAlgorithmic@Normalizer2Impl@icu@@AEBACG@Z
       1401  578 00022300 ?isDecompYes@Normalizer2Impl@icu@@QEBACG@Z
       1402  579 00022320 ?isDecompYesAndZeroCC@Normalizer2Impl@icu@@AEBACG@Z
       1403  57A 00048F20 ?isDefault@ICUService@icu@@UEBACXZ
       1404  57B 0000C940 ?isEmpty@CharString@icu@@QEBACXZ
       1405  57C 00022350 ?isEmpty@ReorderingBuffer@icu@@QEBACXZ
       1406  57D 00018A70 ?isEmpty@UVector32@icu@@QEBACXZ
       1407  57E 00018A70 ?isEmpty@UVector64@icu@@QEBACXZ
       1408  57F 00018A70 ?isEmpty@UVector@icu@@QEBACXZ
       1409  580 0008C480 ?isEmpty@UnicodeSet@icu@@UEBACXZ
       1410  581 000193F0 ?isEmpty@UnicodeString@icu@@QEBACXZ
       1411  582 00022370 ?isFCDInert@Normalizer2Impl@icu@@QEBACH@Z
       1412  583 00027950 ?isFailure@ErrorCode@icu@@QEBACXZ
       1413  584 00048F40 ?isFallbackOf@ICUServiceKey@icu@@UEBACAEBVUnicodeString@2@@Z
       1414  585 00049840 ?isFallbackOf@LocaleKey@icu@@UEBACAEBVUnicodeString@2@@Z
       1415  586 00031FC0 ?isFallbackOf@LocaleUtility@icu@@SACAEBVUnicodeString@2@0@Z
       1416  587 00002AC0 ?isFrozen@UnicodeSet@icu@@QEBACXZ
       1417  588 00022390 ?isHangul@Hangul@icu@@SACH@Z
       1418  589 000223B0 ?isHangulLV@Hangul@icu@@SACH@Z
       1419  58A 000223F0 ?isHangulLV@Normalizer2Impl@icu@@AEBACG@Z
       1420  58B 00022400 ?isHangulLVT@Normalizer2Impl@icu@@AEBACG@Z
       1421  58C 0003BE50 ?isIdentifier@PatternProps@icu@@SACPEB_SH@Z
       1422  58D 000292E0 ?isInert@FilteredNormalizer2@icu@@UEBACH@Z
       1423  58E 00022420 ?isInert@Normalizer2Impl@icu@@CACG@Z
       1424  58F 00022430 ?isJamo@Hangul@icu@@SACH@Z
       1425  590 00022460 ?isJamoL@Hangul@icu@@SACH@Z
       1426  591 00022480 ?isJamoL@Normalizer2Impl@icu@@CACG@Z
       1427  592 00022490 ?isJamoT@Hangul@icu@@SACH@Z
       1428  593 000224B0 ?isJamoV@Hangul@icu@@SACH@Z
       1429  594 000224D0 ?isJamoVT@Normalizer2Impl@icu@@CACG@Z
       1430  595 000224F0 ?isMaybe@Normalizer2Impl@icu@@AEBACG@Z
       1431  596 00022510 ?isMaybeOrNonZeroCC@Normalizer2Impl@icu@@AEBACG@Z
       1432  597 00022520 ?isMostDecompYesAndZeroCC@Normalizer2Impl@icu@@AEBACG@Z
       1433  598 00029340 ?isNormalized@FilteredNormalizer2@icu@@UEBACAEBVUnicodeString@2@AEAW4UErrorCode@@@Z
       1434  599 00025FF0 ?isNormalized@Normalizer@icu@@SACAEBVUnicodeString@2@W4UNormalizationMode@@AEAW4UErrorCode@@@Z
       1435  59A 0003B400 ?isNormalized@Normalizer@icu@@SACAEBVUnicodeString@2@W4UNormalizationMode@@HAEAW4UErrorCode@@@Z
       1436  59B 00029450 ?isNormalizedUTF8@FilteredNormalizer2@icu@@UEBACVStringPiece@2@AEAW4UErrorCode@@@Z
       1437  59C 00035070 ?isNormalizedUTF8@Normalizer2@icu@@UEBACVStringPiece@2@AEAW4UErrorCode@@@Z
       1438  59D 00033130 ?isOrdinal@MessagePattern@icu@@AEAACH@Z
       1439  59E 00033210 ?isPlural@MessagePattern@icu@@AEAACH@Z
       1440  59F 00030AE0 ?isRightToLeft@Locale@icu@@QEBACXZ
       1441  5A0 000332E0 ?isSelect@MessagePattern@icu@@AEAACH@Z
       1442  5A1 00022550 ?isString@UnicodeSetIterator@icu@@QEBACXZ
       1443  5A2 00027960 ?isSuccess@ErrorCode@icu@@QEBACXZ
       1444  5A3 0003BEA0 ?isSyntax@PatternProps@icu@@SACH@Z
       1445  5A4 0003BF30 ?isSyntaxOrWhiteSpace@PatternProps@icu@@SACH@Z
       1446  5A5 00022560 ?isTrailCC01ForCompBoundaryAfter@Normalizer2Impl@icu@@AEBACG@Z
       1447  5A6 0004BD80 ?isTransitionalDifferent@IDNAInfo@icu@@QEBACXZ
       1448  5A7 000A9AD0 ?isUnprintable@ICU_Utility@icu@@SACH@Z
       1449  5A8 0003BFB0 ?isWhiteSpace@PatternProps@icu@@SACH@Z
       1450  5A9 00019400 ?isWritable@UnicodeString@icu@@AEBACXZ
       1451  5AA 000333B0 ?jdkAposMode@MessageImpl@icu@@SACAEBVMessagePattern@2@@Z
       1452  5AB 0001F200 ?jumpByDelta@BytesTrie@icu@@CAPEBEPEBE@Z
       1453  5AC 0001B9F0 ?jumpByDelta@UCharsTrie@icu@@CAPEB_SPEB_S@Z
       1454  5AD 000FFDA4 ?kFiveByteDeltaLead@BytesTrie@icu@@0HB
       1455  5AE 000FFD84 ?kFiveByteValueLead@BytesTrie@icu@@0HB
       1456  5AF 000FFDDC ?kFourByteDeltaLead@BytesTrie@icu@@0HB
       1457  5B0 000FFDB4 ?kFourByteValueLead@BytesTrie@icu@@0HB
       1458  5B1 000FFDBC ?kMaxBranchLinearSubNodeLength@BytesTrie@icu@@0HB
       1459  5B2 000FFDBC ?kMaxBranchLinearSubNodeLength@StringTrieBuilder@icu@@1HB
       1460  5B3 000FFDBC ?kMaxBranchLinearSubNodeLength@UCharsTrie@icu@@0HB
       1461  5B4 000FFD80 ?kMaxLinearMatchLength@BytesTrie@icu@@0HB
       1462  5B5 000FFD80 ?kMaxLinearMatchLength@UCharsTrie@icu@@0HB
       1463  5B6 000FFDC8 ?kMaxOneByteDelta@BytesTrie@icu@@0HB
       1464  5B7 000FFD9C ?kMaxOneByteValue@BytesTrie@icu@@0HB
       1465  5B8 000FFDA0 ?kMaxOneUnitDelta@UCharsTrie@icu@@0HB
       1466  5B9 000FFDA4 ?kMaxOneUnitNodeValue@UCharsTrie@icu@@0HB
       1467  5BA 000FFD70 ?kMaxOneUnitValue@UCharsTrie@icu@@0HB
       1468  5BB 000FFE80 ?kMaxSplitBranchLevels@StringTrieBuilder@icu@@1HB
       1469  5BC 000FFDD0 ?kMaxThreeByteDelta@BytesTrie@icu@@0HB
       1470  5BD 000FFDC4 ?kMaxThreeByteValue@BytesTrie@icu@@0HB
       1471  5BE 000FFDD8 ?kMaxTwoByteDelta@BytesTrie@icu@@0HB
       1472  5BF 000FFDCC ?kMaxTwoByteValue@BytesTrie@icu@@0HB
       1473  5C0 000FFD94 ?kMaxTwoUnitDelta@UCharsTrie@icu@@0HB
       1474  5C1 000FFD74 ?kMaxTwoUnitNodeValue@UCharsTrie@icu@@0HB
       1475  5C2 000FFD98 ?kMaxTwoUnitValue@UCharsTrie@icu@@0HB
       1476  5C3 000FFD80 ?kMinLinearMatch@BytesTrie@icu@@0HB
       1477  5C4 000FFDA8 ?kMinLinearMatch@UCharsTrie@icu@@0HB
       1478  5C5 000FFD80 ?kMinOneByteValueLead@BytesTrie@icu@@0HB
       1479  5C6 000FFDB8 ?kMinThreeByteDeltaLead@BytesTrie@icu@@0HB
       1480  5C7 000FFD7C ?kMinThreeByteValueLead@BytesTrie@icu@@0HB
       1481  5C8 000FFDD4 ?kMinTwoByteDeltaLead@BytesTrie@icu@@0HB
       1482  5C9 000FFD88 ?kMinTwoByteValueLead@BytesTrie@icu@@0HB
       1483  5CA 000FFDEC ?kMinTwoUnitDeltaLead@UCharsTrie@icu@@0HB
       1484  5CB 000FFDE4 ?kMinTwoUnitNodeValueLead@UCharsTrie@icu@@0HB
       1485  5CC 000FFD8C ?kMinTwoUnitValueLead@UCharsTrie@icu@@0HB
       1486  5CD 000FFDAC ?kMinValueLead@BytesTrie@icu@@0HB
       1487  5CE 000FFD9C ?kMinValueLead@UCharsTrie@icu@@0HB
       1488  5CF 000FFDB0 ?kNodeTypeMask@UCharsTrie@icu@@0HB
       1489  5D0 000FFDE8 ?kThreeUnitDeltaLead@UCharsTrie@icu@@0HB
       1490  5D1 000FFDE0 ?kThreeUnitNodeValueLead@UCharsTrie@icu@@0HB
       1491  5D2 000FFDC0 ?kThreeUnitValueLead@UCharsTrie@icu@@0HB
       1492  5D3 000FFD90 ?kValueIsFinal@BytesTrie@icu@@0HB
       1493  5D4 000FFD78 ?kValueIsFinal@UCharsTrie@icu@@0HB
       1494  5D5 0008A810 ?keyCount@UnifiedCache@icu@@QEBAHXZ
       1495  5D6 00049900 ?kind@LocaleKey@icu@@UEBAHXZ
       1496  5D7 000AF1D0 ?labelToASCII_UTF8@IDNA@icu@@UEBAXVStringPiece@2@AEAVByteSink@2@AEAVIDNAInfo@2@AEAW4UErrorCode@@@Z
       1497  5D8 000AF310 ?labelToUnicodeUTF8@IDNA@icu@@UEBAXVStringPiece@2@AEAVByteSink@2@AEAVIDNAInfo@2@AEAW4UErrorCode@@@Z
       1498  5D9 0005CD70 ?last32@UCharCharacterIterator@icu@@UEAAHXZ
       1499  5DA 0003B4B0 ?last@Normalizer@icu@@QEAAHXZ
       1500  5DB 00040120 ?last@RuleBasedBreakIterator@icu@@UEAAHXZ
       1501  5DC 0005CDE0 ?last@UCharCharacterIterator@icu@@UEAA_SXZ
       1502  5DD 0001BA50 ?lastElement@UVector@icu@@QEBAPEAXXZ
       1503  5DE 0001BA60 ?lastElementi@UVector32@icu@@QEBAHXZ
       1504  5DF 000B2E60 ?lastElementi@UVector64@icu@@QEBA_JXZ
       1505  5E0 0001BA70 ?lastElementi@UVector@icu@@QEBAHXZ
       1506  5E1 000232B0 ?lastIndexOf@CharString@icu@@QEBAHD@Z
       1507  5E2 00019410 ?lastIndexOf@UnicodeString@icu@@QEBAHAEBV12@@Z
       1508  5E3 00019470 ?lastIndexOf@UnicodeString@icu@@QEBAHAEBV12@H@Z
       1509  5E4 000194F0 ?lastIndexOf@UnicodeString@icu@@QEBAHAEBV12@HH@Z
       1510  5E5 00019550 ?lastIndexOf@UnicodeString@icu@@QEBAHAEBV12@HHHH@Z
       1511  5E6 000195D0 ?lastIndexOf@UnicodeString@icu@@QEBAHH@Z
       1512  5E7 00019610 ?lastIndexOf@UnicodeString@icu@@QEBAHHH@Z
       1513  5E8 00019660 ?lastIndexOf@UnicodeString@icu@@QEBAHHHH@Z
       1514  5E9 00019670 ?lastIndexOf@UnicodeString@icu@@QEBAHPEB_SHH@Z
       1515  5EA 00093BD0 ?lastIndexOf@UnicodeString@icu@@QEBAHPEB_SHHHH@Z
       1516  5EB 000196E0 ?lastIndexOf@UnicodeString@icu@@QEBAHVConstChar16Ptr@2@HHH@Z
       1517  5EC 00019710 ?lastIndexOf@UnicodeString@icu@@QEBAH_S@Z
       1518  5ED 00019750 ?lastIndexOf@UnicodeString@icu@@QEBAH_SH@Z
       1519  5EE 000197A0 ?lastIndexOf@UnicodeString@icu@@QEBAH_SHH@Z
       1520  5EF 0001EA60 ?lastUnit@Edits@icu@@AEBAHXZ
       1521  5F0 0001BA80 ?length@CharString@icu@@QEBAHXZ
       1522  5F1 000225B0 ?length@ReorderingBuffer@icu@@QEBAHXZ
       1523  5F2 000197B0 ?length@Replaceable@icu@@QEBAHXZ
       1524  5F3 0000E620 ?length@StringPiece@icu@@QEBAHXZ
