Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\icuuc.dll

File Type: DLL

  Section contains the following exports for icuuc.dll

    00000000 characteristics
    A6331E83 time date stamp
        0.00 version
           1 ordinal base
        2815 number of functions
        2815 number of names

    ordinal hint RVA      name

         98   61 0001C8F0 ??0LocaleKey@icu@@QEAA@AEBV01@@Z
         99   62 000499A0 ??0LocaleKeyFactory@icu@@IEAA@H@Z
        100   63 000499D0 ??0LocaleKeyFactory@icu@@IEAA@HAEBVUnicodeString@1@@Z
        101   64 0001C960 ??0LocaleKeyFactory@icu@@QEAA@AEBV01@@Z
        102   65 000320F0 ??0MessagePattern@icu@@QEAA@AEAW4UErrorCode@@@Z
        103   66 00032150 ??0MessagePattern@icu@@QEAA@AEBV01@@Z
        104   67 000321E0 ??0MessagePattern@icu@@QEAA@AEBVUnicodeString@1@PEAUUParseError@@AEAW4UErrorCode@@@Z
        105   68 00032290 ??0MessagePattern@icu@@QEAA@W4UMessagePatternApostropheMode@@AEAW4UErrorCode@@@Z
        106   69 0000C8A0 ??0Mutex@icu@@QEAA@PEAUUMutex@@@Z
        107   6A 00020CD0 ??0Normalizer2@icu@@QEAA@AEBV01@@Z
        108   6B 00020CD0 ??0Normalizer2@icu@@QEAA@XZ
        109   6C 00020CF0 ??0Normalizer2Impl@icu@@QEAA@AEBV01@@Z
        110   6D 0000B8C0 ??0Normalizer2Impl@icu@@QEAA@XZ
        111   6E 0003ABE0 ??0Normalizer@icu@@QEAA@AEBV01@@Z
        112   6F 0003AC60 ??0Normalizer@icu@@QEAA@AEBVCharacterIterator@1@W4UNormalizationMode@@@Z
        113   70 0003ACD0 ??0Normalizer@icu@@QEAA@AEBVUnicodeString@1@W4UNormalizationMode@@@Z
        114   71 0003AD60 ??0Normalizer@icu@@QEAA@VConstChar16Ptr@1@HW4UNormalizationMode@@@Z
        115   72 0003BD30 ??0ParsePosition@icu@@QEAA@AEBV01@@Z
        116   73 0003BD50 ??0ParsePosition@icu@@QEAA@H@Z
        117   74 0003BD70 ??0ParsePosition@icu@@QEAA@XZ
        118   75 000071F0 ??0ReorderingBuffer@icu@@QEAA@AEBVNormalizer2Impl@1@AEAVUnicodeString@1@@Z
        119   76 00036190 ??0ReorderingBuffer@icu@@QEAA@AEBVNormalizer2Impl@1@AEAVUnicodeString@1@AEAW4UErrorCode@@@Z
        120   77 000179A0 ??0Replaceable@icu@@IEAA@XZ
        121   78 000179A0 ??0Replaceable@icu@@QEAA@AEBV01@@Z
        122   79 0001ACB0 ??0ResourceArray@icu@@QEAA@PEBGPEBIH@Z
        123   7A 0001ACD0 ??0ResourceArray@icu@@QEAA@XZ
        124   7B 000467C0 ??0ResourceBundle@icu@@QEAA@AEAW4UErrorCode@@@Z
        125   7C 00046820 ??0ResourceBundle@icu@@QEAA@AEBV01@@Z
        126   7D 000470F0 ??0ResourceBundle@icu@@QEAA@AEBVUnicodeString@1@AEAW4UErrorCode@@@Z
        127   7E 00047150 ??0ResourceBundle@icu@@QEAA@AEBVUnicodeString@1@AEBVLocale@1@AEAW4UErrorCode@@@Z
        128   7F 00046870 ??0ResourceBundle@icu@@QEAA@PEAUUResourceBundle@@AEAW4UErrorCode@@@Z
        129   80 000468B0 ??0ResourceBundle@icu@@QEAA@PEBDAEBVLocale@1@AEAW4UErrorCode@@@Z
        130   81 0000C7A0 ??0ResourceSink@icu@@QEAA@XZ
        131   82 0001ACF0 ??0ResourceTable@icu@@QEAA@PEBGPEBH0PEBIH@Z
        132   83 0001AD20 ??0ResourceTable@icu@@QEAA@XZ
        133   84 0001AD40 ??0ResourceValue@icu@@IEAA@XZ
        134   85 0003E400 ??0RuleBasedBreakIterator@icu@@AEAA@PEAURBBIDataHeader@1@AEAW4UErrorCode@@@Z
        135   86 0003E4D0 ??0RuleBasedBreakIterator@icu@@QEAA@AEBV01@@Z
        136   87 0003E580 ??0RuleBasedBreakIterator@icu@@QEAA@AEBVUnicodeString@1@AEAUUParseError@@AEAW4UErrorCode@@@Z
        137   88 0003E660 ??0RuleBasedBreakIterator@icu@@QEAA@PEAUUDataMemory@@AEAW4UErrorCode@@@Z
        138   89 0003E730 ??0RuleBasedBreakIterator@icu@@QEAA@PEBEIAEAW4UErrorCode@@@Z
        139   8A 0003E820 ??0RuleBasedBreakIterator@icu@@QEAA@XZ
        140   8B 0001C9B0 ??0ServiceListener@icu@@QEAA@AEBV01@@Z
        141   8C 0001C9B0 ??0ServiceListener@icu@@QEAA@XZ
        142   8D 0000BAC0 ??0SharedObject@icu@@QEAA@AEBV01@@Z
