Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\spacebridge.dll

File Type: DLL

  Section contains the following exports for spacebridge.dll

    00000000 characteristics
    D7EB1722 time date stamp
        0.00 version
           1 ordinal base
        1142 number of functions
        1142 number of names

    ordinal hint RVA      name

        114   71 00002A60 PARTITION_INFORMATION_MBR_Set_HiddenSectors
        115   72 00002A90 PARTITION_INFORMATION_MBR_Set_PartitionId
        116   73 00002A00 PARTITION_INFORMATION_MBR_Set_PartitionType
        117   74 00002A40 PARTITION_INFORMATION_MBR_Set_RecognizedPartition
        118   75 00003620 SB_DRIVE_Construct
        119   76 00003990 SB_DRIVE_Control
        120   77 00003690 SB_DRIVE_Destruct
        121   78 00003610 SB_DRIVE_Get_CxxSize
        122   79 000036E0 SB_DRIVE_Get_DeviceNumber
        123   7A 000036C0 SB_DRIVE_Get_DeviceType
        124   7B 000038D0 SB_DRIVE_Initialize
        125   7C 00003700 SB_DRIVE_LoadDisk
        126   7D 000037C0 SB_DRIVE_LoadExistingFile
        127   7E 00003810 SB_DRIVE_LoadNewFile
        128   7F 000039F0 SB_DRIVE_OverrideOwnership
        129   80 00003910 SB_DRIVE_Read
        130   81 000036F0 SB_DRIVE_Set_DeviceNumber
        131   82 000036D0 SB_DRIVE_Set_DeviceType
        132   83 00003950 SB_DRIVE_Write
        133   84 000035C0 SB_LIST_ENTRY_AppendTailList
        134   85 000033F0 SB_LIST_ENTRY_Construct
        135   86 00003440 SB_LIST_ENTRY_Destruct
        136   87 00003030 SB_LIST_ENTRY_Get_CxxSize
        137   88 00003460 SB_LIST_ENTRY_InitializeListHead
        138   89 00003590 SB_LIST_ENTRY_InsertHeadList
        139   8A 00003560 SB_LIST_ENTRY_InsertTailList
        140   8B 00003470 SB_LIST_ENTRY_IsEqual
        141   8C 000034A0 SB_LIST_ENTRY_IsListEmpty
        142   8D 00002870 SB_LIST_ENTRY_Next
        143   8E 00002AD0 SB_LIST_ENTRY_Previous
        144   8F 000034D0 SB_LIST_ENTRY_RemoveEntryList
        145   90 000034B0 SB_LIST_ENTRY_RemoveEntryListUnsafe
        146   91 00003500 SB_LIST_ENTRY_RemoveHeadList
        147   92 00003530 SB_LIST_ENTRY_RemoveTailList
        148   93 00003FA0 SC_DEVICE_Control
        149   94 00003F60 SC_DEVICE_GetStorageProperty
        150   95 00003E30 SC_DEVICE_Get_AdapterDesc
        151   96 00002C30 SC_DEVICE_Get_CxxSize
        152   97 00002A70 SC_DEVICE_Get_DeviceClass
        153   98 00003E50 SC_DEVICE_Get_DeviceDesc
        154   99 00003E70 SC_DEVICE_Get_FaultDomainDesc
        155   9A 00003E90 SC_DEVICE_Get_IdDesc
        156   9B 00002980 SC_DEVICE_Get_Manufacturer
        157   9C 00003EB0 SC_DEVICE_Get_MiniportDesc
        158   9D 00003DD0 SC_DEVICE_Get_Model
        159   9E 00003DF0 SC_DEVICE_Get_Revision
        160   9F 00003E10 SC_DEVICE_Get_Serial
        161   A0 00003ED0 SC_DEVICE_Initialize
        162   A1 00003E40 SC_DEVICE_Set_AdapterDesc
        163   A2 00002A90 SC_DEVICE_Set_DeviceClass
        164   A3 00003E60 SC_DEVICE_Set_DeviceDesc
        165   A4 00003E80 SC_DEVICE_Set_FaultDomainDesc
        166   A5 00003EA0 SC_DEVICE_Set_IdDesc
        167   A6 00003DC0 SC_DEVICE_Set_Manufacturer
        168   A7 00003EC0 SC_DEVICE_Set_MiniportDesc
        169   A8 00003DE0 SC_DEVICE_Set_Model
        170   A9 00003E00 SC_DEVICE_Set_Revision
        171   AA 00003E20 SC_DEVICE_Set_Serial
        172   AB 00003F20 SC_DEVICE_UpdateStorageProperty
        173   AC 00004460 SC_DISK_FindLargestFreeRun
        174   AD 00004160 SC_DISK_Get_AccessDesc
        175   AE 00004180 SC_DISK_Get_AdapterSerialDesc
        176   AF 00004140 SC_DISK_Get_Buffer
        177   B0 000040C0 SC_DISK_Get_BytesPerSector
        178   B1 000041A0 SC_DISK_Get_CacheDesc
        179   B2 00004040 SC_DISK_Get_CxxSize
        180   B3 000041C0 SC_DISK_Get_FirmwareDesc
        181   B4 00004050 SC_DISK_Get_Flags
        182   B5 00004090 SC_DISK_Get_Geometry
        183   B6 00004070 SC_DISK_Get_Length
        184   B7 000041E0 SC_DISK_Get_LocationDesc
        185   B8 00004120 SC_DISK_Get_PartitionStyle
        186   B9 00004200 SC_DISK_Get_ResiliencyDesc
        187   BA 00004100 SC_DISK_Get_SectorCount
        188   BB 000040E0 SC_DISK_Get_SectorShift
        189   BC 00004220 SC_DISK_Get_SeekDesc
        190   BD 00004240 SC_DISK_Get_ThinDesc
        191   BE 00004260 SC_DISK_Get_TrimDesc
        192   BF 00004280 SC_DISK_Get_ZonedDesc
        193   C0 00003ED0 SC_DISK_Initialize
        194   C1 000042E0 SC_DISK_InitializePartitionCache
        195   C2 00004360 SC_DISK_IsVbr
        196   C3 00004030 SC_DISK_LAYOUT_FindLargestFreeRun
        197   C4 00004020 SC_DISK_LAYOUT_FindProtectivePartition
        198   C5 00002C30 SC_DISK_LAYOUT_Get_CxxSize
        199   C6 00004000 SC_DISK_LAYOUT_NumberOfPartitions
        200   C7 00004010 SC_DISK_LAYOUT_Sort
        201   C8 000044F0 SC_DISK_Read
        202   C9 00004370 SC_DISK_ReadPartitionTable
        203   CA 000043B0 SC_DISK_ReadPartitionTableControl
        204   CB 00004470 SC_DISK_ReadSectors
        205   CC 00004320 SC_DISK_ResetPartitionCache
        206   CD 00004170 SC_DISK_Set_AccessDesc
        207   CE 00004190 SC_DISK_Set_AdapterSerialDesc
        208   CF 00004150 SC_DISK_Set_Buffer
        209   D0 000040D0 SC_DISK_Set_BytesPerSector
