Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\rpcrt4.dll

File Type: DLL

  Section contains the following exports for RPCRT4.dll

    00000000 characteristics
    28D25D35 time date stamp
        0.00 version
        1000 ordinal base
         554 number of functions
         553 number of names

    ordinal hint RVA      name

       1250   F3 000766A0 NdrInterfacePointerMemorySize
       1251   F4 00076530 NdrInterfacePointerUnmarshall
       1252   F5 00063EE0 NdrMapCommAndFaultStatus
       1253   F6 000C9A60 NdrMesProcEncodeDecode
       1254   F7 000C9E10 NdrMesProcEncodeDecode2
       1255   F8 00003A50 NdrMesProcEncodeDecode3
       1256   F9 000CA0D0 NdrMesSimpleTypeAlignSize
       1257   FA 000D5310 NdrMesSimpleTypeAlignSizeAll
       1258   FB 000CA120 NdrMesSimpleTypeDecode
       1259   FC 000D53B0 NdrMesSimpleTypeDecodeAll
       1260   FD 000CA210 NdrMesSimpleTypeEncode
       1261   FE 000D5530 NdrMesSimpleTypeEncodeAll
       1262   FF 0004BB90 NdrMesTypeAlignSize
       1263  100 00042750 NdrMesTypeAlignSize2
       1264  101 0005A7A0 NdrMesTypeAlignSize3
       1265  102 000CA2F0 NdrMesTypeDecode
       1266  103 00041D30 NdrMesTypeDecode2
       1267  104 0005AC00 NdrMesTypeDecode3
       1268  105 000CA440 NdrMesTypeEncode
       1269  106 000429F0 NdrMesTypeEncode2
       1270  107 0005A900 NdrMesTypeEncode3
       1271  108 00065270 NdrMesTypeFree2
       1272  109 00066950 NdrMesTypeFree3
       1273  10A 000C6ED0 NdrNonConformantStringBufferSize
       1274  10B 000C62F0 NdrNonConformantStringMarshall
       1275  10C 000CBDE0 NdrNonConformantStringMemorySize
       1276  10D 000C8380 NdrNonConformantStringUnmarshall
       1277  10E 000494C0 NdrNonEncapsulatedUnionBufferSize
       1278  10F 0004BF00 NdrNonEncapsulatedUnionFree
       1279  110 00049DF0 NdrNonEncapsulatedUnionMarshall
       1280  111 00040490 NdrNonEncapsulatedUnionMemorySize
       1281  112 0003E420 NdrNonEncapsulatedUnionUnmarshall
       1282  113 000B1990 NdrNsGetBuffer
       1283  114 000B1990 NdrNsSendReceive
       1284  115 00058810 NdrOleAllocate
       1285  116 000587D0 NdrOleFree
       1286  117 000178E0 NdrOutInit
       1287  118 000C6FC0 NdrPartialIgnoreClientBufferSize
       1288  119 000C63F0 NdrPartialIgnoreClientMarshall
       1289  11A 000CE9D0 NdrPartialIgnoreServerInitialize
       1290  11B 000C8520 NdrPartialIgnoreServerUnmarshall
       1291  11C 00049060 NdrPointerBufferSize
       1292  11D 00049230 NdrPointerFree
       1293  11E 000416B0 NdrPointerMarshall
       1294  11F 000CBEF0 NdrPointerMemorySize
       1295  120 000439D0 NdrPointerUnmarshall
       1296  121 000CEB90 NdrProxyErrorHandler
       1297  122 000C9040 NdrProxyFreeBuffer
       1298  123 000C9090 NdrProxyGetBuffer
       1299  124 000C90E0 NdrProxyInitialize
       1300  125 000C9160 NdrProxySendReceive
       1301  126 00014FF0 NdrRangeUnmarshall
       1302  127 000CF270 NdrRpcSmClientAllocate
       1303  128 000CF2E0 NdrRpcSmClientFree
       1304  129 000CF360 NdrRpcSmSetClientToOsf
       1305  12A 000CF380 NdrRpcSsDefaultAllocate
       1306  12B 00073470 NdrRpcSsDefaultFree
       1307  12C 000CF390 NdrRpcSsDisableAllocate
       1308  12D 000CF3D0 NdrRpcSsEnableAllocate
       1309  12E 000CAC40 NdrSendReceive
       1310  12F 00017550 NdrServerCall2
       1311  130 00010CE0 NdrServerCallAll
       1312  131 00003780 NdrServerCallNdr64
       1313  132 000C6420 NdrServerContextMarshall
       1314  133 000401B0 NdrServerContextNewMarshall
       1315  134 000C8550 NdrServerContextNewUnmarshall
       1316  135 000C8690 NdrServerContextUnmarshall
       1317  136 000548B0 NdrServerInitialize
       1318  137 00069880 NdrServerInitializeMarshall
       1319  138 000CACC0 NdrServerInitializeNew
       1320  139 000CAD70 NdrServerInitializePartial
       1321  13A 000CADE0 NdrServerInitializeUnmarshall
       1322  13B 00047CF0 NdrSimpleStructBufferSize
       1323  13C 000C5CC0 NdrSimpleStructFree
       1324  13D 00047D30 NdrSimpleStructMarshall
       1325  13E 00043950 NdrSimpleStructMemorySize
       1326  13F 000430A0 NdrSimpleStructUnmarshall
       1327  140 000C6470 NdrSimpleTypeMarshall
       1328  141 0003E6F0 NdrSimpleTypeUnmarshall
       1329  142 00013F40 NdrStubCall2
       1330  143 00055310 NdrStubCall3
       1331  144 00069210 NdrStubForwardingFunction
       1332  145 000C91B0 NdrStubGetBuffer
       1333  146 000C9210 NdrStubInitialize
       1334  147 000C9290 NdrStubInitializeMarshall
       1335  148 000EF7A0 NdrTypeFlags
       1336  149 000672F0 NdrTypeFree
       1337  14A 0003EFB0 NdrTypeMarshall
       1338  14B 00067280 NdrTypeSize
       1339  14C 0003E330 NdrTypeUnmarshall
       1340  14D 00018910 NdrUnmarshallBasetypeInline
       1341  14E 00048EF0 NdrUserMarshalBufferSize
       1342  14F 0004AD90 NdrUserMarshalFree
       1343  150 0003F930 NdrUserMarshalMarshall
       1344  151 00041030 NdrUserMarshalMemorySize
       1345  152 000CE780 NdrUserMarshalSimpleTypeConvert
       1346  153 00040D70 NdrUserMarshalUnmarshall
       1347  154 0003EDE0 NdrVaryingArrayBufferSize
       1348  155 00068D20 NdrVaryingArrayFree
       1349  156 0003ECC0 NdrVaryingArrayMarshall
       1350  157 00066CF0 NdrVaryingArrayMemorySize
       1351  158 000663C0 NdrVaryingArrayUnmarshall
       1352  159 000C6FE0 NdrXmitOrRepAsBufferSize
       1353  15A 000C5CE0 NdrXmitOrRepAsFree
       1354  15B 000C6490 NdrXmitOrRepAsMarshall
       1355  15C 000CC160 NdrXmitOrRepAsMemorySize
       1356  15D 000C8700 NdrXmitOrRepAsUnmarshall
       1016  15E 00001A30 NdrpClientCall2
       1357  15F 000C9300 NdrpCreateProxy
       1358  160 000C9380 NdrpCreateStub
       1359  161 00073150 NdrpGetProcFormatString
       1360  162 00073390 NdrpGetTypeFormatString
       1361  163 00073430 NdrpGetTypeGenCookie
       1362  164 000479A0 NdrpMemoryIncrement
       1363  165 000C93F0 NdrpReleaseTypeFormatString
       1364  166 000733F0 NdrpReleaseTypeGenCookie
       1365  167 000730A0 NdrpVarVtOfTypeDesc
       1366  168 00002A40 RpcAsyncAbortCall
       1367  169 00068E70 RpcAsyncCancelCall
       1368  16A 00001120 RpcAsyncCompleteCall
       1369  16B 0003AEB0 RpcAsyncGetCallStatus
       1370  16C 00001400 RpcAsyncInitializeHandle
       1371  16D 000698A0 RpcAsyncRegisterInfo
       1372  16E 0002B9D0 RpcBindingBind
       1373  16F 0005E790 RpcBindingCopy
       1374  170 000B7BA0 RpcBindingCreateA
       1375  171 000190D0 RpcBindingCreateW
       1376  172 0003A520 RpcBindingFree
       1377  173 00067FD0 RpcBindingFromStringBindingA
       1378  174 0001A970 RpcBindingFromStringBindingW
       1379  175 00062BD0 RpcBindingInqAuthClientA
       1380  176 00062C00 RpcBindingInqAuthClientExA
       1381  177 00062CC0 RpcBindingInqAuthClientExW
       1382  178 00062C90 RpcBindingInqAuthClientW
       1383  179 000B7EF0 RpcBindingInqAuthInfoA
       1384  17A 000B7F30 RpcBindingInqAuthInfoExA
       1385  17B 00063710 RpcBindingInqAuthInfoExW
       1386  17C 000ABB20 RpcBindingInqAuthInfoW
       1387  17D 00055B90 RpcBindingInqObject
       1388  17E 000B2400 RpcBindingInqOption
       1389  17F 000ABBA0 RpcBindingReset
       1390  180 00064720 RpcBindingServerFromClient
       1391  181 000B7FE0 RpcBindingSetAuthInfoA
       1392  182 000B8010 RpcBindingSetAuthInfoExA
       1393  183 0001BE10 RpcBindingSetAuthInfoExW
       1394  184 00065070 RpcBindingSetAuthInfoW
       1395  185 00038020 RpcBindingSetObject
       1396  186 0001CA70 RpcBindingSetOption
       1397  187 00038CE0 RpcBindingToStringBindingA
       1398  188 00038D40 RpcBindingToStringBindingW
       1399  189 00062D80 RpcBindingUnbind
       1400  18A 0003A120 RpcBindingVectorFree
       1401  18B 000B4830 RpcCancelThread
       1402  18C 000B4880 RpcCancelThreadEx
       1403  18D 000B8110 RpcCertGeneratePrincipalNameA
       1404  18E 000AB290 RpcCertGeneratePrincipalNameW
       1017  18F 000AB080 RpcCertMatchPrincipalName
       1405  190 00069860 RpcEpRegisterA
       1406  191 000B8770 RpcEpRegisterNoReplaceA
       1407  192 000B8860 RpcEpRegisterNoReplaceW
       1408  193 0003A780 RpcEpRegisterW
       1409  194 000660E0 RpcEpResolveBinding
       1410  195 0003C120 RpcEpUnregister
       1411  196 000708D0 RpcErrorAddRecord
       1412  197 000B7730 RpcErrorClearInformation
       1413  198 00068FE0 RpcErrorEndEnumeration
       1414  199 00065D50 RpcErrorGetNextRecord
       1415  19A 000B7740 RpcErrorGetNumberOfRecords
       1416  19B 000B7770 RpcErrorLoadErrorInfo
       1417  19C 000B77B0 RpcErrorResetEnumeration
       1418  19D 000B77D0 RpcErrorSaveErrorInfo
       1419  19E 000688B0 RpcErrorStartEnumeration
       1420  19F 00054A00 RpcExceptionFilter
       1421  1A0 00069020 RpcFreeAuthorizationContext
       1422  1A1 00067140 RpcGetAuthorizationContextForClient
       1423  1A2 000AA080 RpcIfIdVectorFree
       1424  1A3 00039740 RpcIfInqId
       1425  1A4 00057190 RpcImpersonateClient
       1426  1A5 0001C100 RpcImpersonateClient2
       1427  1A6 000AA0F0 RpcImpersonateClientContainer
       1428  1A7 00075580 RpcMgmtEnableIdleCleanup
       1429  1A8 000B8900 RpcMgmtEpEltInqBegin
       1430  1A9 000B8BB0 RpcMgmtEpEltInqDone
       1431  1AA 000B8C90 RpcMgmtEpEltInqNextA
       1432  1AB 000B9160 RpcMgmtEpEltInqNextW
       1433  1AC 000B91C0 RpcMgmtEpUnregister
       1434  1AD 000AB420 RpcMgmtInqComTimeout
       1435  1AE 000B2480 RpcMgmtInqDefaultProtectLevel
       1436  1AF 000AA1A0 RpcMgmtInqIfIds
       1437  1B0 00072180 RpcMgmtInqServerPrincNameA
       1438  1B1 000721E0 RpcMgmtInqServerPrincNameW
       1439  1B2 000AA260 RpcMgmtInqStats
       1440  1B3 00066FA0 RpcMgmtIsServerListening
       1441  1B4 000B91E0 RpcMgmtSetAuthorizationFn
       1442  1B5 000642A0 RpcMgmtSetCancelTimeout
       1443  1B6 000644D0 RpcMgmtSetComTimeout
       1444  1B7 00067B50 RpcMgmtSetServerStackSize
       1445  1B8 000AA3A0 RpcMgmtStatsVectorFree
       1446  1B9 00069660 RpcMgmtStopServerListening
       1447  1BA 000AA3E0 RpcMgmtWaitServerListen
       1448  1BB 000B8170 RpcNetworkInqProtseqsA
       1449  1BC 00064F00 RpcNetworkInqProtseqsW
       1450  1BD 000B8210 RpcNetworkIsProtseqValidA
       1451  1BE 00064D70 RpcNetworkIsProtseqValidW
       1452  1BF 000B8380 RpcNsBindingInqEntryNameA
       1453  1C0 000ABA00 RpcNsBindingInqEntryNameW
       1454  1C1 000AA410 RpcObjectInqType
       1455  1C2 000AA480 RpcObjectSetInqFn
       1456  1C3 00066B10 RpcObjectSetType
       1457  1C4 000B8400 RpcProtseqVectorFreeA
       1458  1C5 00064E90 RpcProtseqVectorFreeW
       1459  1C6 00054F80 RpcRaiseException
       1460  1C7 000AA4B0 RpcRevertContainerImpersonation
       1461  1C8 00058880 RpcRevertToSelf
       1462  1C9 00059ED0 RpcRevertToSelfEx
       1463  1CA 000AA510 RpcServerCompleteSecurityCallback
       1464  1CB 000620F0 RpcServerInqBindingHandle
       1465  1CC 0003C140 RpcServerInqBindings
       1466  1CD 00074F90 RpcServerInqBindingsEx
       1467  1CE 00055910 RpcServerInqCallAttributesA
       1468  1CF 000559E0 RpcServerInqCallAttributesW
       1469  1D0 000AA570 RpcServerInqDefaultPrincNameA
       1470  1D1 0003DC70 RpcServerInqDefaultPrincNameW
       1471  1D2 000AA5D0 RpcServerInqIf
       1472  1D3 0003C6D0 RpcServerInterfaceGroupActivate
       1473  1D4 0003CA60 RpcServerInterfaceGroupClose
       1474  1D5 000AA620 RpcServerInterfaceGroupCreateA
       1475  1D6 0005CB60 RpcServerInterfaceGroupCreateW
       1476  1D7 0003E010 RpcServerInterfaceGroupDeactivate
       1477  1D8 000AAA10 RpcServerInterfaceGroupInqBindings
       1478  1D9 00065A20 RpcServerListen
       1479  1DA 000696D0 RpcServerRegisterAuthInfoA
       1480  1DB 0003CBE0 RpcServerRegisterAuthInfoW
       1481  1DC 00075500 RpcServerRegisterIf
       1482  1DD 0006A720 RpcServerRegisterIf2
       1483  1DE 0004B370 RpcServerRegisterIf3
       1484  1DF 00068550 RpcServerRegisterIfEx
       1485  1E0 000366F0 RpcServerSubscribeForNotification
       1486  1E1 0001C390 RpcServerTestCancel
       1487  1E2 0004C3B0 RpcServerUnregisterIf
       1488  1E3 00068A60 RpcServerUnregisterIfEx
       1489  1E4 000365F0 RpcServerUnsubscribeForNotification
       1490  1E5 000AAA60 RpcServerUseAllProtseqs
       1491  1E6 000AAA90 RpcServerUseAllProtseqsEx
       1492  1E7 000AAC40 RpcServerUseAllProtseqsIf
       1493  1E8 000AAC90 RpcServerUseAllProtseqsIfEx
       1494  1E9 000665A0 RpcServerUseProtseqA
       1495  1EA 000B8410 RpcServerUseProtseqEpA
       1496  1EB 000B8470 RpcServerUseProtseqEpExA
       1497  1EC 00075170 RpcServerUseProtseqEpExW
       1498  1ED 000514C0 RpcServerUseProtseqEpW
       1499  1EE 000B84A0 RpcServerUseProtseqExA
