Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\wdscore.dll

File Type: DLL

  Section contains the following exports for WDSCORE.dll

    00000000 characteristics
    BC74133B time date stamp
        0.00 version
           1 ordinal base
         161 number of functions
         161 number of names

    ordinal hint RVA      name

        141   8A 0000E640 WdsPublishEx
        142   8B 0000E690 WdsPublishImmediateAsync
        143   8C 0000E6E0 WdsPublishImmediateEx
        144   8D 0000E720 WdsPublishOffline
        145   8E 0000E880 WdsSeqAlloc
        146   8F 00002E50 WdsSeqFree
        147   90 0001D770 WdsSetAssertFlags
        148   91 0001AC90 WdsSetBlackboardValue
        149   92 0000E8A0 WdsSetNextExecutionGroup
        150   93 0000E8C0 WdsSetUILanguage
        151   94 0001D790 WdsSetupLogDestroy
        152   95 0001D870 WdsSetupLogInit
        153   96 0001E550 WdsSetupLogMessageA
        154   97 0001E7F0 WdsSetupLogMessageW
        155   98 0000E8E0 WdsSubscribeEx
        156   99 0000E920 WdsTerminate
        157   9A 0000E990 WdsUnlockExecutionGroup
        158   9B 0000E9B0 WdsUnpackCollection
        159   9C 0000ECF0 WdsUnsubscribe
        160   9D 0000ED10 WdsUnsubscribeEx
        161   9E 0001AEB0 WdsValidBlackboard
         68   9F 00039170 g_Kernel32
         69   A0 00039348 g_bEnableDiagnosticMode

  Summary

        2000 .data
        3000 .pdata
       10000 .rdata
        1000 .reloc
        1000 .rsrc
       28000 .text
