Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\ucrtbase.dll

File Type: DLL

  Section contains the following exports for ucrtbase.dll

    00000000 characteristics
    490B0AEB time date stamp
        0.00 version
           1 ordinal base
        2483 number of functions
        2483 number of names

    ordinal hint RVA      name

        315  13A 0001B0D0 _get_daylight
        316  13B 0006CC10 _get_doserrno
        317  13C 0001B150 _get_dstbias
        318  13D 00010F00 _get_errno
        319  13E 0001F730 _get_fmode
        320  13F 00002C70 _get_heap_handle
        321  140 000029D0 _get_initial_narrow_environment
        322  141 00022260 _get_initial_wide_environment
        323  142 0006D130 _get_invalid_parameter_handler
        324  143 00021060 _get_narrow_winmain_command_line
        325  144 00017650 _get_osfhandle
        326  145 0006E980 _get_pgmptr
        327  146 000805F0 _get_printf_count_output
        328  147 000456E0 _get_purecall_handler
        329  148 0001FE90 _get_stream_buffer_pointers
        330  149 0006DF70 _get_terminate
        331  14A 0006D170 _get_thread_local_invalid_parameter_handler
        332  14B 0001B110 _get_timezone
        333  14C 000A5F10 _get_tzname
        334  14D 00045780 _get_unexpected
        335  14E 00020B80 _get_wide_winmain_command_line
        336  14F 0006E9C0 _get_wpgmptr
        337  150 00071120 _getc_nolock
        338  151 00099EA0 _getch
        339  152 00099F00 _getch_nolock
        340  153 0009A1D0 _getche
        341  154 0009A230 _getche_nolock
        342  155 000B17F0 _getcwd
        343  156 000B1810 _getdcwd
        344  157 000B1680 _getdiskfree
        345  158 000A9D00 _getdllprocaddr
        346  159 000B15A0 _getdrive
        347  15A 000B1670 _getdrives
        348  15B 00080EF0 _getmaxstdio
        349  15C 0006C8D0 _getmbcp
        350  15D 0006CFC0 _getpid
        351  15E 000B19F0 _getsystime
        352  15F 00072730 _getw
        353  160 00071540 _getwc_nolock
        354  161 0009A5D0 _getwch
        355  162 0009A630 _getwch_nolock
        356  163 0009A880 _getwche
        357  164 0009A8E0 _getwche_nolock
        358  165 00072620 _getws
        359  166 00072640 _getws_s
        360  167 000A4DD0 _gmtime32
        361  168 000A4E20 _gmtime32_s
        362  169 00002460 _gmtime64
        363  16A 0001A690 _gmtime64_s
        364  16B 000ABC70 _heapchk
        365  16C 000ABCA0 _heapmin
        366  16D 000689B0 _heapwalk
        367  16E 00032540 _hypot
        368  16F 000327C0 _hypotf
        369  170 000672E0 _i64toa
        370  171 00067320 _i64toa_s
        371  172 00067350 _i64tow
        372  173 0001E7A0 _i64tow_s
        373  174 0001EE60 _initialize_narrow_environment
        374  175 0001DA40 _initialize_onexit_table
        375  176 00020570 _initialize_wide_environment
        376  177 0001DA70 _initterm
        377  178 0001DAE0 _initterm_e
        378  179 0006D3C0 _invalid_parameter_noinfo
