Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\msvcrt.dll

File Type: DLL

  Section contains the following exports for msvcrt.dll

    00000000 characteristics
    F362C2F9 time date stamp
        0.00 version
           1 ordinal base
        1317 number of functions
        1317 number of names

    ordinal hint RVA      name

        212   D3 000956D8 _commode
        213   D4 000687B0 _control87
        214   D5 00068A80 _controlfp
        215   D6 00068B50 _controlfp_s
        216   D7 00068BD0 _copysign
        217   D8 00068C10 _copysignf
        218   D9 0003D380 _cprintf
        219   DA 0003D3B0 _cprintf_l
        220   DB 0003DE40 _cprintf_p
        221   DC 0003DE70 _cprintf_p_l
        222   DD 0003F120 _cprintf_s
        223   DE 0003F150 _cprintf_s_l
        224   DF 0001AF70 _cputs
        225   E0 0001B010 _cputws
        226   E1 0001B160 _creat
        227   E2 00028F00 _create_locale
        228   E3 00007C50 _crtAssertBusy
        229   E4 00007C50 _crtBreakAlloc
        230   E5 00007C50 _crtDbgFlag
        231   E6 00040C30 _cscanf
        232   E7 00040C60 _cscanf_l
        233   E8 00041D80 _cscanf_s
        234   E9 00041DB0 _cscanf_s_l
        235   EA 000618B0 _ctime32
        236   EB 00061940 _ctime32_s
        237   EC 00061A00 _ctime64
        238   ED 00061A90 _ctime64_s
        239   EE 0007C82E _ctype
        240   EF 000153E0 _cwait
        241   F0 00041ED0 _cwprintf
        242   F1 00041F00 _cwprintf_l
        243   F2 00042A80 _cwprintf_p
        244   F3 00042AB0 _cwprintf_p_l
        245   F4 00043E00 _cwprintf_s
        246   F5 00043E30 _cwprintf_s_l
        247   F6 00045BC0 _cwscanf
        248   F7 00045BF0 _cwscanf_l
        249   F8 00046E50 _cwscanf_s
        250   F9 00046E80 _cwscanf_s_l
        251   FA 00090CD0 _daylight
        252   FB 00061B50 _difftime32
        253   FC 00061BA0 _difftime64
        254   FD 00090CD4 _dstbias
        255   FE 0001B1B0 _dup
        256   FF 0001B450 _dup2
        257  100 000023A0 _ecvt
        258  101 00002460 _ecvt_s
        259  102 0003AEF0 _endthread
        260  103 0003B110 _endthreadex
        261  104 00094CE0 _environ
        262  105 0001B750 _eof
        263  106 00007DC0 _errno
        264  107 000154A0 _execl
        265  108 00015580 _execle
        266  109 00015670 _execlp
        267  10A 00015750 _execlpe
        268  10B 00015840 _execv
        269  10C 000158A0 _execve
        270  10D 00015BC0 _execvp
        271  10E 00015BD0 _execvpe
        272  10F 0003A260 _exit
        273  110 000196C0 _expand
        274  111 00027DA0 _expand_dbg
        275  112 00046EB0 _fcloseall
        276  113 00002550 _fcvt
        277  114 00002630 _fcvt_s
        278  115 00046F60 _fdopen
        279  116 00047160 _fgetchar
        280  117 00047180 _fgetwchar
        281  118 000471A0 _filbuf
        282  119 00090460 _fileinfo
        283  11A 0001B880 _filelength
        284  11B 0001B9B0 _filelengthi64
        285  11C 00047300 _fileno
        286  11D 00006BF0 _findclose
        287  11E 00006C20 _findfirst
        288  11F 00006C40 _findfirst64
        289  120 00006EF0 _findfirsti64
        290  121 00006C30 _findnext
        291  122 00006DA0 _findnext64
        292  123 00006F00 _findnexti64
        293  124 00068C40 _finite
        294  125 00068C70 _finitef
        295  126 00047340 _flsbuf
        296  127 000475A0 _flushall
        297  128 0009467C _fmode
        298  129 00068C90 _fpclass
        299  12A 00068D20 _fpclassf
        300  12B 00068A90 _fpreset
        301  12C 000476F0 _fprintf_l
        302  12D 00047720 _fprintf_p
        303  12E 00047750 _fprintf_p_l
        304  12F 00047780 _fprintf_s_l
        305  130 00047920 _fputchar
        306  131 00047940 _fputwchar
        307  132 00019230 _free_dbg
        308  133 00029250 _free_locale
        309  134 0001BAF0 _freea
        310  135 0001BAF0 _freea_s
        311  136 00047960 _fscanf_l
        312  137 000479A0 _fscanf_s_l
        313  138 00047BA0 _fseeki64
        314  139 00047CB0 _fsopen
        315  13A 0001BFF0 _fstat
        316  13B 0001C010 _fstat64
        317  13C 0001C000 _fstati64
        318  13D 00061BE0 _ftime
        319  13E 00061BF0 _ftime32
        320  13F 00061C00 _ftime32_s
        321  140 00061BE0 _ftime64
        322  141 00061DA0 _ftime64_s
        323  142 00008370 _fullpath
        324  143 000084A0 _fullpath_dbg
        325  144 00061F50 _futime
        326  145 00061F60 _futime32
        327  146 00062220 _futime64
        328  147 00047E30 _fwprintf_l
        329  148 00047E60 _fwprintf_p
        330  149 00047E90 _fwprintf_p_l
        331  14A 00047EC0 _fwprintf_s_l
        332  14B 00047FC0 _fwscanf_l
        333  14C 00048000 _fwscanf_s_l
        334  14D 00002720 _gcvt
        335  14E 00002760 _gcvt_s
        336  14F 00029310 _get_current_locale
        337  150 00007DF0 _get_doserrno
        338  151 00007C60 _get_environ
        339  152 00007E40 _get_errno
        340  153 00015ED0 _get_fileinfo
        341  154 0001C3F0 _get_fmode
        342  155 000197D0 _get_heap_handle
        343  156 0001CA00 _get_osfhandle
        344  157 0003A420 _get_osplatform
        345  158 0003A470 _get_osver
        346  159 00048160 _get_output_format
        347  15A 0003A4C0 _get_pgmptr
        348  15B 00007C50 _get_sbh_threshold
        349  15C 00007CD0 _get_wenviron
        350  15D 0003A510 _get_winmajor
        351  15E 0003A560 _get_winminor
        352  15F 0003A5B0 _get_winver
        353  160 0003A600 _get_wpgmptr
        354  161 0001BB20 _getch
        355  162 0001BC70 _getche
        356  163 000084B0 _getcwd
        357  164 00008500 _getdcwd
        358  165 00006F10 _getdiskfree
        359  166 000081F0 _getdrive
        360  167 00006FF0 _getdrives
        361  168 000481C0 _getmaxstdio
        362  169 00020C10 _getmbcp
        363  16A 000086B0 _getpid
        364  16B 000624D0 _getsystime
        365  16C 00048300 _getw
        366  16D 0001CCE0 _getwch
        367  16E 0001CE40 _getwche
        368  16F 000483E0 _getws
        369  170 00062690 _gmtime32
        370  171 000626E0 _gmtime32_s
        371  172 000628B0 _gmtime64
        372  173 00062900 _gmtime64_s
        373  174 000198B0 _heapchk
        374  175 00019920 _heapmin
        375  176 00019910 _heapset
        376  177 00019970 _heapwalk
        377  178 00069520 _hypot
        378  179 000697A0 _hypotf
        379  17A 000028E0 _i64toa
        380  17B 00002A80 _i64toa_s
        381  17C 00002D80 _i64tow
        382  17D 00002F60 _i64tow_s
        383  17E 0003A6A0 _initterm
        384  17F 0003A710 _initterm_e
        385  180 0002BC80 _invalid_parameter
        386  181 0008FA00 _iob
        387  182 00001330 _isalnum_l
        388  183 000013A0 _isalpha_l
        389  184 0001CF40 _isatty
        390  185 00001410 _iscntrl_l
        391  186 000021E0 _isctype
        392  187 00002210 _isctype_l
