Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\migisol.dll

File Type: DLL

  Section contains the following exports for migisol.dll

    00000000 characteristics
    C8F5EB64 time date stamp
        0.00 version
           1 ordinal base
         739 number of functions
         739 number of names

    ordinal hint RVA      name

        131   82 00002680 ?ChangeServiceConfigW@CIlNt4Advapi32@@UEAAHPEAUSC_HANDLE__@@KKKPEBG1PEAK1111@Z
        132   83 00003750 ?CloseHandle@CIlKernel32@@UEAAHPEAX@Z
        133   84 00002FC0 ?CloseServiceHandle@CIlNt4Advapi32@@UEAAHPEAUSC_HANDLE__@@@Z
        134   85 00005340 ?CoCreateInstance@CIlOle32@@UEAAJAEBU_GUID@@PEAUIUnknown@@K0PEAPEAX@Z
        135   86 000052F0 ?CoInitialize@CIlOle32@@UEAAJPEAX@Z
        136   87 00005310 ?CoInitializeEx@CIlOle32@@UEAAJPEAXK@Z
        137   88 00005370 ?CoTaskMemAlloc@CIlOle32@@UEAAPEAX_K@Z
        138   89 00005380 ?CoTaskMemFree@CIlOle32@@UEAAXPEAX@Z
        139   8A 00005330 ?CoUninitialize@CIlOle32@@UEAAXXZ
        140   8B 00001F90 ?ConvertSecurityDescriptorToStringSecurityDescriptorW@CIlNt4Advapi32@@UEAAHPEAXKKPEAPEAGPEAK@Z
        141   8C 00001D70 ?ConvertSidToStringSidW@CIlNt4Advapi32@@UEAAHPEAXPEAPEAG@Z
        142   8D 000020D0 ?ConvertStringSecurityDescriptorToSecurityDescriptorW@CIlNt4Advapi32@@UEAAHPEBGKPEAPEAXPEAK@Z
        143   8E 00001E80 ?ConvertStringSidToSidW@CIlNt4Advapi32@@UEAAHPEAGPEAPEAX@Z
        144   8F 00003680 ?CopyFileW@CIlKernel32@@UEAAHPEBG0H@Z
        145   90 000038B0 ?CreateDirectoryW@CIlKernel32@@UEAAHPEBGPEAU_SECURITY_ATTRIBUTES@@@Z
        146   91 00003C70 ?CreateEventW@CIlKernel32@@UEAAPEAXPEAU_SECURITY_ATTRIBUTES@@HHPEBG@Z
        147   92 00003E40 ?CreateFileMappingW@CIlKernel32@@UEAAPEAXPEAXPEAU_SECURITY_ATTRIBUTES@@KKKPEBG@Z
        148   93 00003700 ?CreateFileW@CIlKernel32@@UEAAPEAXPEBGKKPEAU_SECURITY_ATTRIBUTES@@KKPEAX@Z
        149   94 00003A90 ?CreateProcessA@CIlKernel32@@UEAAHPEBDPEADPEAU_SECURITY_ATTRIBUTES@@2HKPEAX0PEAU_STARTUPINFOA@@PEAU_PROCESS_INFORMATION@@@Z
        150   95 00003A10 ?CreateProcessW@CIlKernel32@@UEAAHPEBGPEAGPEAU_SECURITY_ATTRIBUTES@@2HKPEAX0PEAU_STARTUPINFOW@@PEAU_PROCESS_INFORMATION@@@Z
        151   96 00007550 ?CreateProfile@CIlNt6Userenv@@UEAAJPEBG0PEAGK@Z
        152   97 00002890 ?CreateServiceW@CIlNt4Advapi32@@UEAAPEAUSC_HANDLE__@@PEAU2@PEBG1KKKK11PEAK111@Z
        153   98 000053B0 ?CreateStreamOnHGlobal@CIlOle32@@UEAAJPEAXHPEAPEAUIStream@@@Z
        154   99 00003C30 ?CreateThread@CIlKernel32@@UEAAPEAXPEAU_SECURITY_ATTRIBUTES@@_KP6AKPEAX@Z2KPEAK@Z
        155   9A 000041B0 ?CreateToolhelp32Snapshot@CIlNt4Kernel32@@UEAAPEAXKK@Z
        156   9B 000073B0 ?CreateUserProfileExW@CIlNt4Userenv@@UEAAHPEAXPEBG1PEAGKH@Z
        157   9C 00002200 ?CreateWellKnownSid@CIlNt4Advapi32@@UEAAHW4WELL_KNOWN_SID_TYPE@@PEAX1PEAK@Z
        158   9D 00001800 ?CryptAcquireContextW@CIlAdvapi32@@UEAAHPEA_KPEBG1KK@Z
        159   9E 00001830 ?CryptCreateHash@CIlAdvapi32@@UEAAH_KI0KPEA_K@Z
        160   9F 00001A20 ?CryptDecrypt@CIlAdvapi32@@UEAAH_K0HKPEAEPEAK@Z
        161   A0 000018C0 ?CryptDeriveKey@CIlAdvapi32@@UEAAH_KI0KPEA_K@Z
        162   A1 00001A70 ?CryptDestroyHash@CIlAdvapi32@@UEAAH_K@Z
        163   A2 00001A60 ?CryptDestroyKey@CIlAdvapi32@@UEAAH_K@Z
        164   A3 00001860 ?CryptDuplicateHash@CIlAdvapi32@@UEAAH_KPEAKKPEA_K@Z
        165   A4 000018F0 ?CryptDuplicateKey@CIlAdvapi32@@UEAAH_KPEAKKPEA_K@Z
        166   A5 000019D0 ?CryptEncrypt@CIlAdvapi32@@UEAAH_K0HKPEAEPEAKK@Z
        167   A6 00001920 ?CryptGenRandom@CIlAdvapi32@@UEAAH_KKPEAE@Z
        168   A7 00001940 ?CryptGetHashParam@CIlAdvapi32@@UEAAH_KKPEAEPEAKK@Z
        169   A8 00001970 ?CryptGetKeyParam@CIlAdvapi32@@UEAAH_KKPEAEPEAKK@Z
        170   A9 00001890 ?CryptHashData@CIlAdvapi32@@UEAAH_KPEBEKK@Z
        171   AA 00001A80 ?CryptReleaseContext@CIlAdvapi32@@UEAAH_KK@Z
        172   AB 000019A0 ?CryptSetKeyParam@CIlAdvapi32@@UEAAH_KKPEBEK@Z
        173   AC 00003F90 ?DebugBreak@CIlKernel32@@UEAAXXZ
        174   AD 00003D60 ?DeleteCriticalSection@CIlKernel32@@UEAAXPEAU_RTL_CRITICAL_SECTION@@@Z
        175   AE 00003880 ?DeleteFileW@CIlKernel32@@UEAAHPEBG@Z
        176   AF 00003830 ?DuplicateHandle@CIlKernel32@@UEAAHPEAX00PEAPEAXKHK@Z
        177   B0 00003220 ?EncryptFileW@CIlNt4Advapi32@@UEAAHPEBG@Z
        178   B1 00003D40 ?EnterCriticalSection@CIlKernel32@@UEAAXPEAU_RTL_CRITICAL_SECTION@@@Z
        179   B2 00002BD0 ?EnumServicesStatusExW@CIlNt4Advapi32@@UEAAHPEAUSC_HANDLE__@@W4_SC_ENUM_TYPE@@KKPEAEKPEAK33PEBG@Z
        180   B3 000016D0 ?EqualSid@CIlAdvapi32@@UEAAHPEAX0@Z
        181   B4 00003B30 ?ExitProcess@CIlKernel32@@UEAAXI@Z
        182   B5 00003FC0 ?ExpandEnvironmentStringsW@CIlKernel32@@UEAAKPEBGPEAGK@Z
        183   B6 00007140 ?ExtractIconExW@CIlShell32@@UEAAIPEBGHPEAPEAUHICON__@@1I@Z
        184   B7 00003A00 ?FindClose@CIlKernel32@@UEAAHPEAX@Z
        185   B8 000039C0 ?FindFirstFileW@CIlKernel32@@UEAAPEAXPEBGPEAU_WIN32_FIND_DATAW@@@Z
        186   B9 000039E0 ?FindNextFileW@CIlKernel32@@UEAAHPEAXPEAU_WIN32_FIND_DATAW@@@Z
        187   BA 00003F60 ?FreeLibrary@CIlKernel32@@UEAAHPEAUHINSTANCE__@@@Z
        188   BB 000016B0 ?FreeSid@CIlAdvapi32@@UEAAPEAXPEAX@Z
        189   BC 00003F30 ?GetCommandLineW@CIlKernel32@@UEAAPEAGXZ
        190   BD 00003D20 ?GetComputerNameW@CIlKernel32@@UEAAHPEAGPEAK@Z
        191   BE 00003500 ?GetCurrentProcess@CIlKernel32@@UEAAPEAXXZ
        192   BF 00003EE0 ?GetCurrentThreadId@CIlKernel32@@UEAAKXZ
        193   C0 00003E10 ?GetDiskFreeSpaceExW@CIlKernel32@@UEAAHPEBGPEAT_ULARGE_INTEGER@@11@Z
        194   C1 00003DE0 ?GetDiskFreeSpaceW@CIlKernel32@@UEAAHPEBGPEAK111@Z
        195   C2 00003790 ?GetDriveTypeW@CIlKernel32@@UEAAIPEBG@Z
        196   C3 00003FA0 ?GetExitCodeProcess@CIlKernel32@@UEAAHPEAXPEAK@Z
        197   C4 000038D0 ?GetFileAttributesW@CIlKernel32@@UEAAKPEBG@Z
        198   C5 00003DB0 ?GetFileSize@CIlKernel32@@UEAAKPEAXPEAK@Z
        199   C6 00003DA0 ?GetFileType@CIlKernel32@@UEAAKPEAX@Z
        200   C7 000076C0 ?GetFileVersionInfoSizeW@CIlVersion@@UEAAKPEBGPEAK@Z
        201   C8 000076E0 ?GetFileVersionInfoW@CIlVersion@@UEAAHPEBGKKPEAX@Z
        202   C9 00003950 ?GetFullPathNameW@CIlKernel32@@UEAAKPEBGKPEAGPEAPEAG@Z
        203   CA 00005390 ?GetHGlobalFromStream@CIlOle32@@UEAAJPEAUIStream@@PEAPEAX@Z
        204   CB 00001C40 ?GetIlProc@CDynLib@@IEAAP6A_JXZPEBGPEBDP6A_JXZAEAP6A_JXZAEAK@Z
        205   CC 00003420 ?GetIpAddrTable@CIlIphlpapi@@UEAAKPEAU_MIB_IPADDRTABLE@@PEAKH@Z
        206   CD 000034A0 ?GetLastError@CIlKernel32@@UEAAKXZ
        207   CE 00003FE0 ?GetLocaleInfoW@CIlKernel32@@UEAAHKKPEAGH@Z
        208   CF 00003760 ?GetLogicalDriveStringsW@CIlKernel32@@UEAAKKPEAG@Z
        209   D0 00003780 ?GetLogicalDrives@CIlKernel32@@UEAAKXZ
        210   D1 00003D70 ?GetOverlappedResult@CIlKernel32@@UEAAHPEAXPEAU_OVERLAPPED@@PEAKH@Z
        211   D2 00003EF0 ?GetPrivateProfileStringW@CIlKernel32@@UEAAKPEBG00PEAGK0@Z
