Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\migisol.dll

File Type: DLL

  Section contains the following exports for migisol.dll

    00000000 characteristics
    C8F5EB64 time date stamp
        0.00 version
           1 ordinal base
         739 number of functions
         739 number of names

    ordinal hint RVA      name

        498  1F1 000048B0 ?get_NetUserAdd@CIlNt4Netapi32@@QEAAP6AKPEBGKPEAEPEAK@ZXZ
        499  1F2 000049C0 ?get_NetUserDel@CIlNt4Netapi32@@QEAAP6AKPEBG0@ZXZ
        500  1F3 00004B60 ?get_NetUserEnum@CIlNt4Netapi32@@QEAAP6AKPEBGKKPEAPEAEKPEAK22@ZXZ
        501  1F4 00004D00 ?get_NetUserGetLocalGroups@CIlNt4Netapi32@@QEAAP6AKPEBG0KKPEAPEAEKPEAK2@ZXZ
        502  1F5 00004780 ?get_NetWkstaGetInfo@CIlNt4Netapi32@@QEAAP6AKPEAGKPEAPEAE@ZXZ
        503  1F6 00002380 ?get_OpenSCManagerW@CIlNt4Advapi32@@QEAAP6APEAUSC_HANDLE__@@PEBG0K@ZXZ
        504  1F7 00002490 ?get_OpenServiceW@CIlNt4Advapi32@@QEAAP6APEAUSC_HANDLE__@@PEAU2@PEBGK@ZXZ
        505  1F8 00004310 ?get_Process32FirstW@CIlNt4Kernel32@@QEAAP6AHPEAXPEAUtagPROCESSENTRY32W@@@ZXZ
        506  1F9 00004420 ?get_Process32NextW@CIlNt4Kernel32@@QEAAP6AHPEAXPEAUtagPROCESSENTRY32W@@@ZXZ
        507  1FA 000025C0 ?get_QueryServiceConfigW@CIlNt4Advapi32@@QEAAP6AHPEAUSC_HANDLE__@@PEAU_QUERY_SERVICE_CONFIGW@@KPEAK@ZXZ
        508  1FB 000040F0 ?get_RegisterWaitForSingleObject@CIlNt4Kernel32@@QEAAP6AHPEAPEAXPEAXP6AX1E@Z1KK@ZXZ
        509  1FC 000066E0 ?get_SetupCloseFileQueue@CIlNt4Setupapi@@QEAAP6AHPEAX@ZXZ
        510  1FD 00005CE0 ?get_SetupDiBuildDriverInfoList@CIlNt4Setupapi@@QEAAP6AHPEAXPEAU_SP_DEVINFO_DATA@@K@ZXZ
        511  1FE 00006170 ?get_SetupDiCallClassInstaller@CIlNt4Setupapi@@QEAAP6AHIPEAXPEAU_SP_DEVINFO_DATA@@@ZXZ
        512  1FF 000055C0 ?get_SetupDiCreateDeviceInfoListExW@CIlNt4Setupapi@@QEAAP6APEAXPEBU_GUID@@PEAUHWND__@@PEBGPEAX@ZXZ
        513  200 00006380 ?get_SetupDiDestroyDeviceInfoList@CIlNt4Setupapi@@QEAAP6AHPEAX@ZXZ
        514  201 00005BD0 ?get_SetupDiDestroyDriverInfoList@CIlNt4Setupapi@@QEAAP6AHPEAXPEAU_SP_DEVINFO_DATA@@K@ZXZ
        515  202 00005AC0 ?get_SetupDiEnumDeviceInfo@CIlNt4Setupapi@@QEAAP6AHPEAXKPEAU_SP_DEVINFO_DATA@@@ZXZ
        516  203 00006EE0 ?get_SetupDiEnumDeviceInterfaces@CIlNt4Setupapi@@QEAAP6AHPEAXPEAU_SP_DEVINFO_DATA@@PEBU_GUID@@KPEAU_SP_DEVICE_INTERFACE_DATA@@@ZXZ
        517  204 00006C30 ?get_SetupDiEnumDriverInfoW@CIlNt4Setupapi@@QEAAP6AHPEAXPEAU_SP_DEVINFO_DATA@@KKPEAU_SP_DRVINFO_DATA_V2_W@@@ZXZ
        518  205 00005740 ?get_SetupDiGetClassDevsExW@CIlNt4Setupapi@@QEAAP6APEAXPEBU_GUID@@PEBGPEAUHWND__@@KPEAX13@ZXZ
        519  206 00005870 ?get_SetupDiGetClassDevsW@CIlNt4Setupapi@@QEAAP6APEAXPEBU_GUID@@PEBGPEAUHWND__@@K@ZXZ
        520  207 00005F50 ?get_SetupDiGetDeviceInstallParamsW@CIlNt4Setupapi@@QEAAP6AHPEAXPEAU_SP_DEVINFO_DATA@@PEAU_SP_DEVINSTALL_PARAMS_W@@@ZXZ
        521  208 00007040 ?get_SetupDiGetDeviceInterfaceDetailW@CIlNt4Setupapi@@QEAAP6AHPEAXPEAU_SP_DEVICE_INTERFACE_DATA@@PEAU_SP_DEVICE_INTERFACE_DETAIL_DATA_W@@KPEAKPEAU_SP_DEVINFO_DATA@@@ZXZ
        522  209 00006AE0 ?get_SetupDiGetDeviceRegistryPropertyW@CIlNt4Setupapi@@QEAAP6AHPEAXPEAU_SP_DEVINFO_DATA@@KPEAKPEAEK2@ZXZ
        523  20A 00005E40 ?get_SetupDiGetDriverInfoDetailW@CIlNt4Setupapi@@QEAAP6AHPEAXPEAU_SP_DEVINFO_DATA@@PEAU_SP_DRVINFO_DATA_V2_W@@PEAU_SP_DRVINFO_DETAIL_DATA_W@@KPEAK@ZXZ
        524  20B 00006D90 ?get_SetupDiOpenDevRegKey@CIlNt4Setupapi@@QEAAP6APEAUHKEY__@@PEAXPEAU_SP_DEVINFO_DATA@@KKKK@ZXZ
        525  20C 000059B0 ?get_SetupDiOpenDeviceInfoW@CIlNt4Setupapi@@QEAAP6AHPEAXPEBGPEAUHWND__@@KPEAU_SP_DEVINFO_DATA@@@ZXZ
        526  20D 00006060 ?get_SetupDiSetDeviceInstallParamsW@CIlNt4Setupapi@@QEAAP6AHPEAXPEAU_SP_DEVINFO_DATA@@PEAU_SP_DEVINSTALL_PARAMS_W@@@ZXZ
        527  20E 00006280 ?get_SetupDiSetSelectedDriverW@CIlNt4Setupapi@@QEAAP6AHPEAXPEAU_SP_DEVINFO_DATA@@PEAU_SP_DRVINFO_DATA_V2_W@@@ZXZ
        528  20F 00006830 ?get_SetupGetInfInformationW@CIlNt4Setupapi@@QEAAP6AHPEBXKPEAU_SP_INF_INFORMATION@@KPEAK@ZXZ
        529  210 00006480 ?get_SetupOpenFileQueue@CIlNt4Setupapi@@QEAAP6APEAXXZXZ
        530  211 00006960 ?get_SetupQueryInfOriginalFileInformationW@CIlNt4Setupapi@@QEAAP6AHPEAU_SP_INF_INFORMATION@@IPEAU_SP_ALTPLATFORM_INFO_V2@@PEAU_SP_ORIGINAL_FILE_INFO_W@@@ZXZ
        531  212 000065E0 ?get_SetupScanFileQueueW@CIlNt4Setupapi@@QEAAP6AHPEAXKPEAUHWND__@@P6AI0I_K2@Z0PEAK@ZXZ
        532  213 00002B10 ?get_StartServiceW@CIlNt4Advapi32@@QEAAP6AHPEAUSC_HANDLE__@@KPEAPEBG@ZXZ
        533  214 00002F00 ?get_UnlockServiceDatabase@CIlNt4Advapi32@@QEAAP6AHPEAX@ZXZ
        534  215 00007F40 ?get_freeaddrinfo@CIlW2kDynWs2_32@@UEAAP6AXPEAUaddrinfo@@@ZXZ
        535  216 00007E40 ?get_getaddrinfo@CIlW2kDynWs2_32@@UEAAP6AHPEBD0PEBUaddrinfo@@PEAPEAU2@@ZXZ
        536  217 00007D10 ?get_getnameinfo@CIlW2kDynWs2_32@@UEAAP6AHPEBUsockaddr@@HPEADK1KH@ZXZ
        537  218 00007DD0 ?getaddrinfo@CIlW2kDynWs2_32@@UEAAHPEBD0PEBUaddrinfo@@PEAPEAU2@@Z
        538  219 00007940 ?gethostbyname@CIlWs2_32@@UEAAPEAUhostent@@PEBD@Z
        539  21A 00007920 ?gethostname@CIlWs2_32@@UEAAHPEADH@Z
        540  21B 00007C50 ?getnameinfo@CIlW2kDynWs2_32@@UEAAHPEBUsockaddr@@HPEADK1KH@Z
        541  21C 00007A60 ?getsockname@CIlWs2_32@@UEAAH_KPEAUsockaddr@@PEAH@Z
        542  21D 00007950 ?getsockopt@CIlWs2_32@@UEAAH_KHHPEADPEAH@Z
        543  21E 00007900 ?htonl@CIlWs2_32@@UEAAKK@Z
        544  21F 00007910 ?htons@CIlWs2_32@@UEAAGG@Z
        545  220 000078E0 ?inet_addr@CIlWs2_32@@UEAAKPEBD@Z
        546  221 000078F0 ?inet_ntoa@CIlWs2_32@@UEAAPEADUin_addr@@@Z
        547  222 00007A00 ?ioctlsocket@CIlWs2_32@@UEAAH_KJPEAK@Z
        548  223 00007A20 ?listen@CIlWs2_32@@UEAAH_KH@Z
        549  224 00020B28 ?m_ChangeServiceConfigW@CIlNt4Advapi32@@0P6AHPEAUSC_HANDLE__@@KKKPEBG1PEAK1111@ZEA
        550  225 00020BC0 ?m_CloseServiceHandle@CIlNt4Advapi32@@0P6AHPEAUSC_HANDLE__@@@ZEA
        551  226 00020990 ?m_ConvertSecurityDescriptorToStringSecurityDescriptorW@CIlNt4Advapi32@@0P6AHPEAXKKPEAPEAGPEAK@ZEA
        552  227 00020C10 ?m_ConvertSidToStringSidW@CIlNt4Advapi32@@0P6AHPEAXPEAPEAG@ZEA
        553  228 00020A78 ?m_ConvertStringSecurityDescriptorToSecurityDescriptorW@CIlNt4Advapi32@@0P6AHPEBGKPEAPEAXPEAK@ZEA
        554  229 000209F0 ?m_ConvertStringSidToSidW@CIlNt4Advapi32@@0P6AHPEAGPEAPEAX@ZEA
        555  22A 00020BA8 ?m_CreateProfile@CIlNt6Userenv@@0P6AJPEBG0PEAGK@ZEA
        556  22B 00020BC8 ?m_CreateServiceW@CIlNt4Advapi32@@0P6APEAUSC_HANDLE__@@PEAU2@PEBG1KKKK11PEAK111@ZEA
        557  22C 00020C30 ?m_CreateToolhelp32Snapshot@CIlNt4Kernel32@@0P6APEAXKK@ZEA
        558  22D 000209D8 ?m_CreateUserProfileExW@CIlNt4Userenv@@0P6AHPEAXPEBG1PEAGKH@ZEA
        559  22E 00020B08 ?m_CreateWellKnownSid@CIlNt4Advapi32@@0P6AHW4WELL_KNOWN_SID_TYPE@@PEAX1PEAK@ZEA
        560  22F 00020C18 ?m_EncryptFileW@CIlNt4Advapi32@@0P6AHPEBG@ZEA
        561  230 000209E8 ?m_EnumServicesStatusExW@CIlNt4Advapi32@@0P6AHPEAUSC_HANDLE__@@W4_SC_ENUM_TYPE@@KKPEAEKPEAK33PEBG@ZEA
        562  231 00020A68 ?m_GetSystemWindowsDirectoryW@CIlNt4Kernel32@@0P6AIPEAGI@ZEA
        563  232 00020A50 ?m_GlobalMemoryStatusEx@CIlNt4Kernel32@@0P6AHPEAU_MEMORYSTATUSEX@@@ZEA
        564  233 00020AB8 ?m_InitiateSystemShutdownExW@CIlNt4Advapi32@@0P6AHPEAG0KHHK@ZEA
        565  234 00020BA0 ?m_LockServiceDatabase@CIlNt4Advapi32@@0P6APEAXPEAUSC_HANDLE__@@@ZEA
        566  235 000209C0 ?m_LockSetForegroundWindow@CIlNt4User32@@0P6AHI@ZEA
        567  236 00020B40 ?m_NetApiBufferFree@CIlNt4Netapi32@@0P6AKPEAX@ZEA
        568  237 00020B68 ?m_NetLocalGroupAdd@CIlNt4Netapi32@@0P6AKPEBGKPEAEPEAK@ZEA
        569  238 00020B70 ?m_NetLocalGroupAddMembers@CIlNt4Netapi32@@0P6AKPEBG0KPEAEK@ZEA
        570  239 00020950 ?m_NetLocalGroupEnum@CIlNt4Netapi32@@0P6AKPEBGKPEAPEAEKPEAK2PEA_K@ZEA
        571  23A 00020940 ?m_NetUserAdd@CIlNt4Netapi32@@0P6AKPEBGKPEAEPEAK@ZEA
        572  23B 00020C08 ?m_NetUserDel@CIlNt4Netapi32@@0P6AKPEBG0@ZEA
        573  23C 00020968 ?m_NetUserEnum@CIlNt4Netapi32@@0P6AKPEBGKKPEAPEAEKPEAK22@ZEA
        574  23D 00020970 ?m_NetUserGetLocalGroups@CIlNt4Netapi32@@0P6AKPEBG0KKPEAPEAEKPEAK2@ZEA
        575  23E 00020A00 ?m_NetWkstaGetInfo@CIlNt4Netapi32@@0P6AKPEAGKPEAPEAE@ZEA
        576  23F 00020B50 ?m_OpenSCManagerW@CIlNt4Advapi32@@0P6APEAUSC_HANDLE__@@PEBG0K@ZEA
        577  240 00020930 ?m_OpenServiceW@CIlNt4Advapi32@@0P6APEAUSC_HANDLE__@@PEAU2@PEBGK@ZEA
        578  241 00020A80 ?m_Process32FirstW@CIlNt4Kernel32@@0P6AHPEAXPEAUtagPROCESSENTRY32W@@@ZEA
        579  242 00020C40 ?m_Process32NextW@CIlNt4Kernel32@@0P6AHPEAXPEAUtagPROCESSENTRY32W@@@ZEA
        580  243 00020988 ?m_QueryServiceConfigW@CIlNt4Advapi32@@0P6AHPEAUSC_HANDLE__@@PEAU_QUERY_SERVICE_CONFIGW@@KPEAK@ZEA
        581  244 00020B18 ?m_RefCountChangeServiceConfigW@CIlNt4Advapi32@@0KA
        582  245 00020A18 ?m_RefCountCloseServiceHandle@CIlNt4Advapi32@@0KA
        583  246 00020B94 ?m_RefCountConvertSecurityDescriptorToStringSecurityDescriptorW@CIlNt4Advapi32@@0KA
        584  247 0002094C ?m_RefCountConvertSidToStringSidW@CIlNt4Advapi32@@0KA
        585  248 00020B00 ?m_RefCountConvertStringSecurityDescriptorToSecurityDescriptorW@CIlNt4Advapi32@@0KA
        586  249 00020AC0 ?m_RefCountConvertStringSidToSidW@CIlNt4Advapi32@@0KA
        587  24A 00020A20 ?m_RefCountCreateProfile@CIlNt6Userenv@@0KA
        588  24B 00020B80 ?m_RefCountCreateServiceW@CIlNt4Advapi32@@0KA
        589  24C 000209B8 ?m_RefCountCreateToolhelp32Snapshot@CIlNt4Kernel32@@0KA
        590  24D 00020AAC ?m_RefCountCreateUserProfileExW@CIlNt4Userenv@@0KA
        591  24E 000209E0 ?m_RefCountCreateWellKnownSid@CIlNt4Advapi32@@0KA
        592  24F 00020C48 ?m_RefCountEncryptFileW@CIlNt4Advapi32@@0KA
        593  250 00020A98 ?m_RefCountEnumServicesStatusExW@CIlNt4Advapi32@@0KA
        594  251 00020938 ?m_RefCountGetSystemWindowsDirectoryW@CIlNt4Kernel32@@0KA
        595  252 00020B90 ?m_RefCountGlobalMemoryStatusEx@CIlNt4Kernel32@@0KA
        596  253 00020C38 ?m_RefCountInitiateSystemShutdownExW@CIlNt4Advapi32@@0KA
        597  254 00020B14 ?m_RefCountLockServiceDatabase@CIlNt4Advapi32@@0KA
        598  255 00020960 ?m_RefCountLockSetForegroundWindow@CIlNt4User32@@0KA
        599  256 00020B60 ?m_RefCountNetApiBufferFree@CIlNt4Netapi32@@0KA
        600  257 00020AC4 ?m_RefCountNetLocalGroupAdd@CIlNt4Netapi32@@0KA
        601  258 00020B78 ?m_RefCountNetLocalGroupAddMembers@CIlNt4Netapi32@@0KA
        602  259 00020980 ?m_RefCountNetLocalGroupEnum@CIlNt4Netapi32@@0KA
        603  25A 000209A0 ?m_RefCountNetUserAdd@CIlNt4Netapi32@@0KA
        604  25B 00020BD0 ?m_RefCountNetUserDel@CIlNt4Netapi32@@0KA
        605  25C 00020A74 ?m_RefCountNetUserEnum@CIlNt4Netapi32@@0KA
        606  25D 00020A9C ?m_RefCountNetUserGetLocalGroups@CIlNt4Netapi32@@0KA
        607  25E 00020A2C ?m_RefCountNetWkstaGetInfo@CIlNt4Netapi32@@0KA
        608  25F 00020BE8 ?m_RefCountOpenSCManagerW@CIlNt4Advapi32@@0KA
        609  260 00020B48 ?m_RefCountOpenServiceW@CIlNt4Advapi32@@0KA
        610  261 00020A3C ?m_RefCountProcess32FirstW@CIlNt4Kernel32@@0KA
        611  262 00020A60 ?m_RefCountProcess32NextW@CIlNt4Kernel32@@0KA
        612  263 00020B10 ?m_RefCountQueryServiceConfigW@CIlNt4Advapi32@@0KA
        613  264 00020B7C ?m_RefCountRegisterWaitForSingleObject@CIlNt4Kernel32@@0KA
        614  265 00020B20 ?m_RefCountSetupCloseFileQueue@CIlNt4Setupapi@@0KA
        615  266 00020B30 ?m_RefCountSetupDiBuildDriverInfoList@CIlNt4Setupapi@@0KA
        616  267 00020A88 ?m_RefCountSetupDiCallClassInstaller@CIlNt4Setupapi@@0KA
        617  268 00020918 ?m_RefCountSetupDiCreateDeviceInfoListExW@CIlNt4Setupapi@@0KA
        618  269 000209D0 ?m_RefCountSetupDiDestroyDeviceInfoList@CIlNt4Setupapi@@0KA
        619  26A 00020C20 ?m_RefCountSetupDiDestroyDriverInfoList@CIlNt4Setupapi@@0KA
        620  26B 00020BB0 ?m_RefCountSetupDiEnumDeviceInfo@CIlNt4Setupapi@@0KA
        621  26C 00020A08 ?m_RefCountSetupDiEnumDeviceInterfaces@CIlNt4Setupapi@@0KA
        622  26D 00020A1C ?m_RefCountSetupDiEnumDriverInfoW@CIlNt4Setupapi@@0KA
        623  26E 00020A30 ?m_RefCountSetupDiGetClassDevsExW@CIlNt4Setupapi@@0KA
        624  26F 000209F8 ?m_RefCountSetupDiGetClassDevsW@CIlNt4Setupapi@@0KA
        625  270 00020C28 ?m_RefCountSetupDiGetDeviceInstallParamsW@CIlNt4Setupapi@@0KA
        626  271 00020A38 ?m_RefCountSetupDiGetDeviceInterfaceDetailW@CIlNt4Setupapi@@0KA
        627  272 00020984 ?m_RefCountSetupDiGetDeviceRegistryPropertyW@CIlNt4Setupapi@@0KA
        628  273 00020A24 ?m_RefCountSetupDiGetDriverInfoDetailW@CIlNt4Setupapi@@0KA
        629  274 00020AA8 ?m_RefCountSetupDiOpenDevRegKey@CIlNt4Setupapi@@0KA
        630  275 00020A70 ?m_RefCountSetupDiOpenDeviceInfoW@CIlNt4Setupapi@@0KA
        631  276 00020C24 ?m_RefCountSetupDiSetDeviceInstallParamsW@CIlNt4Setupapi@@0KA
        632  277 00020A34 ?m_RefCountSetupDiSetSelectedDriverW@CIlNt4Setupapi@@0KA
        633  278 00020C4C ?m_RefCountSetupGetInfInformationW@CIlNt4Setupapi@@0KA
        634  279 00020AE0 ?m_RefCountSetupOpenFileQueue@CIlNt4Setupapi@@0KA
        635  27A 00020B64 ?m_RefCountSetupQueryInfOriginalFileInformationW@CIlNt4Setupapi@@0KA
        636  27B 00020AC8 ?m_RefCountSetupScanFileQueueW@CIlNt4Setupapi@@0KA
        637  27C 00020A28 ?m_RefCountStartServiceW@CIlNt4Advapi32@@0KA
        638  27D 000209A8 ?m_RefCountUnlockServiceDatabase@CIlNt4Advapi32@@0KA
        639  27E 00020B1C ?m_RefCountfreeaddrinfo@CIlW2kDynWs2_32@@0KA
        640  27F 000209A4 ?m_RefCountgetaddrinfo@CIlW2kDynWs2_32@@0KA
        641  280 00020948 ?m_RefCountgetnameinfo@CIlW2kDynWs2_32@@0KA
        642  281 00020978 ?m_RegisterWaitForSingleObject@CIlNt4Kernel32@@0P6AHPEAPEAXPEAXP6AX1E@Z1KK@ZEA
        643  282 00020B98 ?m_SetupCloseFileQueue@CIlNt4Setupapi@@0P6AHPEAX@ZEA
        644  283 00020BF8 ?m_SetupDiBuildDriverInfoList@CIlNt4Setupapi@@0P6AHPEAXPEAU_SP_DEVINFO_DATA@@K@ZEA
        645  284 00020A48 ?m_SetupDiCallClassInstaller@CIlNt4Setupapi@@0P6AHIPEAXPEAU_SP_DEVINFO_DATA@@@ZEA
        646  285 00020BF0 ?m_SetupDiCreateDeviceInfoListExW@CIlNt4Setupapi@@0P6APEAXPEBU_GUID@@PEAUHWND__@@PEBGPEAX@ZEA
        647  286 00020B88 ?m_SetupDiDestroyDeviceInfoList@CIlNt4Setupapi@@0P6AHPEAX@ZEA
        648  287 00020AD8 ?m_SetupDiDestroyDriverInfoList@CIlNt4Setupapi@@0P6AHPEAXPEAU_SP_DEVINFO_DATA@@K@ZEA
        649  288 00020A58 ?m_SetupDiEnumDeviceInfo@CIlNt4Setupapi@@0P6AHPEAXKPEAU_SP_DEVINFO_DATA@@@ZEA
        650  289 000209B0 ?m_SetupDiEnumDeviceInterfaces@CIlNt4Setupapi@@0P6AHPEAXPEAU_SP_DEVINFO_DATA@@PEBU_GUID@@KPEAU_SP_DEVICE_INTERFACE_DATA@@@ZEA
        651  28A 00020958 ?m_SetupDiEnumDriverInfoW@CIlNt4Setupapi@@0P6AHPEAXPEAU_SP_DEVINFO_DATA@@KKPEAU_SP_DRVINFO_DATA_V2_W@@@ZEA
        652  28B 00020AB0 ?m_SetupDiGetClassDevsExW@CIlNt4Setupapi@@0P6APEAXPEBU_GUID@@PEBGPEAUHWND__@@KPEAX13@ZEA
        653  28C 00020AD0 ?m_SetupDiGetClassDevsW@CIlNt4Setupapi@@0P6APEAXPEBU_GUID@@PEBGPEAUHWND__@@K@ZEA
        654  28D 00020C00 ?m_SetupDiGetDeviceInstallParamsW@CIlNt4Setupapi@@0P6AHPEAXPEAU_SP_DEVINFO_DATA@@PEAU_SP_DEVINSTALL_PARAMS_W@@@ZEA
        655  28E 00020AA0 ?m_SetupDiGetDeviceInterfaceDetailW@CIlNt4Setupapi@@0P6AHPEAXPEAU_SP_DEVICE_INTERFACE_DATA@@PEAU_SP_DEVICE_INTERFACE_DETAIL_DATA_W@@KPEAKPEAU_SP_DEVINFO_DATA@@@ZEA
        656  28F 00020AF0 ?m_SetupDiGetDeviceRegistryPropertyW@CIlNt4Setupapi@@0P6AHPEAXPEAU_SP_DEVINFO_DATA@@KPEAKPEAEK2@ZEA
        657  290 00020A10 ?m_SetupDiGetDriverInfoDetailW@CIlNt4Setupapi@@0P6AHPEAXPEAU_SP_DEVINFO_DATA@@PEAU_SP_DRVINFO_DATA_V2_W@@PEAU_SP_DRVINFO_DETAIL_DATA_W@@KPEAK@ZEA
        658  291 00020928 ?m_SetupDiOpenDevRegKey@CIlNt4Setupapi@@0P6APEAUHKEY__@@PEAXPEAU_SP_DEVINFO_DATA@@KKKK@ZEA
        659  292 00020BB8 ?m_SetupDiOpenDeviceInfoW@CIlNt4Setupapi@@0P6AHPEAXPEBGPEAUHWND__@@KPEAU_SP_DEVINFO_DATA@@@ZEA
        660  293 00020A90 ?m_SetupDiSetDeviceInstallParamsW@CIlNt4Setupapi@@0P6AHPEAXPEAU_SP_DEVINFO_DATA@@PEAU_SP_DEVINSTALL_PARAMS_W@@@ZEA
        661  294 000209C8 ?m_SetupDiSetSelectedDriverW@CIlNt4Setupapi@@0P6AHPEAXPEAU_SP_DEVINFO_DATA@@PEAU_SP_DRVINFO_DATA_V2_W@@@ZEA
        662  295 00020A40 ?m_SetupGetInfInformationW@CIlNt4Setupapi@@0P6AHPEBXKPEAU_SP_INF_INFORMATION@@KPEAK@ZEA
        663  296 00020BD8 ?m_SetupOpenFileQueue@CIlNt4Setupapi@@0P6APEAXXZEA
        664  297 00020B58 ?m_SetupQueryInfOriginalFileInformationW@CIlNt4Setupapi@@0P6AHPEAU_SP_INF_INFORMATION@@IPEAU_SP_ALTPLATFORM_INFO_V2@@PEAU_SP_ORIGINAL_FILE_INFO_W@@@ZEA
        665  298 00020920 ?m_SetupScanFileQueueW@CIlNt4Setupapi@@0P6AHPEAXKPEAUHWND__@@P6AI0I_K2@Z0PEAK@ZEA
        666  299 00020AF8 ?m_StartServiceW@CIlNt4Advapi32@@0P6AHPEAUSC_HANDLE__@@KPEAPEBG@ZEA
        667  29A 00020998 ?m_UnlockServiceDatabase@CIlNt4Advapi32@@0P6AHPEAX@ZEA
        668  29B 00020B38 ?m_freeaddrinfo@CIlW2kDynWs2_32@@0P6AXPEAUaddrinfo@@@ZEA
        669  29C 00020AE8 ?m_getaddrinfo@CIlW2kDynWs2_32@@0P6AHPEBD0PEBUaddrinfo@@PEAPEAU2@@ZEA
        670  29D 00020BE0 ?m_getnameinfo@CIlW2kDynWs2_32@@0P6AHPEBUsockaddr@@HPEADK1KH@ZEA
        671  29E 00007A80 ?recv@CIlWs2_32@@UEAAH_KPEADHH@Z
        672  29F 00007AB0 ?recvfrom@CIlWs2_32@@UEAAH_KPEADHHPEAUsockaddr@@PEAH@Z
        673  2A0 00002820 ?release_ChangeServiceConfigW@CIlNt4Advapi32@@QEAAXXZ
        674  2A1 00003050 ?release_CloseServiceHandle@CIlNt4Advapi32@@QEAAXXZ
        675  2A2 00002060 ?release_ConvertSecurityDescriptorToStringSecurityDescriptorW@CIlNt4Advapi32@@QEAAXXZ
        676  2A3 00001E10 ?release_ConvertSidToStringSidW@CIlNt4Advapi32@@QEAAXXZ
        677  2A4 00002190 ?release_ConvertStringSecurityDescriptorToSecurityDescriptorW@CIlNt4Advapi32@@QEAAXXZ
        678  2A5 00001F20 ?release_ConvertStringSidToSidW@CIlNt4Advapi32@@QEAAXXZ
        679  2A6 00007610 ?release_CreateProfile@CIlNt6Userenv@@QEAAXXZ
        680  2A7 00002A50 ?release_CreateServiceW@CIlNt4Advapi32@@QEAAXXZ
        681  2A8 00004250 ?release_CreateToolhelp32Snapshot@CIlNt4Kernel32@@QEAAXXZ
        682  2A9 000074A0 ?release_CreateUserProfileExW@CIlNt4Userenv@@QEAAXXZ
        683  2AA 000022C0 ?release_CreateWellKnownSid@CIlNt4Advapi32@@QEAAXXZ
        684  2AB 000032C0 ?release_EncryptFileW@CIlNt4Advapi32@@QEAAXXZ
        685  2AC 00002D50 ?release_EnumServicesStatusExW@CIlNt4Advapi32@@QEAAXXZ
        686  2AD 00004580 ?release_GetSystemWindowsDirectoryW@CIlNt4Kernel32@@QEAAXXZ
        687  2AE 00004680 ?release_GlobalMemoryStatusEx@CIlNt4Kernel32@@QEAAXXZ
        688  2AF 000031B0 ?release_InitiateSystemShutdownExW@CIlNt4Advapi32@@QEAAXXZ
        689  2B0 00002E50 ?release_LockServiceDatabase@CIlNt4Advapi32@@QEAAXXZ
        690  2B1 00007300 ?release_LockSetForegroundWindow@CIlNt4User32@@QEAAXXZ
        691  2B2 00005240 ?release_NetApiBufferFree@CIlNt4Netapi32@@QEAAXXZ
        692  2B3 00004FC0 ?release_NetLocalGroupAdd@CIlNt4Netapi32@@QEAAXXZ
        693  2B4 00004E90 ?release_NetLocalGroupAddMembers@CIlNt4Netapi32@@QEAAXXZ
        694  2B5 00005140 ?release_NetLocalGroupEnum@CIlNt4Netapi32@@QEAAXXZ
        695  2B6 00004900 ?release_NetUserAdd@CIlNt4Netapi32@@QEAAXXZ
        696  2B7 00004A10 ?release_NetUserDel@CIlNt4Netapi32@@QEAAXXZ
        697  2B8 00004BB0 ?release_NetUserEnum@CIlNt4Netapi32@@QEAAXXZ
        698  2B9 00004D50 ?release_NetUserGetLocalGroups@CIlNt4Netapi32@@QEAAXXZ
        699  2BA 000047D0 ?release_NetWkstaGetInfo@CIlNt4Netapi32@@QEAAXXZ
        700  2BB 000023D0 ?release_OpenSCManagerW@CIlNt4Advapi32@@QEAAXXZ
        701  2BC 000024E0 ?release_OpenServiceW@CIlNt4Advapi32@@QEAAXXZ
        702  2BD 00004360 ?release_Process32FirstW@CIlNt4Kernel32@@QEAAXXZ
        703  2BE 00004470 ?release_Process32NextW@CIlNt4Kernel32@@QEAAXXZ
        704  2BF 00002610 ?release_QueryServiceConfigW@CIlNt4Advapi32@@QEAAXXZ
        705  2C0 00004140 ?release_RegisterWaitForSingleObject@CIlNt4Kernel32@@QEAAXXZ
        706  2C1 00006730 ?release_SetupCloseFileQueue@CIlNt4Setupapi@@QEAAXXZ
        707  2C2 00005D30 ?release_SetupDiBuildDriverInfoList@CIlNt4Setupapi@@QEAAXXZ
        708  2C3 000061C0 ?release_SetupDiCallClassInstaller@CIlNt4Setupapi@@QEAAXXZ
        709  2C4 00005610 ?release_SetupDiCreateDeviceInfoListExW@CIlNt4Setupapi@@QEAAXXZ
        710  2C5 000063D0 ?release_SetupDiDestroyDeviceInfoList@CIlNt4Setupapi@@QEAAXXZ
        711  2C6 00005C20 ?release_SetupDiDestroyDriverInfoList@CIlNt4Setupapi@@QEAAXXZ
        712  2C7 00005B10 ?release_SetupDiEnumDeviceInfo@CIlNt4Setupapi@@QEAAXXZ
        713  2C8 00006F30 ?release_SetupDiEnumDeviceInterfaces@CIlNt4Setupapi@@QEAAXXZ
