Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\archiveint.dll

File Type: DLL

  Section contains the following exports for archiveint.dll

    00000000 characteristics
    2B167212 time date stamp
        0.00 version
           1 ordinal base
         409 number of functions
         409 number of names

    ordinal hint RVA      name

        206   CD 0000F9E0 archive_read_append_filter_program
        207   CE 0000FA00 archive_read_append_filter_program_signature
        208   CF 0003BF70 archive_read_close
        209   D0 0000E670 archive_read_data
        210   D1 0003C0C0 archive_read_data_block
        211   D2 0000FBA0 archive_read_data_into_fd
        212   D3 0000E800 archive_read_data_skip
        213   D4 0005B300 archive_read_disk_can_descend
        214   D5 0005B6E0 archive_read_disk_current_filesystem
        215   D6 0005B9F0 archive_read_disk_current_filesystem_is_remote
        216   D7 0005B9A0 archive_read_disk_current_filesystem_is_synthetic
        217   D8 0005B350 archive_read_disk_descend
        218   D9 0005CAE0 archive_read_disk_entry_from_file
        219   DA 00059E00 archive_read_disk_gname
        220   DB 00059FE0 archive_read_disk_new
        221   DC 0005B4A0 archive_read_disk_open
        222   DD 0005B590 archive_read_disk_open_w
        223   DE 0005A3A0 archive_read_disk_set_atime_restored
        224   DF 0005A3F0 archive_read_disk_set_behavior
        225   E0 00059EC0 archive_read_disk_set_gname_lookup
        226   E1 0005B230 archive_read_disk_set_matching
        227   E2 0005B2A0 archive_read_disk_set_metadata_filter_callback
        228   E3 0000FD80 archive_read_disk_set_standard_lookup
        229   E4 0005A330 archive_read_disk_set_symlink_hybrid
        230   E5 0005A250 archive_read_disk_set_symlink_logical
        231   E6 0005A2C0 archive_read_disk_set_symlink_physical
        232   E7 00059F50 archive_read_disk_set_uname_lookup
        233   E8 00059E60 archive_read_disk_uname
        234   E9 0000FDB0 archive_read_extract
        235   EA 0000FF10 archive_read_extract2
        236   EB 00010000 archive_read_extract_set_progress_callback
        237   EC 0000D610 archive_read_extract_set_skip_file
        238   ED 0003BFA0 archive_read_finish
        239   EE 0000E640 archive_read_format_capabilities
        240   EF 0003BFA0 archive_read_free
        241   F0 0000E5E0 archive_read_has_encrypted_entries
        242   F1 0000E5A0 archive_read_header_position
        243   F2 0000D510 archive_read_new
        244   F3 0003C080 archive_read_next_header
        245   F4 0003C0A0 archive_read_next_header2
        246   F5 0000D680 archive_read_open
        247   F6 0000DEA0 archive_read_open1
        248   F7 0000D6F0 archive_read_open2
        249   F8 000104B0 archive_read_open_FILE
        250   F9 00010130 archive_read_open_fd
        251   FA 00010790 archive_read_open_file
        252   FB 00010790 archive_read_open_filename
        253   FC 00010950 archive_read_open_filename_w
        254   FD 000107C0 archive_read_open_filenames
        255   FE 00010FA0 archive_read_open_memory
        256   FF 00010FB0 archive_read_open_memory2
        257  100 0000DE90 archive_read_prepend_callback_data
        258  101 0000DC50 archive_read_set_callback_data
        259  102 0000DC60 archive_read_set_callback_data2
        260  103 0000DBB0 archive_read_set_close_callback
        261  104 00011400 archive_read_set_filter_option
        262  105 000111A0 archive_read_set_format
        263  106 000113C0 archive_read_set_format_option
        264  107 0000DA70 archive_read_set_open_callback
        265  108 00011440 archive_read_set_option
        266  109 00011480 archive_read_set_options
        267  10A 0000F580 archive_read_set_passphrase_callback
        268  10B 0000DAC0 archive_read_set_read_callback
        269  10C 0000DB60 archive_read_set_seek_callback
        270  10D 0000DB10 archive_read_set_skip_callback
        271  10E 0000DC00 archive_read_set_switch_callback
        272  10F 000116A0 archive_read_support_compression_all
        273  110 00011750 archive_read_support_compression_bzip2
        274  111 000118D0 archive_read_support_compression_compress
        275  112 00011F10 archive_read_support_compression_gzip
        276  113 00014390 archive_read_support_compression_lzip
        277  114 000142E0 archive_read_support_compression_lzma
        278  115 00012960 archive_read_support_compression_none
        279  116 000129B0 archive_read_support_compression_program
        280  117 000129D0 archive_read_support_compression_program_signature
        281  118 000130F0 archive_read_support_compression_rpm
        282  119 00013510 archive_read_support_compression_uu
        283  11A 00014230 archive_read_support_compression_xz
        284  11B 000116B0 archive_read_support_filter_all
        285  11C 00011760 archive_read_support_filter_bzip2
        286  11D 000118E0 archive_read_support_filter_compress
        287  11E 00012460 archive_read_support_filter_grzip
        288  11F 00011F20 archive_read_support_filter_gzip
        289  120 00012580 archive_read_support_filter_lrzip
        290  121 000126C0 archive_read_support_filter_lz4
        291  122 000143A0 archive_read_support_filter_lzip
        292  123 000142F0 archive_read_support_filter_lzma
        293  124 00012840 archive_read_support_filter_lzop
        294  125 00012970 archive_read_support_filter_none
        295  126 000129B0 archive_read_support_filter_program
        296  127 000129E0 archive_read_support_filter_program_signature
        297  128 00013100 archive_read_support_filter_rpm
        298  129 00013520 archive_read_support_filter_uu
        299  12A 00014240 archive_read_support_filter_xz
        300  12B 00014720 archive_read_support_format_7zip
        301  12C 000193C0 archive_read_support_format_all
        302  12D 00019480 archive_read_support_format_ar
        303  12E 00019F10 archive_read_support_format_by_code
        304  12F 0001A040 archive_read_support_format_cab
        305  130 0001DD60 archive_read_support_format_cpio
        306  131 0001F3E0 archive_read_support_format_empty
        307  132 0002D310 archive_read_support_format_gnutar
        308  133 0001F4D0 archive_read_support_format_iso9660
        309  134 00022DB0 archive_read_support_format_lha
        310  135 00026920 archive_read_support_format_mtree
        311  136 00029330 archive_read_support_format_rar
        312  137 0002D030 archive_read_support_format_raw
        313  138 0002D350 archive_read_support_format_tar
        314  139 00030DF0 archive_read_support_format_warc
        315  13A 00031B20 archive_read_support_format_xar
        316  13B 00034670 archive_read_support_format_zip
        317  13C 00036730 archive_read_support_format_zip_seekable
        318  13D 00034AD0 archive_read_support_format_zip_streamable
        319  13E 0000E890 archive_seek_data
        320  13F 0003B8F0 archive_set_error
        321  140 0003BE20 archive_utility_string_sort
        322  141 0003BE40 archive_version_details
        323  142 0003B7F0 archive_version_number
        324  143 0003B800 archive_version_string
        325  144 0003D830 archive_write_add_filter
        326  145 0003D8A0 archive_write_add_filter_b64encode
        327  146 0003DEF0 archive_write_add_filter_by_name
        328  147 0003DFD0 archive_write_add_filter_bzip2
        329  148 0003E290 archive_write_add_filter_compress
        330  149 0003E970 archive_write_add_filter_grzip
        331  14A 0003EB60 archive_write_add_filter_gzip
        332  14B 0003F0D0 archive_write_add_filter_lrzip
        333  14C 0003F410 archive_write_add_filter_lz4
        334  14D 00040660 archive_write_add_filter_lzip
        335  14E 00040660 archive_write_add_filter_lzma
        336  14F 0003F7B0 archive_write_add_filter_lzop
        337  150 000110A0 archive_write_add_filter_none
        338  151 0003F9F0 archive_write_add_filter_program
        339  152 00040050 archive_write_add_filter_uuencode
        340  153 00040630 archive_write_add_filter_xz
        341  154 0003BF70 archive_write_close
        342  155 0003C010 archive_write_data
        343  156 0003C030 archive_write_data_block
        344  157 0005F550 archive_write_disk_gid
        345  158 0005F650 archive_write_disk_new
        346  159 0005F430 archive_write_disk_set_group_lookup
        347  15A 0005E840 archive_write_disk_set_options
        348  15B 0005ED80 archive_write_disk_set_skip_file
        349  15C 0003CEC0 archive_write_disk_set_standard_lookup
        350  15D 0005F4C0 archive_write_disk_set_user_lookup
        351  15E 0005F5D0 archive_write_disk_uid
        352  15F 0003BF90 archive_write_fail
        353  160 0003BFA0 archive_write_finish
        354  161 0003BFF0 archive_write_finish_entry
        355  162 0003BFA0 archive_write_free
        356  163 0003C2F0 archive_write_get_bytes_in_last_block
