Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\ifsutil.dll

File Type: DLL

  Section contains the following exports for IfsUtil.dll

    00000000 characteristics
    F3C8EAD5 time date stamp
        0.00 version
           1 ordinal base
         321 number of functions
         321 number of names

    ordinal hint RVA      name

        136   87 00019BD0 ?Initialize@POW_CACHE@@QEAAEKKKKK@Z
        137   88 00019CD0 ?Initialize@POW_CACHE@@QEAAEPEAVIO_DP_DRIVE@@@Z
        138   89 00018830 ?Initialize@READ_AHEAD_CACHE@@QEAAEPEAVIO_DP_DRIVE@@KK@Z
        139   8A 00018520 ?Initialize@READ_CACHE@@QEAAEPEAVIO_DP_DRIVE@@K@Z
        140   8B 000191D0 ?Initialize@READ_MODIFY_WRITE_CACHE@@QEAAEPEAVIO_DP_DRIVE@@KKEE@Z
        141   8C 00006110 ?Initialize@READ_WRITE_CACHE@@QEAAEPEAVIO_DP_DRIVE@@KE@Z
        142   8D 00005B80 ?Initialize@SECRUN@@QEAAEPEAVMEM@@PEAVIO_DP_DRIVE@@VBIG_INT@@K@Z
        143   8E 0001B010 ?Initialize@SNAPSHOT@@AEAAJPEAG@Z
        144   8F 0001B9A0 ?Initialize@SPARSE_SET@@QEAAEXZ
        145   90 00005B30 ?Initialize@SUPERAREA@@IEAAEPEAVMEM@@PEAVLOG_IO_DP_DRIVE@@KPEAVMESSAGE@@@Z
        146   91 0001BC60 ?Initialize@TLINK@@QEAAEG@Z
        147   92 00001EF0 ?Initialize@VOL_LIODPDRV@@IEAA?AW4FORMAT_ERROR_CODE@@PEBVWSTRING@@PEAVSUPERAREA@@PEAVMESSAGE@@EEW4_MEDIA_TYPE@@GEIE@Z
        148   93 00021220 ?Initialize@VOL_LIODPDRV@@IEAAEPEBVWSTRING@@0PEAVSUPERAREA@@PEAVMESSAGE@@E@Z
        149   94 000234A0 ?Initialize@WRITEVIEW_CACHE@@QEAAEPEAVIO_DP_DRIVE@@PEAVDRIVE_CACHE@@PEBVWSTRING@@GEE@Z
        150   95 00018B70 ?Initialize@WRITE_ONCE_CACHE@@QEAAEPEAVIO_DP_DRIVE@@KKK@Z
        151   96 0001CB30 ?InitializePowTrackConfiguration@DP_DRIVE@@QEAAEEPEAE@Z
        152   97 00012C50 ?InvalidateVolume@IO_DP_DRIVE@@QEAAEXZ
        153   98 00014CE0 ?IsArcSystemPartition@IFS_SYSTEM@@SAEPEBVWSTRING@@PEAE@Z
        154   99 00012D90 ?IsBootCriticalVolume@DP_DRIVE@@QEAAEXZ
        155   9A 00008C30 ?IsDax@IO_DP_DRIVE@@QEAAEXZ
        156   9B 0000DEA0 ?IsEntryPresent@AUTOREG@@SAEPEBVWSTRING@@0@Z
        157   9C 0000E000 ?IsEntryPresent@AUTOREG@@SAEPEBVWSTRING@@@Z
        158   9D 0001B030 ?IsFatalError@SNAPSHOT@@SAEJ@Z
        159   9E 00008CE0 ?IsFileSystemEnabled@IFS_SYSTEM@@SAEPEBVWSTRING@@PEAE@Z
        160   9F 0000E0D0 ?IsFrontEndPresent@AUTOREG@@SAEPEBVWSTRING@@0@Z
        161   A0 0000D630 ?IsLocked@IO_DP_DRIVE@@QEAAEXZ
        162   A1 00008790 ?IsMember@INTSTACK@@QEBAEVBIG_INT@@@Z
        163   A2 00008950 ?IsThinlyProvisioned@DP_DRIVE@@QEAAEXZ
        164   A3 000152B0 ?IsThisNtfs@IFS_SYSTEM@@SAEVBIG_INT@@KPEAX@Z
        165   A4 000152D0 ?IsThisReFS@IFS_SYSTEM@@SAEVBIG_INT@@KPEAX@Z
        166   A5 00015850 ?IsTotalDeviceFailure@IFS_SYSTEM@@SAEJ@Z
        167   A6 0001CC50 ?IsUdfMediaWritable@DP_DRIVE@@QEAAEXZ
        168   A7 00015880 ?IsVolumeDirty@IFS_SYSTEM@@SAEPEAVWSTRING@@PEAE1PEAJ@Z
        169   A8 000159C0 ?IsVolumeWriteable@IFS_SYSTEM@@SAEPEAVWSTRING@@PEAEPEAJ@Z
        170   A9 000025D0 ?IssueDeleteNotification@IO_DP_DRIVE@@QEAAE_KK@Z
        171   AA 00002490 ?Lock@IO_DP_DRIVE@@QEAAEXZ
        172   AB 00017280 ?Look@INTSTACK@@QEBA?AVBIG_INT@@K@Z
        173   AC 00015A50 ?NtDeviceNameToDosDriveName@IFS_SYSTEM@@SAEPEBVWSTRING@@PEAV2@@Z
        174   AD 00015C90 ?NtDriveNameToDosDriveName@IFS_SYSTEM@@SAEPEBVWSTRING@@PEAV2@@Z
        175   AE 000172C0 ?Pop@INTSTACK@@QEAAXK@Z
