Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\esent.dll

File Type: DLL

  Section contains the following exports for ESENT.dll

    00000000 characteristics
    5D87557D time date stamp
        0.00 version
           1 ordinal base
         375 number of functions
         375 number of names

    ordinal hint RVA      name

        270  10D 00031960 JetOpenTableW
        271  10E 001C2AD0 JetOpenTempTable
        272  10F 001C2D20 JetOpenTempTable2
        273  110 001C3010 JetOpenTempTable3
        274  111 001C34C0 JetOpenTemporaryTable
        275  112 001C3720 JetOpenTemporaryTable2
        276  113 001C3980 JetPatchDatabasePages
        277  114 001C3980 JetPatchDatabasePagesA
        278  115 001C3E00 JetPatchDatabasePagesW
        279  116 001C4060 JetPrepareToCommitTransaction
        280  117 00086C00 JetPrepareUpdate
        281  118 001C43D0 JetPrereadColumnsByReference
        282  119 001C4810 JetPrereadIndexRange
        283  11A 001C4BF0 JetPrereadIndexRanges
        284  11B 000C6E70 JetPrereadKeys
        285  11C 001C5130 JetPrereadTablesW
        286  11D 001C5350 JetReadFile
        287  11E 001C53C0 JetReadFileInstance
        288  11F 001C5750 JetRegisterCallback
        289  120 001C5B20 JetRemoveLogfileA
        290  121 001C5EA0 JetRemoveLogfileW
        291  122 000EE4A0 JetRenameColumn
        292  123 000EE4A0 JetRenameColumnA
        293  124 001C6100 JetRenameColumnW
        294  125 001C6360 JetRenameTable
        295  126 001C6360 JetRenameTableA
        296  127 001C6790 JetRenameTableW
        297  128 001C69B0 JetResetCounter
        298  129 000C5800 JetResetSessionContext
        299  12A 001C6CC0 JetResetTableSequential
        300  12B 001C7030 JetResizeDatabase
        301  12C 001C7450 JetRestore
        302  12D 001C7390 JetRestore2
        303  12E 001C7390 JetRestore2A
        304  12F 001C73F0 JetRestore2W
        305  130 001C7450 JetRestoreA
        306  131 001C74A0 JetRestoreInstance
        307  132 001C74A0 JetRestoreInstanceA
        308  133 001C7A90 JetRestoreInstanceW
        309  134 001C7CD0 JetRestoreW
        310  135 000859D0 JetRetrieveColumn
        311  136 001C7D20 JetRetrieveColumnByReference
        312  137 001C8160 JetRetrieveColumnFromRecordStream
        313  138 00085600 JetRetrieveColumns
        314  139 00084E10 JetRetrieveKey
        315  13A 001C8430 JetRetrieveTaggedColumnList
        316  13B 00085F80 JetRollback
        317  13C 000846B0 JetSeek
        318  13D 0006F090 JetSetColumn
        319  13E 001C8820 JetSetColumnDefaultValue
        320  13F 001C8820 JetSetColumnDefaultValueA
        321  140 001C8CE0 JetSetColumnDefaultValueW
        322  141 00086730 JetSetColumns
        323  142 00083F10 JetSetCurrentIndex
        324  143 000842D0 JetSetCurrentIndex2
        325  144 000842D0 JetSetCurrentIndex2A
        326  145 000317A0 JetSetCurrentIndex2W
        327  146 001C8F20 JetSetCurrentIndex3
        328  147 001C8F20 JetSetCurrentIndex3A
        329  148 001C9180 JetSetCurrentIndex3W
        330  149 000E2A60 JetSetCurrentIndex4
        331  14A 000E2A60 JetSetCurrentIndex4A
        332  14B 0002FB70 JetSetCurrentIndex4W
        333  14C 00083F10 JetSetCurrentIndexA
        334  14D 00031C70 JetSetCurrentIndexW
        335  14E 001C93E0 JetSetCursorFilter
        336  14F 001C9790 JetSetDatabaseSize
        337  150 001C9790 JetSetDatabaseSizeA
        338  151 001C9B70 JetSetDatabaseSizeW
        339  152 00083B10 JetSetIndexRange
        340  153 001C9D90 JetSetLS
        341  154 001CA110 JetSetMaxDatabaseSize
        342  155 001CA460 JetSetResourceParam
        343  156 00041B60 JetSetSessionContext
        344  157 001CA9D0 JetSetSessionParameter
        345  158 0003F200 JetSetSystemParameter
        346  159 0003F200 JetSetSystemParameterA
        347  15A 00042230 JetSetSystemParameterW
        348  15B 001CAD10 JetSetTableInfo
        349  15C 001CAD10 JetSetTableInfoA
        350  15D 001CAD10 JetSetTableInfoW
        351  15E 001CB0C0 JetSetTableSequential
        352  15F 001CB430 JetSnapshotStart
        353  160 001CB430 JetSnapshotStartA
        354  161 001CB480 JetSnapshotStartW
        355  162 001CB4D0 JetSnapshotStop
        356  163 001CB520 JetStopBackup
        357  164 001CB550 JetStopBackupInstance
        358  165 001CB7E0 JetStopService
        359  166 000F0CB0 JetStopServiceInstance
        360  167 001CB810 JetStopServiceInstance2
        361  168 001CBE50 JetStreamRecords
        362  169 000D9980 JetTerm
