Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\shlwapi.dll

File Type: DLL

  Section contains the following exports for SHLWAPI.dll

    00000000 characteristics
    4392C932 time date stamp
        0.00 version
           1 ordinal base
         930 number of functions
         379 number of names

    ordinal hint RVA      name

         42               [NONAME] (forwarded to USER32.CharToOemW)
         43               [NONAME] (forwarded to USER32.CharUpperW)
         44               [NONAME] (forwarded to USER32.CharUpperBuffW)
         45               [NONAME] (forwarded to KERNEL32.CompareStringW)
         46               [NONAME] (forwarded to USER32.CopyAcceleratorTableW)
         47               [NONAME] (forwarded to USER32.CreateAcceleratorTableW)
         48               [NONAME] (forwarded to GDI32.CreateDCW)
         49               [NONAME] (forwarded to USER32.CreateDialogParamW)
         50               [NONAME] (forwarded to KERNEL32.CreateDirectoryW)
         51               [NONAME] (forwarded to KERNEL32.CreateEventW)
         52               [NONAME] (forwarded to KERNEL32.CreateFileW)
         53               [NONAME] (forwarded to GDI32.CreateFontIndirectW)
         54               [NONAME] (forwarded to GDI32.CreateICW)
         55               [NONAME] (forwarded to USER32.CreateWindowExW)
         56               [NONAME] (forwarded to USER32.DefWindowProcW)
         57               [NONAME] (forwarded to KERNEL32.DeleteFileW)
         58               [NONAME] (forwarded to USER32.DialogBoxIndirectParamW)
         59               [NONAME] (forwarded to USER32.DialogBoxParamW)
         60               [NONAME] (forwarded to USER32.DispatchMessageW)
         61               [NONAME] (forwarded to USER32.DrawTextW)
         62               [NONAME] (forwarded to GDI32.EnumFontFamiliesW)
         63               [NONAME] (forwarded to GDI32.EnumFontFamiliesExW)
         64               [NONAME] (forwarded to KERNEL32.EnumResourceNamesW)
         65               [NONAME] (forwarded to KERNEL32.FindFirstFileW)
         66               [NONAME] (forwarded to KERNEL32.FindResourceW)
         67               [NONAME] (forwarded to USER32.FindWindowW)
         68               [NONAME] (forwarded to KERNEL32.FormatMessageW)
         69               [NONAME] (forwarded to USER32.GetClassInfoW)
         70               [NONAME] (forwarded to USER32.GetClassLongW)
         71               [NONAME] (forwarded to USER32.GetClassNameW)
         72               [NONAME] (forwarded to USER32.GetClipboardFormatNameW)
         73               [NONAME] (forwarded to KERNEL32.GetCurrentDirectoryW)
         74               [NONAME] (forwarded to USER32.GetDlgItemTextW)
         75               [NONAME] (forwarded to KERNEL32.GetFileAttributesW)
         76               [NONAME] (forwarded to KERNEL32.GetFullPathNameW)
         77               [NONAME] (forwarded to KERNEL32.GetLocaleInfoW)
         78               [NONAME] (forwarded to USER32.GetMenuStringW)
         79               [NONAME] (forwarded to USER32.GetMessageW)
         80               [NONAME] (forwarded to KERNEL32.GetModuleFileNameW)
         81               [NONAME] (forwarded to KERNEL32.GetSystemDirectoryW)
         82               [NONAME] (forwarded to KERNEL32.SearchPathW)
         83               [NONAME] (forwarded to KERNEL32.GetModuleHandleW)
         84               [NONAME] (forwarded to GDI32.GetObjectW)
         85               [NONAME] (forwarded to KERNEL32.GetPrivateProfileIntW)
         86               [NONAME] (forwarded to KERNEL32.GetProfileStringW)
         87               [NONAME] (forwarded to USER32.GetPropW)
         88               [NONAME] (forwarded to KERNEL32.GetStringTypeExW)
         89               [NONAME] (forwarded to KERNEL32.GetTempFileNameW)
         90               [NONAME] (forwarded to KERNEL32.GetTempPathW)
         91               [NONAME] (forwarded to GDI32.GetTextExtentPoint32W)
         92               [NONAME] (forwarded to GDI32.GetTextFaceW)
         93               [NONAME] (forwarded to GDI32.GetTextMetricsW)
         94               [NONAME] (forwarded to USER32.GetWindowLongW)
         95               [NONAME] (forwarded to USER32.GetWindowTextW)
         96               [NONAME] (forwarded to USER32.GetWindowTextLengthW)
         97               [NONAME] (forwarded to KERNEL32.GetWindowsDirectoryW)
         98               [NONAME] (forwarded to USER32.InsertMenuW)
         99               [NONAME] (forwarded to USER32.IsDialogMessageW)
        100               [NONAME] (forwarded to USER32.LoadAcceleratorsW)
        101               [NONAME] (forwarded to USER32.LoadBitmapW)
        102               [NONAME] (forwarded to USER32.LoadCursorW)
        103               [NONAME] (forwarded to USER32.LoadIconW)
        104               [NONAME] (forwarded to USER32.LoadImageW)
        105               [NONAME] (forwarded to KERNEL32.LoadLibraryExW)
        106               [NONAME] (forwarded to USER32.LoadMenuW)
        107               [NONAME] (forwarded to USER32.LoadStringW)
        108               [NONAME] (forwarded to USER32.MessageBoxIndirectW)
        109               [NONAME] (forwarded to USER32.ModifyMenuW)
        110               [NONAME] (forwarded to GDI32.GetCharWidth32W)
        111               [NONAME] (forwarded to GDI32.GetCharacterPlacementW)
        112               [NONAME] (forwarded to KERNEL32.CopyFileW)
        113               [NONAME] (forwarded to KERNEL32.MoveFileW)
        114               [NONAME] (forwarded to USER32.OemToCharW)
        115               [NONAME] (forwarded to KERNEL32.OutputDebugStringW)
        116               [NONAME] (forwarded to USER32.PeekMessageW)
        117               [NONAME] (forwarded to USER32.PostMessageW)
        118               [NONAME] (forwarded to USER32.PostThreadMessageW)
        119               [NONAME] (forwarded to SHUNIMPL.#448)
        120      0001DB40 [NONAME]
        121      0001DB50 [NONAME]
        122               [NONAME] (forwarded to SHUNIMPL.#449)
        123      0001DB80 [NONAME]
        124      0001DC30 [NONAME]
        125      0001DC20 [NONAME]
        126      0001DC60 [NONAME]
        127      0001DCF0 [NONAME]
        128      0001DCE0 [NONAME]
        129               [NONAME] (forwarded to SHUNIMPL.#450)
        130      0001DD00 [NONAME]
        131               [NONAME] (forwarded to USER32.RegisterClassW)
        132               [NONAME] (forwarded to USER32.RegisterClipboardFormatW)
        133               [NONAME] (forwarded to USER32.RegisterWindowMessageW)
        134               [NONAME] (forwarded to USER32.RemovePropW)
        135               [NONAME] (forwarded to USER32.SendDlgItemMessageW)
        136               [NONAME] (forwarded to USER32.SendMessageW)
        137               [NONAME] (forwarded to KERNEL32.SetCurrentDirectoryW)
        138               [NONAME] (forwarded to USER32.SetDlgItemTextW)
        139               [NONAME] (forwarded to USER32.SetMenuItemInfoW)
        140               [NONAME] (forwarded to USER32.SetPropW)
        141               [NONAME] (forwarded to USER32.SetWindowLongW)
        142               [NONAME] (forwarded to USER32.SetWindowsHookExW)
        143               [NONAME] (forwarded to USER32.SetWindowTextW)
        144               [NONAME] (forwarded to GDI32.StartDocW)
        145               [NONAME] (forwarded to USER32.SystemParametersInfoW)
        146               [NONAME] (forwarded to USER32.TranslateAcceleratorW)
        147               [NONAME] (forwarded to USER32.UnregisterClassW)
        148               [NONAME] (forwarded to USER32.VkKeyScanW)
        149               [NONAME] (forwarded to USER32.WinHelpW)
        150               [NONAME] (forwarded to USER32.wvsprintfW)
        159               [NONAME] (forwarded to KERNEL32.CompareStringW)
        160      00018820 [NONAME]
        161               [NONAME] (forwarded to SHUNIMPL.#472)
        162      0000E040 [NONAME]
        165      00007480 [NONAME]
        166               [NONAME] (forwarded to SHCORE.#102)
        167      00008BF0 [NONAME]
        170      00012D10 [NONAME]
        171               [NONAME] (forwarded to SHUNIMPL.#246)
        173      000091F0 [NONAME]
        175               [NONAME] (forwarded to SHCORE.#142)
        177      0001AA90 [NONAME]
        178      00008CB0 [NONAME]
        179      00008760 [NONAME]
        180      0001B040 [NONAME]
        181      0001A540 [NONAME]
        182      0001A360 [NONAME]
        183      0001AFC0 [NONAME]
        186      0001B2A0 [NONAME]
        187      00006D40 [NONAME]
        188               [NONAME] (forwarded to SHUNIMPL.#451)
        189               [NONAME] (forwarded to SHUNIMPL.#452)
        190      00019AF0 [NONAME]
        192      00008630 [NONAME]
        193      000078C0 [NONAME]
        194               [NONAME] (forwarded to SHCORE.#160)
        195      0001A9E0 [NONAME]
        196               [NONAME] (forwarded to SHUNIMPL.#243)
        197      00004510 [NONAME]
        198      0001B100 [NONAME]
        200      0001A190 [NONAME]
        201      0001A0D0 [NONAME]
        202      00019FD0 [NONAME]
        205               [NONAME] (forwarded to SHCORE.#124)
        206               [NONAME] (forwarded to SHCORE.#125)
        207               [NONAME] (forwarded to SHUNIMPL.#453)
        208      00008F90 [NONAME]
        209      00008810 [NONAME]
        210      00008E30 [NONAME]
        211      000086D0 [NONAME]
        216               [NONAME] (forwarded to SHCORE.#150)
        220      0001B190 [NONAME]
        221      0001B090 [NONAME]
        222               [NONAME] (forwarded to SHUNIMPL.#139)
        223               [NONAME] (forwarded to SHUNIMPL.#140)
        224               [NONAME] (forwarded to SHUNIMPL.#141)
        226               [NONAME] (forwarded to SHUNIMPL.#244)
        227               [NONAME] (forwarded to SHUNIMPL.#245)
        228      00028180 [NONAME]
        229      00028390 [NONAME]
        230      00028220 [NONAME]
        231      00007500 [NONAME]
        232      000282D0 [NONAME]
        233      00007550 [NONAME]
        234      000280A0 [NONAME]
        235      000280D0 [NONAME]
        237      0001B030 [NONAME]
        238      0001B3D0 [NONAME]
        239      00005080 [NONAME]
        240      00004BE0 [NONAME]
        241               [NONAME] (forwarded to SHUNIMPL.#142)
        242               [NONAME] (forwarded to SHUNIMPL.#143)
        243               [NONAME] (forwarded to SHUNIMPL.#144)
        244               [NONAME] (forwarded to SHUNIMPL.#145)
        245               [NONAME] (forwarded to SHUNIMPL.#146)
        246               [NONAME] (forwarded to SHUNIMPL.#147)
        247               [NONAME] (forwarded to SHUNIMPL.#148)
        248               [NONAME] (forwarded to SHUNIMPL.#149)
        249               [NONAME] (forwarded to SHUNIMPL.#150)
        250               [NONAME] (forwarded to SHUNIMPL.#152)
        251               [NONAME] (forwarded to SHUNIMPL.#153)
        252               [NONAME] (forwarded to SHUNIMPL.#154)
        253               [NONAME] (forwarded to SHUNIMPL.#155)
