Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\dbghelp.dll

File Type: DLL

  Section contains the following exports for dbghelp.dll

    00000000 characteristics
     5F0E9A4 time date stamp
        0.00 version
        1101 ordinal base
         254 number of functions
         240 number of names

    ordinal hint RVA      name

       1277   A1 0011CD90 SymGetUnwindInfo
       1278   A2 00011560 SymInitialize
       1279   A3 0000BC90 SymInitializeW
       1280   A4 00013780 SymLoadModule
       1281   A5 00013780 SymLoadModule64
       1282   A6 000137C0 SymLoadModuleEx
       1283   A7 0000B450 SymLoadModuleExW
       1284   A8 0011CF20 SymMatchFileName
       1285   A9 0011D020 SymMatchFileNameW
       1286   AA 0011D100 SymMatchString
       1287   AB 0011D140 SymMatchStringA
       1288   AC 0011D150 SymMatchStringW
       1289   AD 0011D190 SymNext
       1290   AE 0011D230 SymNextW
       1291   AF 0011D250 SymPrev
       1292   B0 0011D2F0 SymPrevW
       1293   B1 0011D300 SymQueryInlineTrace
       1294   B2 0011D610 SymRefreshModuleList
       1295   B3 0011D680 SymRegisterCallback
       1296   B4 0011D680 SymRegisterCallback64
       1297   B5 0000B890 SymRegisterCallbackW64
       1298   B6 0000B940 SymRegisterFunctionEntryCallback
       1299   B7 0000B940 SymRegisterFunctionEntryCallback64
       1300   B8 0011D6F0 SymSearch
       1301   B9 0011D7C0 SymSearchW
       1302   BA 0011D880 SymSetContext
       1303   BB 0011D930 SymSetExtendedOption
       1304   BC 0011D950 SymSetHomeDirectory
       1305   BD 0011D9F0 SymSetHomeDirectoryW
       1306   BE 000106B0 SymSetOptions
       1307   BF 0011DA70 SymSetParentWindow
       1308   C0 0011DAA0 SymSetScopeFromAddr
       1309   C1 0011DAB0 SymSetScopeFromIndex
       1310   C2 00009910 SymSetScopeFromInlineContext
       1311   C3 0011DB70 SymSetSearchPath
       1312   C4 0000CE40 SymSetSearchPathW
       1313   C5 00125850 SymSrvDeltaName
       1314   C6 00125920 SymSrvDeltaNameW
       1315   C7 00125AD0 SymSrvGetFileIndexInfo
       1316   C8 00125BA0 SymSrvGetFileIndexInfoW
       1317   C9 00125CD0 SymSrvGetFileIndexString
       1318   CA 00125D90 SymSrvGetFileIndexStringW
       1319   CB 00125E60 SymSrvGetFileIndexes
       1320   CC 00125ED0 SymSrvGetFileIndexesW
       1321   CD 00125F90 SymSrvGetSupplement
       1322   CE 00126050 SymSrvGetSupplementW
       1323   CF 00126160 SymSrvIsStore
       1324   D0 001261A0 SymSrvIsStoreW
       1325   D1 00126290 SymSrvStoreFile
       1326   D2 00126330 SymSrvStoreFileW
       1327   D3 001263F0 SymSrvStoreSupplement
       1328   D4 001264B0 SymSrvStoreSupplementW
       1329   D5 0011DBB0 SymUnDName
       1330   D6 0011DBB0 SymUnDName64
       1331   D7 000085C0 SymUnloadModule
       1332   D8 000085C0 SymUnloadModule64
       1333   D9 0011DC00 UnDecorateSymbolName
       1334   DA 0011DC90 UnDecorateSymbolNameW
       1335   DB 0000B9F0 WinDbgExtensionDllInit
       1122   DC 0010AA00 _EFN_DumpImage
       1336   DD 0010EE80 block
       1337   DE 0010F040 chksym
       1338   DF 0011DD40 dbghelp
       1339   E0 0010F210 dh
       1340   E1 0010F220 fptr
       1341   E2 0010F2B0 homedir
       1342   E3 0010F3E0 inlinedbg
       1343   E4 0010F450 itoldyouso
       1344   E5 0010F620 lmi
       1345   E6 0010F920 lminfo
       1346   E7 0010FB40 omap
       1347   E8 0010FD50 optdbgdump
       1348   E9 0010FE90 optdbgdumpaddr
       1349   EA 0010FFD0 srcfiles
       1350   EB 001100F0 stack_force_ebp
       1351   EC 00110260 stackdbg
       1352   ED 00110430 sym
       1353   EE 00110560 symsrv
       1354   EF 001105B0 vc7fpo
       1101      001188A0 [NONAME]
       1102      001189A0 [NONAME]
       1103      00118B50 [NONAME]
       1104      00118EA0 [NONAME]
       1105      00119520 [NONAME]
       1106      001195B0 [NONAME]
       1107      00118B20 [NONAME]
       1108      00118DC0 [NONAME]
       1109      001194B0 [NONAME]
       1110      00119540 [NONAME]
       1115      00118B80 [NONAME]
       1116      00118C50 [NONAME]
       1117      00118730 [NONAME]
       1118      001187F0 [NONAME]

  Summary

       20000 .data
        1000 .didat
        3000 .mrdata
       16000 .pdata
       58000 .rdata
        5000 .reloc
        1000 .rsrc
      154000 .text
