Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\wbemcomn.dll

File Type: DLL

  Section contains the following exports for wbemcomn.dll

    00000000 characteristics
    264DE62A time date stamp
        0.00 version
           1 ordinal base
        1397 number of functions
        1397 number of names

    ordinal hint RVA      name

        150   95 000025D0 ??0CWbemInstallObject@@QEAA@XZ
        151   96 000244D0 ??0CWbemInterval@@IEAA@K@Z
        152   97 000244E0 ??0CWbemInterval@@QEAA@XZ
        153   98 000244F0 ??0CWbemTime@@IEAA@_J@Z
        154   99 000237B0 ??0CWbemTime@@QEAA@AEBV0@@Z
        155   9A 000025B0 ??0CWbemTime@@QEAA@XZ
        156   9B 00024500 ??0CWbemTimeSpan@@QEAA@HHHHHHH@Z
        157   9C 00022980 ??0CWin32DefaultArena@@QEAA@AEBV0@@Z
        158   9D 00022980 ??0CWin32DefaultArena@@QEAA@XZ
        159   9E 000323C0 ??0QL1_Parser@@QEAA@AEBV0@@Z
        160   9F 000064C0 ??0QL1_Parser@@QEAA@PEAVCGenLexSource@@@Z
        161   A0 00032430 ??0QL_LEVEL_1_RPN_EXPRESSION@@QEAA@AEBU0@@Z
        162   A1 00006690 ??0QL_LEVEL_1_RPN_EXPRESSION@@QEAA@XZ
        163   A2 00010610 ??0QL_LEVEL_1_TOKEN@@QEAA@AEBU0@@Z
        164   A3 00011240 ??0QL_LEVEL_1_TOKEN@@QEAA@XZ
        165   A4 00033C80 ??0Registry@@QEAA@PEAUHKEY__@@KKPEBG@Z
        166   A5 00002890 ??0Registry@@QEAA@PEAUHKEY__@@KPEBG@Z
        167   A6 000030C0 ??0Registry@@QEAA@PEBGK@Z
        168   A7 00033D40 ??0Registry@@QEAA@XZ
        169   A8 000408C0 ??0WString2@@QEAA@AEBV0@@Z
        170   A9 00040910 ??0WString2@@QEAA@KPEAUHINSTANCE__@@@Z
        171   AA 00003560 ??0WString2@@QEAA@PEAGH@Z
        172   AB 00040A60 ??0WString2@@QEAA@PEBD@Z
        173   AC 00003600 ??0WString2@@QEAA@PEBG@Z
        174   AD 00004420 ??0WString2@@QEAA@XZ
        175   AE 000127C0 ??0WString2@@QEAA@_K@Z
        176   AF 000058B0 ??0WString@@QEAA@AEBV0@@Z
        177   B0 0003FA40 ??0WString@@QEAA@KPEAUHINSTANCE__@@@Z
        178   B1 000110F0 ??0WString@@QEAA@PEAGH@Z
        179   B2 0003FB50 ??0WString@@QEAA@PEBD@Z
        180   B3 000112B0 ??0WString@@QEAA@PEBG@Z
        181   B4 00012100 ??0WString@@QEAA@XZ
        182   B5 00013450 ??1?$CLockableFlexArray@VCStaticCritSec@@@@QEAA@XZ
        183   B6 00033D60 ??1?$SZLess@PEBG@@UEAA@XZ
        184   B7 00039D00 ??1C9XAce@@UEAA@XZ
        185   B8 00008AB0 ??1CAbstractQl1Parser@@UEAA@XZ
        186   B9 00023C70 ??1CBaseAce@@UEAA@XZ
        187   BA 000113A0 ??1CBasicUnloadInstruction@@UEAA@XZ
        188   BB 000131C0 ??1CBuffer@@QEAA@XZ
        189   BC 00011740 ??1CCheckedInCritSec@@QEAA@XZ
        190   BD 00011000 ??1CClientOpsNode@@QEAA@XZ
        191   BE 00011EB0 ??1CCritSec@@QEAA@XZ
        192   BF 00007E00 ??1CDMTFParser@@QEAA@XZ
        193   C0 00024A80 ??1CDatePart@@QEAA@XZ
        194   C1 00025700 ??1CDateTimeParser@@QEAA@XZ
        195   C2 000236D0 ??1CEnterWbemCriticalSection@@QEAA@XZ
        196   C3 0002B0F0 ??1CEventLog@@QEAA@XZ
        197   C4 0002B190 ??1CEventLogRecord@@QEAA@XZ
        198   C5 0002CCB0 ??1CExecQueue@@QEAA@XZ
        199   C6 00014670 ??1CExecRequest@@UEAA@XZ
        200   C7 000111F0 ??1CFlexArray@@QEAA@XZ
        201   C8 0000BFD0 ??1CFlexQueue@@QEAA@XZ
        202   C9 00034C90 ??1CHaltable@@UEAA@XZ
        203   CA 00008C60 ??1CIdentitySecurity@@QEAA@XZ
        204   CB 00010060 ??1CIdentityTest@@QEAA@XZ
        205   CC 00010450 ??1CInCritSec@@QEAA@XZ
        206   CD 0002B1D0 ??1CInsertionString@@QEAA@XZ
        207   CE 000350B0 ??1CInstructionQueue@@QEAA@XZ
        208   CF 000304E0 ??1CLike@@QEAA@XZ
        209   D0 000427F0 ??1CLimitControl@@UEAA@XZ
        210   D1 00007E00 ??1CMRCICompression@@QEAA@XZ
        211   D2 00005B90 ??1CMUILocaleList@@QEAA@XZ
        212   D3 00042810 ??1CMinMaxLimitControl@@UEAA@XZ
        213   D4 00007470 ??1CNtAce@@UEAA@XZ
        214   D5 00005680 ??1CNtAcl@@QEAA@XZ
        215   D6 00005680 ??1CNtSecurityDescriptor@@QEAA@XZ
        216   D7 00011880 ??1CNtSid@@QEAA@XZ
        217   D8 000076B0 ??1CPropertyName@@QEAA@XZ
        218   D9 000473D0 ??1CPublishWMIOperationEvent@@QEAA@XZ
        219   DA 00042890 ??1CRegistryMinMaxLimitControl@@UEAA@XZ
        220   DB 00012F10 ??1CSafeArray@@QEAA@XZ
        221   DC 00012CC0 ??1CStaticCritSec@@QEAA@XZ
        222   DD 00035720 ??1CTextTemplate@@QEAA@XZ
        223   DE 00035150 ??1CTimerGenerator@@UEAA@XZ
        224   DF 000351D0 ??1CTimerInstruction@@UEAA@XZ
        225   E0 00011B10 ??1CUnk@@UEAA@XZ
        226   E1 000127A0 ??1CUnkInternal@@UEAA@XZ
        227   E2 00007F00 ??1CVar@@QEAA@XZ
        228   E3 00002050 ??1CVarVector@@QEAA@XZ
        229   E4 0000C780 ??1CWQLScanner@@QEAA@XZ
        230   E5 000033A0 ??1CWStringArray@@QEAA@XZ
        231   E6 00004A30 ??1CWbemCallSecurity@@AEAA@XZ
        232   E7 000134F0 ??1CWbemCriticalSection@@QEAA@XZ
        233   E8 00007E00 ??1CWbemInstallObject@@QEAA@XZ
        234   E9 000229A0 ??1CWin32DefaultArena@@QEAA@XZ
        235   EA 000068F0 ??1QL1_Parser@@UEAA@XZ
        236   EB 00006540 ??1QL_LEVEL_1_RPN_EXPRESSION@@QEAA@XZ
