Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\libcrypto.dll

File Type: DLL

  Section contains the following exports for libcrypto.dll

    00000000 characteristics
    FFFFFFFF time date stamp
        0.00 version
           1 ordinal base
        3477 number of functions
        3477 number of names

    ordinal hint RVA      name

        425  1A8 00034BC0 BN_get0_nist_prime_521
        426  1A9 000322C0 BN_get_params
        427  1AA 000322F0 BN_get_word
        428  1AB 00037020 BN_hex2bn
        429  1AC 00032310 BN_init
        430  1AD 00032320 BN_is_bit_set
        431  1AE 0002C060 BN_is_prime
        432  1AF 00036330 BN_is_prime_ex
        433  1B0 0002C090 BN_is_prime_fasttest
        434  1B1 00036350 BN_is_prime_fasttest_ex
        435  1B2 00031700 BN_kronecker
        436  1B3 00037DC0 BN_lshift
        437  1B4 00037F40 BN_lshift1
        438  1B5 00032360 BN_mask_bits
        439  1B6 00032B20 BN_mod_add
        440  1B7 00032B70 BN_mod_add_quick
        441  1B8 0002C8D0 BN_mod_exp
        442  1B9 0002E1E0 BN_mod_exp2_mont
        443  1BA 0002C980 BN_mod_exp_mont
        444  1BB 0002C9B0 BN_mod_exp_mont_consttime
        445  1BC 0002D3A0 BN_mod_exp_mont_word
        446  1BD 0002D7A0 BN_mod_exp_recp
        447  1BE 0002DB80 BN_mod_exp_simple
        448  1BF 0002ED10 BN_mod_inverse
        449  1C0 00032BD0 BN_mod_lshift
        450  1C1 00032D00 BN_mod_lshift1
        451  1C2 00032D60 BN_mod_lshift1_quick
        452  1C3 00032DC0 BN_mod_lshift_quick
        453  1C4 00032EB0 BN_mod_mul
        454  1C5 000338C0 BN_mod_mul_montgomery
        455  1C6 00037C70 BN_mod_mul_reciprocal
        456  1C7 00032F70 BN_mod_sqr
        457  1C8 00038710 BN_mod_sqrt
        458  1C9 00032FD0 BN_mod_sub
        459  1CA 00033020 BN_mod_sub_quick
        460  1CB 00039140 BN_mod_word
        461  1CC 00033A10 BN_mpi2bn
        462  1CD 00033B40 BN_mul
        463  1CE 00039190 BN_mul_word
        464  1CF 000323E0 BN_new
        465  1D0 00034BD0 BN_nist_mod_192
        466  1D1 00034E80 BN_nist_mod_224
        467  1D2 000351E0 BN_nist_mod_256
        468  1D3 000355A0 BN_nist_mod_384
        469  1D4 00035A20 BN_nist_mod_521
        470  1D5 00033080 BN_nnmod
        471  1D6 00032440 BN_num_bits
        472  1D7 000324D0 BN_num_bits_word
        473  1D8 000371F0 BN_options
        474  1D9 00037250 BN_print
        475  1DA 00037360 BN_print_fp
        476  1DB 00037490 BN_pseudo_rand
        477  1DC 000374C0 BN_pseudo_rand_range
        478  1DD 000374D0 BN_rand
        479  1DE 000374F0 BN_rand_range
        480  1DF 00037D30 BN_reciprocal
        481  1E0 00038000 BN_rshift
        482  1E1 00038170 BN_rshift1
        483  1E2 00032530 BN_set_bit
        484  1E3 000325E0 BN_set_negative
        485  1E4 00032600 BN_set_params
        486  1E5 00032690 BN_set_word
        487  1E6 00038260 BN_sqr
        488  1E7 000293B0 BN_sub
        489  1E8 00039220 BN_sub_word
        490  1E9 000326F0 BN_swap
        491  1EA 00009D70 BN_to_ASN1_ENUMERATED
        492  1EB 0000A490 BN_to_ASN1_INTEGER
        493  1EC 000294A0 BN_uadd
        494  1ED 00032770 BN_ucmp
        495  1EE 00029590 BN_usub
        496  1EF 000327C0 BN_value_one
        497  1F0 00039B00 BUF_MEM_free
        498  1F1 00039B30 BUF_MEM_grow
        499  1F2 00039B30 BUF_MEM_grow_clean
        500  1F3 00039C40 BUF_MEM_new
        501  1F4 000399B0 BUF_memdup
        502  1F5 00039C80 BUF_reverse
        503  1F6 00039A40 BUF_strdup
        504  1F7 00039A90 BUF_strlcat
