Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\tapi32.dll

File Type: DLL

  Section contains the following exports for TAPI32.dll

    00000000 characteristics
    EEF0B81D time date stamp
        0.00 version
           1 ordinal base
         278 number of functions
         278 number of names

    ordinal hint RVA      name

        263  106 0000E220 phoneSetHookSwitch
        264  107 0000E2E0 phoneSetLamp
        265  108 0000E360 phoneSetRing
        266  109 0000E3E0 phoneSetStatusMessages
        267  10A 0000E470 phoneSetVolume
        268  10B 0000E4F0 phoneShutdown
        269  10C 00020670 tapiGetLocationInfo
        270  10D 00020530 tapiGetLocationInfoA
        271  10E 00020400 tapiGetLocationInfoW
        272  10F 0000E500 tapiRequestDrop
        273  110 0000EA30 tapiRequestMakeCall
        274  111 0000E8D0 tapiRequestMakeCallA
        275  112 0000E590 tapiRequestMakeCallW
        276  113 0000EE60 tapiRequestMediaCall
        277  114 0000EBF0 tapiRequestMediaCallA
        278  115 0000EA40 tapiRequestMediaCallW

  Summary

        2000 .data
        1000 .didat
        2000 .pdata
        D000 .rdata
        1000 .reloc
        1000 .rsrc
       2A000 .text
