Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\opengl32.dll

File Type: DLL

  Section contains the following exports for OPENGL32.dll

    00000000 characteristics
    9747484E time date stamp
        0.00 version
           1 ordinal base
         368 number of functions
         368 number of names

    ordinal hint RVA      name

        323  142 0002D0D0 glVertex2iv
        324  143 0002D0F0 glVertex2s
        325  144 0002D110 glVertex2sv
        326  145 0002D130 glVertex3d
        327  146 0002D150 glVertex3dv
        328  147 0002D170 glVertex3f
        329  148 0002D190 glVertex3fv
        330  149 0002D1B0 glVertex3i
        331  14A 0002D1D0 glVertex3iv
        332  14B 0002D1F0 glVertex3s
        333  14C 0002D210 glVertex3sv
        334  14D 0002D230 glVertex4d
        335  14E 0002D260 glVertex4dv
        336  14F 0002D280 glVertex4f
        337  150 0002D2B0 glVertex4fv
        338  151 0002D2D0 glVertex4i
        339  152 0002D300 glVertex4iv
        340  153 0002D320 glVertex4s
        341  154 0002D350 glVertex4sv
        342  155 00031420 glVertexPointer
        343  156 00030BC0 glViewport
        344  157 00041FD0 wglChoosePixelFormat
        345  158 0002A450 wglCopyContext
        346  159 00029700 wglCreateContext
        347  15A 000293B0 wglCreateLayerContext
        348  15B 00029710 wglDeleteContext
        349  15C 000242D0 wglDescribeLayerPlane
        350  15D 00042B70 wglDescribePixelFormat
        351  15E 00029810 wglGetCurrentContext
        352  15F 00029850 wglGetCurrentDC
        353  160 0002A2E0 wglGetDefaultProcAddress
        354  161 000245D0 wglGetLayerPaletteEntries
        355  162 00041B20 wglGetPixelFormat
        356  163 0002A2F0 wglGetProcAddress
        357  164 00025020 wglMakeCurrent
        358  165 00024700 wglRealizeLayerPalette
        359  166 00024460 wglSetLayerPaletteEntries
        360  167 00041BF0 wglSetPixelFormat
        361  168 0002A0B0 wglShareLists
        362  169 00042DD0 wglSwapBuffers
        363  16A 00024860 wglSwapLayerBuffers
        364  16B 00026AA0 wglSwapMultipleBuffers
        365  16C 00029880 wglUseFontBitmapsA
        366  16D 000298A0 wglUseFontBitmapsW
        367  16E 000115C0 wglUseFontOutlinesA
        368  16F 00011620 wglUseFontOutlinesW

  Summary

       20000 .data
        1000 .didat
        A000 .pdata
       16000 .rdata
        2000 .reloc
        1000 .rsrc
       E2000 .text
