Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\Tabbtn.dll

File Type: DLL

  Section contains the following exports for TabBtn.dll

    00000000 characteristics
    27A831F5 time date stamp
        0.00 version
           1 ordinal base
         225 number of functions
         225 number of names

    ordinal hint RVA      name

         97   60 00004A10 ?GetData@?$CSimpleArray@PEAVCButtonAction@@V?$CSimpleArrayEqualHelper@PEAVCButtonAction@@@ATL@@@ATL@@QEBAPEAPEAVCButtonAction@@XZ
         98   61 00004A10 ?GetData@?$CSimpleArray@PEAVCButtonSetting@@V?$CSimpleArrayEqualHelper@PEAVCButtonSetting@@@ATL@@@ATL@@QEBAPEAPEAVCButtonSetting@@XZ
         99   62 00004A10 ?GetData@?$CSimpleArray@PEAVCOrientation@@V?$CSimpleArrayEqualHelper@PEAVCOrientation@@@ATL@@@ATL@@QEBAPEAPEAVCOrientation@@XZ
        100   63 000098A0 ?GetData@CButtonAction@@QEBAQEAEXZ
        101   64 000098E0 ?GetDataDWORD@CButtonAction@@QEBA?BKXZ
        102   65 00009950 ?GetDefSeq@COrientation@@QEAAKXZ
        103   66 00009990 ?GetDescription@COrientation@@QEAAPEBGXZ
        104   67 000099E0 ?GetDetailImage@CButtonSettings@@QEAAPEAUHBITMAP__@@KK@Z
        105   68 00009AE0 ?GetDisallowedActions@CButtonSetting@@QEAAPEBGXZ
        106   69 00009B20 ?GetDisplayOrientationName@CButtonConfig@@QEAAPEBGK@Z
        107   6A 00009BC0 ?GetFlags@CButtonSetting@@QEAAKXZ
        108   6B 00009C00 ?GetFnKeyButtonId@CButtonSettings@@QEAAKXZ
        109   6C 00008350 ?GetHidBtnUsages@CHidButton@@AEAAHPEAU_hidbtndev@@PEAUtagRAWINPUT@@GGPEAU_USAGE_AND_PAGE@@PEAK@Z
        110   6D 00009C40 ?GetId@CButtonAction@@QEBAKXZ
        111   6E 00009C80 ?GetId@CButtonSetting@@QEAAKXZ
        112   6F 00004A20 ?GetKeyAt@?$CSimpleMap@KPEAVCButtonImages@@V?$CSimpleMapEqualHelper@KPEAVCButtonImages@@@ATL@@@ATL@@QEBAAEAKH@Z
        113   70 00009CC0 ?GetKeyName@COrientation@@QEAAPEBGXZ
        114   71 00009D00 ?GetLocationImage@CButtonSettings@@QEAAPEAUHBITMAP__@@KK@Z
        115   72 00009E00 ?GetMode@COrientation@@QEAAKXZ
        116   73 00009E40 ?GetOrientSeq@CButtonConfig@@QEBAKI@Z
        117   74 00009E90 ?GetOrientSeqCount@CButtonConfig@@QEBAKXZ
        118   75 00009ED0 ?GetOrientationMode@CButtonAction@@QEBAKXZ
        119   76 00009F10 ?GetRegType@CButtonAction@@QEBAKXZ
        120   77 00004A50 ?GetSize@?$CSimpleArray@PEAUACTION@@V?$CSimpleArrayEqualHelper@PEAUACTION@@@ATL@@@ATL@@QEBAHXZ
        121   78 00004A50 ?GetSize@?$CSimpleArray@PEAVCButtonAction@@V?$CSimpleArrayEqualHelper@PEAVCButtonAction@@@ATL@@@ATL@@QEBAHXZ
        122   79 00004A50 ?GetSize@?$CSimpleArray@PEAVCButtonSetting@@V?$CSimpleArrayEqualHelper@PEAVCButtonSetting@@@ATL@@@ATL@@QEBAHXZ
        123   7A 00004A50 ?GetSize@?$CSimpleArray@PEAVCOrientation@@V?$CSimpleArrayEqualHelper@PEAVCOrientation@@@ATL@@@ATL@@QEBAHXZ
        124   7B 00004A60 ?GetSize@?$CSimpleMap@KPEAVCButtonImages@@V?$CSimpleMapEqualHelper@KPEAVCButtonImages@@@ATL@@@ATL@@QEBAHXZ
        125   7C 00009F50 ?GetSize@CButtonAction@@QEBAKXZ
        126   7D 00004A70 ?GetValueAt@?$CSimpleMap@KPEAVCButtonImages@@V?$CSimpleMapEqualHelper@KPEAVCButtonImages@@@ATL@@@ATL@@QEBAAEAPEAVCButtonImages@@H@Z
        128   7E 0000D110 ?Hide@CFunctionNotification@@QEAAJXZ
        129   7F 00004AA0 ?InSession0@CButtonMonitor@@AEAAHXZ
        130   80 00009F90 ?Init@CActions@@QEAAJXZ
        131   81 0000A350 ?Init@CButtonConfig@@QEAAJH@Z
        132   82 00004AB0 ?Init@CButtonMonitor@@QEAAJPEAUHWND__@@@Z
        133   83 0000A410 ?Init@COrientation@@QEAAJPEAUHKEY__@@@Z
        135   84 00004B90 ?InternalSetAtIndex@?$CSimpleArray@PEAUACTION@@V?$CSimpleArrayEqualHelper@PEAUACTION@@@ATL@@@ATL@@QEAAXHAEBQEAUACTION@@@Z
        136   85 00004B90 ?InternalSetAtIndex@?$CSimpleArray@PEAVCButtonAction@@V?$CSimpleArrayEqualHelper@PEAVCButtonAction@@@ATL@@@ATL@@QEAAXHAEBQEAVCButtonAction@@@Z
        137   86 00004B90 ?InternalSetAtIndex@?$CSimpleArray@PEAVCButtonSetting@@V?$CSimpleArrayEqualHelper@PEAVCButtonSetting@@@ATL@@@ATL@@QEAAXHAEBQEAVCButtonSetting@@@Z
        138   87 00004B90 ?InternalSetAtIndex@?$CSimpleArray@PEAVCOrientation@@V?$CSimpleArrayEqualHelper@PEAVCOrientation@@@ATL@@@ATL@@QEAAXHAEBQEAVCOrientation@@@Z
        139   88 00004BB0 ?InternalSetAtIndex@?$CSimpleMap@KPEAVCButtonImages@@V?$CSimpleMapEqualHelper@KPEAVCButtonImages@@@ATL@@@ATL@@QEAAXHAEBKAEBQEAVCButtonImages@@@Z
        140   89 0000A590 ?IsActionRepeatable@CButtonAction@@SAHK@Z
        141   8A 00004BE0 ?IsActionUnsupported@CButtonMonitor@@SAHK@Z
        142   8B 0000A730 ?IsSameAction@CButtonAction@@QEBAHPEBV1@@Z
        143   8C 0000A7C0 ?LoadImageDLL@CButtonSettings@@AEAAHXZ
        144   8D 0000A870 ?LoadSettings@CButtonConfig@@QEAAJXZ
        145   8E 00004CC0 ?Lookup@?$CSimpleMap@KPEAVCButtonImages@@V?$CSimpleMapEqualHelper@KPEAVCButtonImages@@@ATL@@@ATL@@QEBAPEAVCButtonImages@@AEBK@Z
        146   8F 0000A900 ?MakeAllUserActionsEqual@CButtonSetting@@QEAAJK@Z
        147   90 00004CF0 ?NotifyFnMode@CButtonMonitor@@AEAAJH@Z
