Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\kernel.appcore.dll

File Type: DLL

  Section contains the following exports for AppCore.dll

    00000000 characteristics
    BE88784D time date stamp
        0.00 version
           1 ordinal base
         221 number of functions
         221 number of names

    ordinal hint RVA      name

        167   A6 00004560 PsmActivateApplicationByToken
        168   A7 000046C0 PsmAdjustActivationToken
        169   A8 00001120 PsmAdjustActivationTokenEx
        170   A9 00004710 PsmAdjustActivationTokenPkgClaim
        171   AA 00004840 PsmAdjustActivationTokenWithDynamicId
        172   AB 00001130 PsmCreateBrokerToken
        173   AC 00004890 PsmCreateMatchToken
        174   AD 00001010 PsmQueryBackgroundActivationType
        175   AE 00002460 PsmRegisterApplicationProcess
        176   AF 00004B10 PsmRegisterDesktopProcess
        177   B0 00002470 PsmRegisterDesktopProcessWithAppContainerToken
        178   B1 00002560 PsmRegisterServiceProcess
        179   B2 000035A0 PublishStateChangeNotification
        180   B3 000035B0 QueryStateAtomValueInfo
        181   B4 000035C0 QueryStateContainerCreatedNew
        182   B5 000035D0 QueryStateContainerItemInfo
        183   B6 000035E0 ReadStateAtomValue
        184   B7 000035F0 ReadStateContainerValue
        185   B8 00003600 RefreshPackageInfo
        186   B9 00003610 RegisterStateChangeNotification
        187   BA 00003620 RegisterStateLock
        188   BB 00003630 ReleaseStateLock
        189   BC 00003640 RemoveExtensionProgIds
        190   BD 00003650 RemovePackageFromFamilyXref
        191   BE 00003660 RemovePackageStatus
        192   BF 00003670 RemovePackageStatusForUser
        193   C0 00003680 ResetState
        194   C1 00003690 SaveAlternatePackageRootPath
        195   C2 000036A0 SaveStateRootFolderPath
        196   C3 000036B0 SetExtensionProperty
        197   C4 000036C0 SetIsDeveloperModeEnabled
        198   C5 000036D0 SetIsSideloadingEnabled
        199   C6 000036E0 SetProtocolProperty
        200   C7 000036F0 SetRoamingLastObservedChangeTime
        201   C8 00003700 SetStateVersion
