Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\oleaut32.dll

File Type: DLL

  Section contains the following exports for OLEAUT32.dll

    00000000 characteristics
    BCDE805B time date stamp
        0.00 version
           2 ordinal base
         501 number of functions
         425 number of names

    ordinal hint RVA      name

        103   AE 00065760 VarCyFromDate
        228   AF 00061750 VarCyFromDec
        105   B0 00057A90 VarCyFromDisp
        225   B1 00057AE0 VarCyFromI1
         99   B2 00065710 VarCyFromI2
        100   B3 00065730 VarCyFromI4
        366   B4 00065990 VarCyFromI8
        101   B5 00065750 VarCyFromR4
        102   B6 00065760 VarCyFromR8
        104   B7 00057B00 VarCyFromStr
         98   B8 00057B90 VarCyFromUI1
        226   B9 00057BB0 VarCyFromUI2
        227   BA 00057BD0 VarCyFromUI4
        367   BB 00057BF0 VarCyFromUI8
        308   BC 00054A80 VarCyInt
        303   BD 00054AF0 VarCyMul
        304   BE 00054C60 VarCyMulI4
        329   BF 00051F20 VarCyMulI8
        309   C0 00054D00 VarCyNeg
        310   C1 000508A0 VarCyRound
        305   C2 00054D30 VarCySub
         96   C3 00057C10 VarDateFromBool
         93   C4 00057C30 VarDateFromCy
        224   C5 00061AA0 VarDateFromDec
         95   C6 00057C70 VarDateFromDisp
        221   C7 00057CD0 VarDateFromI1
         89   C8 00057C10 VarDateFromI2
         90   C9 00057D10 VarDateFromI4
        364   CA 00057D50 VarDateFromI8
         91   CB 00057D90 VarDateFromR4
         92   CC 00057DC0 VarDateFromR8
         94   CD 00064E40 VarDateFromStr
         88   CE 00057DF0 VarDateFromUI1
        222   CF 00057E10 VarDateFromUI2
        223   D0 00057E50 VarDateFromUI4
        365   D1 00057E90 VarDateFromUI8
        330   D2 000030B0 VarDateFromUdate
        319   D3 00006070 VarDateFromUdateEx
        182   D4 000552C0 VarDecAbs
        177   D5 000552F0 VarDecAdd
        204   D6 000164C0 VarDecCmp
        298   D7 000548A0 VarDecCmpR8
        178   D8 00055300 VarDecDiv
        187   D9 000023B0 VarDecFix
        199   DA 00061B00 VarDecFromBool
        196   DB 00061B30 VarDecFromCy
        195   DC 00061B60 VarDecFromDate
        198   DD 00061B70 VarDecFromDisp
        241   DE 00061BD0 VarDecFromI1
        191   DF 00061C00 VarDecFromI2
        192   E0 00003150 VarDecFromI4
        374   E1 00061C40 VarDecFromI8
        193   E2 000018F0 VarDecFromR4
        194   E3 00001600 VarDecFromR8
        197   E4 00061C90 VarDecFromStr
        190   E5 00061D20 VarDecFromUI1
        242   E6 00061D40 VarDecFromUI2
        243   E7 00061D60 VarDecFromUI4
        375   E8 00061D80 VarDecFromUI8
        188   E9 00055980 VarDecInt
        179   EA 000559C0 VarDecMul
        189   EB 00055C30 VarDecNeg
        203   EC 00001790 VarDecRound
        181   ED 00055C60 VarDecSub
        143   EE 00051FB0 VarDiv
        152   EF 00053EA0 VarEqv
        169   F0 00050920 VarFix
         87   F1 00067070 VarFormat
        127   F2 00067160 VarFormatCurrency
         97   F3 00067280 VarFormatDateTime
        139   F4 00067300 VarFormatFromTokens
        107   F5 000692D0 VarFormatNumber
        117   F6 000693E0 VarFormatPercent
        253   F7 00057ED0 VarI1FromBool
        250   F8 00057EE0 VarI1FromCy
