Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\wininet.dll

File Type: DLL

  Section contains the following exports for WININET.dll

    00000000 characteristics
    EF02D3F2 time date stamp
        0.00 version
         101 ordinal base
         326 number of functions
         298 number of names

    ordinal hint RVA      name

        285   A7 0018B3B0 InternetErrorDlg
        286   A8 001587C0 InternetFindNextFileA
        287   A9 0015ADF0 InternetFindNextFileW
        288   AA 00148740 InternetFortezzaCommand
        289   AB 000B4D60 InternetFreeCookies
        290   AC 0016AC70 InternetFreeProxyInfoList
        291   AD 000CBA00 InternetGetCertByURL
        292   AE 000CBA00 InternetGetCertByURLA
        293   AF 000C9E30 InternetGetConnectedState
        294   B0 001370D0 InternetGetConnectedStateEx
        295   B1 001370D0 InternetGetConnectedStateExA
        296   B2 000C9E90 InternetGetConnectedStateExW
        297   B3 0016EC80 InternetGetCookieA
        298   B4 000B4EA0 InternetGetCookieEx2
        299   B5 0016ECB0 InternetGetCookieExA
        300   B6 000B4A70 InternetGetCookieExW
        301   B7 0016F000 InternetGetCookieW
        302   B8 0013BAF0 InternetGetLastResponseInfoA
        303   B9 0013C860 InternetGetLastResponseInfoW
        304   BA 0016D690 InternetGetPerSiteCookieDecisionA
        305   BB 0016D6F0 InternetGetPerSiteCookieDecisionW
        306   BC 0016AD50 InternetGetProxyForUrl
        307   BD 00094C30 InternetGetSecurityInfoByURL
        308   BE 00094C30 InternetGetSecurityInfoByURLA
        309   BF 00094B50 InternetGetSecurityInfoByURLW
        310   C0 001410B0 InternetGoOnline
        311   C1 001410B0 InternetGoOnlineA
        312   C2 00141170 InternetGoOnlineW
        313   C3 00141230 InternetHangUp
        314   C4 00049C30 InternetInitializeAutoProxyDll
        315   C5 0000CA10 InternetLockRequestFile
        316   C6 0007AAD0 InternetOpenA
        317   C7 0013BCB0 InternetOpenUrlA
        318   C8 0013CA40 InternetOpenUrlW
        319   C9 0007A8F0 InternetOpenW
        320   CA 0002FB40 InternetQueryDataAvailable
        321   CB 001487B0 InternetQueryFortezzaStatus
        322   CC 000418C0 InternetQueryOptionA
        323   CD 000B45B0 InternetQueryOptionW
        324   CE 0007AE80 InternetReadFile
        325   CF 000219A0 InternetReadFileExA
        326   D0 00021910 InternetReadFileExW
        327   D1 0018A4A0 InternetSecurityProtocolToStringA
        328   D2 0018A620 InternetSecurityProtocolToStringW
        329   D3 0016F020 InternetSetCookieA
        330   D4 000BC980 InternetSetCookieEx2
        331   D5 0016F050 InternetSetCookieExA
        332   D6 000953D0 InternetSetCookieExW
        333   D7 0016F100 InternetSetCookieW
        334   D8 001412D0 InternetSetDialState
        335   D9 001412D0 InternetSetDialStateA
        336   DA 00141330 InternetSetDialStateW
        337   DB 0013BD50 InternetSetFilePointer
        338   DC 000435B0 InternetSetOptionA
        339   DD 0013D400 InternetSetOptionExA
        340   DE 0013D500 InternetSetOptionExW
        341   DF 00079F40 InternetSetOptionW
        342   E0 0016D7A0 InternetSetPerSiteCookieDecisionA
        343   E1 0016D840 InternetSetPerSiteCookieDecisionW
        344   E2 0007A680 InternetSetStatusCallback
        345   E3 0007A680 InternetSetStatusCallbackA
        347   E4 0007A700 InternetSetStatusCallbackW
        348   E5 0013BF20 InternetShowSecurityInfoByURL
        349   E6 0013BF20 InternetShowSecurityInfoByURLA
        350   E7 0013CC20 InternetShowSecurityInfoByURLW
        351   E8 001A1C20 InternetTimeFromSystemTime
        352   E9 001A1C20 InternetTimeFromSystemTimeA
        353   EA 001A1D80 InternetTimeFromSystemTimeW
        354   EB 001A1EC0 InternetTimeToSystemTime
        355   EC 001A1EC0 InternetTimeToSystemTimeA
        356   ED 001A1F10 InternetTimeToSystemTimeW
        357   EE 0000C800 InternetUnlockRequestFile
