Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\ntdll.dll

File Type: DLL

  Section contains the following exports for ntdll.dll

    00000000 characteristics
    3230AA04 time date stamp
        0.00 version
           8 ordinal base
        2364 number of functions
        2363 number of names

    ordinal hint RVA      name

        246   ED 000A08A0 NtAlpcSetInformation
        247   EE 000A00D0 NtApphelpCacheControl
        248   EF 000A08C0 NtAreMappedFilesTheSame
        249   F0 000A08E0 NtAssignProcessToJobObject
        250   F1 000A0900 NtAssociateWaitCompletionPacket
        251   F2 000A0920 NtCallEnclave
        252   F3 0009F7F0 NtCallbackReturn
        253   F4 000A02E0 NtCancelIoFile
        254   F5 000A0940 NtCancelIoFileEx
        255   F6 000A0960 NtCancelSynchronousIoFile
        256   F7 000A0360 NtCancelTimer
        257   F8 000A0980 NtCancelTimer2
        258   F9 000A09A0 NtCancelWaitCompletionPacket
        259   FA 0009FF10 NtClearEvent
        260   FB 0009F930 NtClose
        261   FC 0009FEB0 NtCloseObjectAuditAlarm
        262   FD 000A09C0 NtCommitComplete
        263   FE 000A09E0 NtCommitEnlistment
        264   FF 000A0A00 NtCommitRegistryTransaction
        265  100 000A0A20 NtCommitTransaction
        266  101 000A0A40 NtCompactKeys
        267  102 000A0A60 NtCompareObjects
        268  103 000A0A80 NtCompareSigningLevels
        269  104 000A0AA0 NtCompareTokens
        270  105 000A0AC0 NtCompleteConnectPort
        271  106 000A0AE0 NtCompressKey
        272  107 000A0B00 NtConnectPort
        273  108 0009FFB0 NtContinue
        274  109 000A0B20 NtConvertBetweenAuxiliaryCounterAndPerformanceCounter
        275  10A 000A0B40 NtCreateDebugObject
        276  10B 000A0B60 NtCreateDirectoryObject
        277  10C 000A0B80 NtCreateDirectoryObjectEx
        278  10D 000A0BA0 NtCreateEnclave
        279  10E 000A0BC0 NtCreateEnlistment
        280  10F 000A0050 NtCreateEvent
        281  110 000A0BE0 NtCreateEventPair
        282  111 000A01F0 NtCreateFile
        283  112 000A0C00 NtCreateIRTimer
        284  113 000A0C20 NtCreateIoCompletion
        285  114 000A0C40 NtCreateJobObject
        286  115 000A0C60 NtCreateJobSet
        287  116 0009FAF0 NtCreateKey
        288  117 000A0C80 NtCreateKeyTransacted
        289  118 000A0CA0 NtCreateKeyedEvent
        290  119 000A0CC0 NtCreateLowBoxToken
        291  11A 000A0CE0 NtCreateMailslotFile
        292  11B 000A0D00 NtCreateMutant
        293  11C 000A0D20 NtCreateNamedPipeFile
        294  11D 000A0D40 NtCreatePagingFile
        295  11E 000A0D60 NtCreatePartition
        296  11F 000A0D80 NtCreatePort
        297  120 000A0DA0 NtCreatePrivateNamespace
        298  121 000A0DC0 NtCreateProcess
        299  122 000A00F0 NtCreateProcessEx
        300  123 000A0DE0 NtCreateProfile
        301  124 000A0E00 NtCreateProfileEx
        302  125 000A0E20 NtCreateRegistryTransaction
        303  126 000A0E40 NtCreateResourceManager
        304  127 000A0090 NtCreateSection
        305  128 000A0E60 NtCreateSectionEx
        306  129 000A0E80 NtCreateSemaphore
        307  12A 000A0EA0 NtCreateSymbolicLinkObject
        308  12B 000A0110 NtCreateThread
        309  12C 000A0EC0 NtCreateThreadEx
        310  12D 000A0EE0 NtCreateTimer
        311  12E 000A0F00 NtCreateTimer2
        312  12F 000A0F20 NtCreateToken
        313  130 000A0F40 NtCreateTokenEx
        314  131 000A0F60 NtCreateTransaction
        315  132 000A0F80 NtCreateTransactionManager
        316  133 000A0FA0 NtCreateUserProcess
        317  134 000A0FC0 NtCreateWaitCompletionPacket
        318  135 000A0FE0 NtCreateWaitablePort
        319  136 000A1000 NtCreateWnfStateName
        320  137 000A1020 NtCreateWorkerFactory
        321  138 000A1040 NtDebugActiveProcess
        322  139 000A1060 NtDebugContinue
        323  13A 0009FDD0 NtDelayExecution
        324  13B 000A1080 NtDeleteAtom
        325  13C 000A10A0 NtDeleteBootEntry
        326  13D 000A10C0 NtDeleteDriverEntry
        327  13E 000A10E0 NtDeleteFile
        328  13F 000A1100 NtDeleteKey
        329  140 000A1120 NtDeleteObjectAuditAlarm
        330  141 000A1140 NtDeletePrivateNamespace
        331  142 000A1160 NtDeleteValueKey
        332  143 000A1180 NtDeleteWnfStateData
        333  144 000A11A0 NtDeleteWnfStateName
        334  145 0009F830 NtDeviceIoControlFile
        335  146 000A11C0 NtDisableLastKnownGood
        336  147 000A11E0 NtDisplayString
        337  148 000A1200 NtDrawText
        338  149 0009FED0 NtDuplicateObject
        339  14A 0009FF90 NtDuplicateToken
        340  14B 000A1220 NtEnableLastKnownGood
        341  14C 000A1240 NtEnumerateBootEntries
        342  14D 000A1260 NtEnumerateDriverEntries
        343  14E 0009FD90 NtEnumerateKey
        344  14F 000A1280 NtEnumerateSystemEnvironmentValuesEx
        345  150 000A12A0 NtEnumerateTransactionObject
        346  151 0009F9B0 NtEnumerateValueKey
        347  152 000A12C0 NtExtendSection
        348  153 000A12E0 NtFilterBootOption
        349  154 000A1300 NtFilterToken
        350  155 000A1320 NtFilterTokenEx
        351  156 0009F9D0 NtFindAtom
        352  157 000A00B0 NtFlushBuffersFile
        353  158 000A1340 NtFlushBuffersFileEx
        354  159 000A1360 NtFlushInstallUILanguage
        355  15A 000A1380 NtFlushInstructionCache
        356  15B 000A13A0 NtFlushKey
        357  15C 000A13C0 NtFlushProcessWriteBuffers
        358  15D 000A13E0 NtFlushVirtualMemory
        359  15E 000A1400 NtFlushWriteBuffer
