Microsoft (R) COFF/PE Dumper Version 14.20.27508.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file C:\WINDOWS\System32\wlanapi.dll

File Type: DLL

  Section contains the following exports for wlanapi.dll

    00000000 characteristics
    DECE339D time date stamp
        0.00 version
           1 ordinal base
         255 number of functions
         255 number of names

    ordinal hint RVA      name

        149   94 00009300 WlanHostedNetworkForceStop
        150   95 00013F00 WlanHostedNetworkFreeWCNSettings
        151   96 00013FC0 WlanHostedNetworkHlpQueryEverUsed
        152   97 000093C0 WlanHostedNetworkInitSettings
        153   98 00009480 WlanHostedNetworkQueryProperty
        154   99 00009700 WlanHostedNetworkQuerySecondaryKey
        155   9A 00009A40 WlanHostedNetworkQueryStatus
        156   9B 000140A0 WlanHostedNetworkQueryWCNSettings
        157   9C 00009C70 WlanHostedNetworkRefreshSecuritySettings
        158   9D 00009D30 WlanHostedNetworkSetProperty
        159   9E 00009FD0 WlanHostedNetworkSetSecondaryKey
        160   9F 000141A0 WlanHostedNetworkSetWCNSettings
        161   A0 0000A280 WlanHostedNetworkStartUsing
        162   A1 0000A340 WlanHostedNetworkStopUsing
        163   A2 0000A400 WlanIhvControl
        164   A3 000142A0 WlanInitPlapParams
        165   A4 000142B0 WlanInternalNonDisruptiveScan
        166   A5 000142C0 WlanInternalNonDisruptiveScanEx
        167   A6 000145C0 WlanInternalScan
        168   A7 00022C40 WlanIsActiveConsoleUser
        169   A8 000146F0 WlanIsNetworkSuppressed
        170   A9 00014890 WlanIsUIRequestPending
        171   AA 00018D50 WlanLowPrivCloseHandle
        172   AB 00018EF0 WlanLowPrivEnumInterfaces
        173   AC 000078E0 WlanLowPrivFreeMemory
        174   AD 00019110 WlanLowPrivNotifyVsIeProviderInt
        175   AE 00019140 WlanLowPrivOpenHandle
        176   AF 00019480 WlanLowPrivQueryInterface
        177   B0 000196D0 WlanLowPrivSetInterface
        178   B1 000180B0 WlanNotifyVsIeProviderExInt
        179   B2 000180E0 WlanNotifyVsIeProviderInt
        180   B3 00001800 WlanOpenHandle
        181   B4 0001A090 WlanParseProfileXmlBasicSettings
        182   B5 0000A700 WlanPrivateCanDeleteProfile
        183   B6 000149D0 WlanPrivateClearAnqpCache
        184   B7 0000A950 WlanPrivateDeleteProfile
        185   B8 00014AF0 WlanPrivateEnableAnqpOsuRegistration
        186   B9 00014C10 WlanPrivateGetAnqpCacheResponse
        187   BA 00014D60 WlanPrivateGetAnqpOSUProviderList
        188   BB 00014F30 WlanPrivateGetAnqpOsuRegistrationStatus
        189   BC 00015050 WlanPrivateGetAvailableNetworkList
        190   BD 00015220 WlanPrivateParseAnqpRawData
        191   BE 0000ABA0 WlanPrivateQuery11adPairedConfig
        192   BF 0000AD90 WlanPrivateQueryInterface
        193   C0 00015370 WlanPrivateRefreshAnqpCache
        194   C1 0000AFB0 WlanPrivateSetInterface
        195   C2 0000B1A0 WlanPrivateSetProfile
        196   C3 00023550 WlanProfileIpConfigurationGetAddressList
        197   C4 00023580 WlanProfileIpConfigurationGetDnsServerList
        198   C5 000235B0 WlanProfileIpConfigurationGetGatewayList
        199   C6 0000B450 WlanQueryAutoConfigParameter
        200   C7 0001A660 WlanQueryCreateAllUserProfileRestricted
        201   C8 0000B6B0 WlanQueryInterface
        202   C9 000154B0 WlanQueryPlapCredentials
        203   CA 00015630 WlanQueryPreConnectInput
        204   CB 00001D90 WlanQueryVirtualInterfaceType
        205   CC 0000B980 WlanReasonCodeToString
        206   CD 00015870 WlanRefreshConnections
        207   CE 0000B9F0 WlanRegisterDeviceServiceNotification
        208   CF 0000BC40 WlanRegisterNotification
        209   D0 0000BEC0 WlanRegisterVirtualStationNotification
        210   D1 00015990 WlanRemoveUIForwardingNetworkList
        211   D2 0000C0E0 WlanRenameProfile
        212   D3 0000C340 WlanSaveTemporaryProfile
        213   D4 0000C5D0 WlanScan
        214   D5 00015A80 WlanSendUIResponse
        215   D6 0001A9A0 WlanSetAllUserProfileRestricted
        216   D7 0000C820 WlanSetAutoConfigParameter
        217   D8 0000CA00 WlanSetFilterList
        218   D9 0000CBD0 WlanSetInterface
        219   DA 0000CDD0 WlanSetProfile
        220   DB 0000CE20 WlanSetProfileCustomUserData
        221   DC 0000D0A0 WlanSetProfileEapUserData
        222   DD 0000D370 WlanSetProfileEapXmlUserData
        223   DE 0000D9D0 WlanSetProfileList
        224   DF 0000DC30 WlanSetProfileListForOffload
        225   E0 00015B80 WlanSetProfileMetadata
        226   E1 0000DE70 WlanSetProfilePosition
        227   E2 00015CF0 WlanSetProtectedScenario
        228   E3 0000E320 WlanSetPsdIEDataList
        229   E4 0000E510 WlanSetSecuritySettings
        230   E5 00015D00 WlanSetUIForwardingNetworkList
        231   E6 00022D60 WlanSignalValueToBar
        232   E7 00022D70 WlanSignalValueToBarEx
        233   E8 00022DA0 WlanSsidToDisplayName
        234   E9 00015E30 WlanStartAP
        235   EA 000161A0 WlanStartMovementDetector
        236   EB 000161B0 WlanStopAP
        237   EC 000162B0 WlanStopMovementDetector
        238   ED 000162C0 WlanStoreRadioStateOnEnteringAirPlaneMode
        239   EE 00022F50 WlanStringToSsid
        240   EF 00023020 WlanStringToUtf8Ssid
        241   F0 000163F0 WlanTryUpgradeCurrentConnectionAuthCipher
        242   F1 0000EB60 WlanUpdateBasicProfileSecurity
        243   F2 00017050 WlanUpdateProfileWithAuthCipher
        244   F3 00023140 WlanUtf8SsidToDisplayName
        245   F4 00018110 WlanVMgrQueryCurrentScenariosInt
        246   F5 000235E0 WlanVerifyProfileIpConfiguration
        247   F6 000172B0 WlanWcmDisconnect
        248   F7 000173A0 WlanWcmGetInterface
        249   F8 000174D0 WlanWcmGetProfileList
        250   F9 00017670 WlanWcmSetInterface
        251   FA 000177A0 WlanWcmSetProfile
        252   FB 00017980 WlanWfdGOSetWCNSettings
        253   FC 00017A90 WlanWfdGetPeerInfo
        254   FD 00017BE0 WlanWfdStartGO
        255   FE 00017BE0 WlanWfdStopGO

  Summary

        1000 .data
        1000 .didat
        3000 .pdata
       1C000 .rdata
        1000 .reloc
        1000 .rsrc
       44000 .text
